	Abundance
dCMP	1121.5095212377
H2O	31808.51190621525
dUMP	1428.2469887121997
Ammonia	5272.2938129914
di-trans,poly-cis-Undecaprenyl diphosphate	534.458705562
di-trans,poly-cis-Undecaprenyl phosphate	684.810352841
Orthophosphate	10394.028391105401
S-Adenosyl-L-methionine	4221.1886441631
tRNA guanine	440.69758955879996
S-Adenosyl-L-homocysteine	2910.4478692069
tRNA containing N1-methylguanine	400.8853885777
Reduced ferredoxin	2737.6154872268007
Succinyl-CoA	522.1936557858
CO2	6992.376659139198
H	27468.954153739214
	26874.631765409034
Oxidized ferredoxin	2737.6154872268007
2-Oxoglutarate	2169.6163097248996
CoA	2725.4064577381996
Acetyl-CoA	1388.5608342832002
Malonyl-[acyl-carrier protein]	2485.8671508623006
Acetoacetyl-[acp]	632.9753690314
ATP	11256.768532787495
Pantetheine 4'-phosphate	536.5558143072
Diphosphate	7324.782616762904
Dephospho-CoA	440.5614961207
D-Ribose 5-phosphate	687.9064829034
D-Ribulose 5-phosphate	1001.3899715721001
GTP	1397.6334599025
Formate	1786.7648670689998
2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	348.1072390926
L-3,4-Dihydroxybutan-2-one 4-phosphate	447.4690457784
Adenine in rRNA	472.7430478949
N6-Dimethyladenine in rRNA	472.7430478949
N-Acetyl-L-glutamate	445.0960370089
ADP	7685.590752789302
N-Acetyl-L-glutamate 5-phosphate	456.6844855447
AMP	4003.7115002869014
Adenine	373.11621873060005
5-Phospho-alpha-D-ribose 1-diphosphate	1031.9357012352002
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	786.8520669459001
5-Amino-4-imidazolecarboxyamide	312.0840261754
Ubiquinone	1517.1080768703
NADH	6568.340647130804
Ubiquinol	1517.1080768703
NAD	6922.952286105105
5-Dehydro-4-deoxy-D-glucuronate	296.5843290211
(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	296.5843290211
3-Amino-2-oxopropyl phosphate	514.8177148615
1-Deoxy-D-xylulose 5-phosphate	377.7222055743
Pyridoxine phosphate	377.9334289994
alpha-Isopropylmalate	397.61232386699993
3-Methyl-2-oxobutanoic acid	564.5201553822999
IMP	555.8383047854
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	573.6633380554
10-Formyltetrahydrofolate	645.5786229113
Tetrahydrofolate	1448.0482054725
D-Mannose 6-phosphate	793.7441899807
D-Mannose 1-phosphate	527.383076738
Phosphatidate	768.1847829061999
1-Acyl-sn-glycerol 3-phosphate	683.0249452124
Acyl-CoA	280.3411073635
Acyl-[acyl-carrier protein]	648.6315721497999
Acyl-carrier protein	3563.657309394901
Demethylmenaquinol	279.4956653513
Menaquinol	279.4956653513
2-Methoxy-6-all-trans-polyprenyl-1,4-benzoquinol	279.4956653513
5-Methoxy-2-methyl-3-(all-trans-polyprenyl)benzene-1,4-diol	279.4956653513
L-Tyrosine	284.96857487069997
Reduced acceptor	739.494034085
Iminoglycine	265.46287577
4-Cresol	265.46287577
5'-Deoxyadenosine	1232.7144145844
L-Methionine	1419.4071862165001
Acceptor	739.494034085
L-Proline	708.8253541192
(S)-1-Pyrroline-5-carboxylate	581.8120786594
NADP	4707.392524937999
NADPH	4624.1718291612
Hydroxyproline	521.2309434766
