	Abundance
dUTP	1361.0612666238
H2O	38674.14618961163
dUMP	1619.1396782665
Diphosphate	10062.209722420404
5-Fluorodeoxyuridine triphosphate	1275.3258762075
5-Fluorodeoxyuridine monophosphate	1172.7068305721
5-Amino-6-(1-D-ribitylamino)uracil	695.0655021831
L-3,4-Dihydroxybutan-2-one 4-phosphate	681.8679786885
6,7-Dimethyl-8-(D-ribityl)lumazine	573.117090472
Orthophosphate	10927.586976186993
ATP	17608.21649489989
Pantetheine 4'-phosphate	798.9338801114
Dephospho-CoA	536.9375221356
CTP	1285.5038716694999
Phosphatidate	939.7689860111999
CDP-diacylglycerol	584.8318675568
6-Carboxy-5,6,7,8-tetrahydropterin	384.2012539243
7-Carboxy-7-carbaguanine	384.2012539243
Ammonia	5327.8330808289975
Cellobiose	1350.3775274038999
beta-D-Glucose	4204.5098607608
D-Glucose	4556.768285682001
Prunasin	763.3332687774
Mandelonitrile	381.6666343887
Cellodextrin	456.86408586870004
(n-2) H2O	381.6666343887
(n-2) D-Glucose	381.6666343887
Amygdalin	381.6666343887
beta-D-Glucoside	381.6666343887
ROH	381.6666343887
Cyanoglycoside	381.6666343887
Cyanohydrin	381.6666343887
cis-beta-D-Glucosyl-2-hydroxycinnamate	381.6666343887
cis-2-Hydroxycinnamate	381.6666343887
Dhurrin	381.6666343887
(S)-4-Hydroxymandelonitrile	381.6666343887
Lotaustralin	381.6666343887
(2R)-2-Hydroxy-2-methylbutanenitrile	381.6666343887
Linamarin	381.6666343887
Acetone cyanohydrin	381.6666343887
Daidzin	381.6666343887
Daidzein	381.6666343887
Genistin	381.6666343887
Genistein	381.6666343887
Isoquercitrin	393.3034584027
Quercetin	381.6666343887
Naringenin 7-O-beta-D-glucoside	393.3034584027
Naringenin	381.6666343887
D-Ribose 5-phosphate	989.3281486263999
D-Ribulose 5-phosphate	1225.9580942866
D-Allose 6-phosphate	378.5944318807
D-Allulose 6-phosphate	378.5944318807
tRNA uridine	366.3231076801
[Enzyme]-S-sulfanylcysteine	366.3231076801
tRNA containing 2-thiouridine	372.2031529766
[Enzyme]-cysteine	366.3231076801
AMP	4545.804605701501
Reduced ferredoxin	2641.1292920744995
Succinyl-CoA	612.8097480193999
CO2	5484.947730871906
H	23074.04725097528
	25964.1207409821
Oxidized ferredoxin	2641.1292920744995
2-Oxoglutarate	2281.2109519727
CoA	2128.310801144401
Galactan	943.1226984976001
D-Galactose	2837.6867972236014
Lactose	739.6939654023
alpha-D-Glucose	1428.0197112146
Lactosylceramide	904.4642618682001
Glucosylceramide	326.843440136
3-Ketolactose	326.843440136
3-Keto-beta-D-galactose	326.843440136
beta-D-Galactose	326.843440136
Acetyl-CoA	1181.9919823709001
Malonyl-[acyl-carrier protein]	756.8125811867003
Acetoacetyl-[acp]	507.87170893189995
N-(5-Phospho-D-ribosyl)anthranilate	428.1042343573
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	365.3079074573
L-Aspartate 4-semialdehyde	445.6926279175
Pyruvate	2597.5788369233014
(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	318.6124192247
GMP	838.7333254800001
ADP	13836.190169043497
GDP	1565.6063087749997
dGMP	463.375346032
dGDP	525.2007354277999
dZMP	309.9337656739
dZDP	478.9675488617
dAMP	696.9581261967
dADP	524.2111911318
Thiamin diphosphate	496.9650379149001
Thiamin triphosphate	308.9442213779
Protein N(pi)-phospho-L-histidine	2238.1379409632004
D-Mannose	951.5152074108
Protein histidine	2238.1379409632004
D-Mannose 6-phosphate	1379.296803112
Taurocholate	300.5767384671
Cholic acid	601.1534769342
Taurine	901.7302154012999
Glycochenodeoxycholate	300.5767384671
Chenodeoxycholate	601.1534769342
Glycine	1496.2806261438998
Taurochenodeoxycholate	300.5767384671
Glycodeoxycholate	300.5767384671
Deoxycholic acid	601.1534769342
Taurodeoxycholate	300.5767384671
Glycocholate	300.5767384671
Demethylmenaquinol	299.0433699962
S-Adenosyl-L-methionine	2845.0340175279
Menaquinol	299.0433699962
S-Adenosyl-L-homocysteine	2032.1751964251
2-Methoxy-6-all-trans-polyprenyl-1,4-benzoquinol	299.0433699962
5-Methoxy-2-methyl-3-(all-trans-polyprenyl)benzene-1,4-diol	329.488355883
Acetyl phosphate	312.9056981411
Acetate	798.1923045246001
Benzoyl phosphate	292.3911876747
Benzoate	370.3967528024
3-Phospho-D-glyceroyl phosphate	320.7529634803
3-Phospho-D-glycerate	617.5333747454001
meso-2,6-Diaminoheptanedioate	613.2298755191
NADP	5112.681877182699
L-2-Amino-6-oxoheptanedioate	290.9387146735
NADPH	4979.5891733532
Ascorbate	370.31377311119996
L-Ascorbate 6-phosphate	370.31377311119996
D-Arabinose 5-phosphate	268.4006326578
tRNA guanine	261.0370169835
tRNA containing N1-methylguanine	261.0370169835
UDP-glucose	310.1667844516999
alpha-D-Galactose 1-phosphate	327.6365879601
D-Glucose 1-phosphate	615.6124680503
UDP-alpha-D-galactose	358.10308604889997
alpha-D-Galactose	322.9966469849
Cytidine	795.4941913031001
Uridine	924.5195809858001
Deoxycytidine	401.1778917451
Deoxyuridine	596.6180189802
5'-Deoxy-5-fluorocytidine	247.736311387
5'-Deoxy-5-fluorouridine	247.736311387
L-Leucine	296.87998427770003
4-Methyl-2-oxopentanoate	467.3834824174
L-Glutamate	3687.1836977698995
L-Valine	455.7455245681
3-Methyl-2-oxobutanoic acid	476.2844008113
L-Isoleucine	404.3765441955
(S)-3-Methyl-2-oxopentanoic acid	289.6502686585
