# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_kegg
UNMAPPED	0.0000000000
UNGROUPED	1080374.3555154456
UNGROUPED	1009421.7416517002
K01520	1198.2655617959
K02428	751.2527760324
K00794	742.0361071879
K00954	613.1624341478
K00981	514.9867391215
K10026	497.4397162086
K01808	490.1803542525
K00177	472.2123444259
K01056	442.8046285592
K01807	441.2615606995
K00566	435.4915908258
K00648	420.4336821206
K18330	419.8883986819
K00942	401.2828247318
K02796	394.6859607442
K01512	378.5697936516
K03340	376.6892225963
K03100	371.5301984152
K02822	370.2859523551
K01442	366.7819553062
K03438	365.4890437903
K05349	364.0164011221
K01190	362.4772468452
K01990	362.0145749073
K01714	359.0468513392
K06041	347.5083258468
K03648	338.1811561134
K00554	337.9743775478
K01817	336.3388854484
K01785	330.9598104440
K00965	325.4080342062
K03183	323.2764038924
K03150	320.8648280155
K20112	313.2101441443
K00850	312.4063089942
K02907	309.3238503271
K00331	308.3767236548
K07443	308.2682892156
K05982	307.1905823938
K06173	306.1351084248
K00939	304.0158390318
K10353	303.7095514871
K00241	300.0274601697
K06969	292.0937337185
K00891	285.0264773862
K01885	282.6862762565
K01159	279.7308476740
K01151	279.6668830474
K02794	277.2680946118
K01815	276.7511758341
K00655	273.6697359771
K13043	269.4165860404
K01639	267.8908488026
K00826	267.6611212582
K02355	266.7464680933
K00847	265.3554574384
K00052	265.1583272504
K00677	263.7603136471
K01813	263.5876679202
K00077	260.4748136636
K03439	259.8819236206
K01607	258.1666099076
K00661	257.3960746022
K00791	255.3308361438
K00145	254.5842939776
K03470	248.9059545593
K01695	244.1690622848
K01537	243.6792800549
K01591	238.7030871107
K00783	238.6524247797
K01620	237.2298373186
K00703	237.0165192635
K02342	236.8793105533
K03778	232.7840816779
K13789	230.9503420613
K02793	229.0617802751
K07636	225.8466279291
K01000	225.1476566490
K01424	223.0592864047
K01489	221.1055053494
K02003	220.9506879282
K01491	219.9452830875
K00940	218.8543537528
K16363	216.0732009852
K09955	215.9195947725
K06180	214.5377905237
K18014	213.9275059930
K01892	213.4241089003
K00348	211.3801097663
K17828	210.1625591058
K02217	209.1215018539
K21574	208.2482256561
K02120	206.5771731164
K01770	206.0989740178
K22393	205.3181613439
K01095	204.9247608140
K02231	204.7581761064
K01809	204.0279478257
K06941	203.1753089189
K01873	199.9633300929
K01840	198.7415950554
K00784	198.6471611427
K19265	198.4711776671
K02769	197.9672642093
K00790	196.2439775156
K01883	194.3214666502
K02528	193.5124714115
K00971	193.3180651477
K03544	192.1866484641
K00240	191.1934045899
K00275	190.5621281354
K03527	189.7274150534
K13668	187.9731688780
K01092	187.0956729549
K21071	186.2179196019
K01493	184.8826652045
K02774	184.8242093241
K06168	184.6634581419
K01462	182.6949463787
K04486	182.2525358541
K01972	181.2049248272
K00337	180.7684903287
K23352	179.6073969641
K20509	179.0019742067
K00330	178.1705377884
K01507	178.1705377884
K19157	178.1705377884
K03734	174.6394047339
K02013	174.2786663158
K15633	173.8240182021
K07106	173.6606245922
K01356	173.2314277778
K02029	172.5815261548
K00912	171.4005381766
K03801	170.9729610901
K02761	168.5491328600
K00757	167.0539920729
K01939	166.7134908911
K10670	166.2038598772
K00180	166.0502614798
K03385	165.9747023871
K02001	165.7216465904
K02621	165.1144267150
K03797	164.0354866552
K01595	164.0231405583
K02124	162.9090365624
K01681	162.2746173711
K03501	161.9863644152
K01744	161.7475616282
K00041	161.2328851332
K01814	159.1156395069
K00057	159.0955820514
K21063	157.8911643157
K00574	157.4372213115
K01881	156.5916597807
K01524	156.1819313573
K00831	155.5704423091
K00075	153.0156177839
K10773	152.7683208814
K01823	152.5489821530
K01928	152.0743563368
K07646	151.5605689454
K02118	150.8650917177
K01628	150.7838221858
K17758	150.3667302726
K00800	149.9028924218
K01206	149.4735841142
K01870	148.3349786440
K00949	148.2610058045
K10213	146.9783128040
K01918	145.8389460381
K12308	145.8371445699
K07496	145.2518605869
K07386	143.8234056500
K00560	143.4999613627
K02111	143.4384663965
K01425	143.2241637745
K01951	143.1235323853
K03685	142.3403920526
K00058	141.3703192220
K00766	141.0133756080
K08218	140.2502917860
K03474	140.2013649224
K12373	139.4185337060
K06967	139.3353130771
K01755	138.7026212700
K02036	138.4479905429
K11072	137.8514382133
K01130	136.4522970795
K01803	135.9659765745
K03215	135.7398238526
K17103	135.5568306532
K03575	135.0265775545
K01805	133.7761444548
K06911	133.6674119387
K03606	131.5533168843
K01633	130.6235614284
K00876	130.2219913572
K00605	130.0837446374
K05606	129.8619080090
K00097	128.8660213642
K03269	128.7456165362
K00962	128.5851112097
K00175	128.5512422694
K07056	128.0677426263
K01775	126.8489778569
K02338	126.8455883297
K01752	126.5415751338
K00604	126.0257561257
K01759	125.8266509805
K23003	125.1349012419
K10441	125.0449915328
K03672	124.4207666120
K01154	124.3701672992
K00951	124.3638527974
K02564	123.9201200554
K00426	123.8455564747
K01649	123.4947508577
K02075	122.9434327235
K01961	122.7737658949
K03550	122.7277458378
K15984	122.7183905515
K21749	122.1721302756
K04567	122.1016457606
K03787	122.0382790490
K00930	121.2125249445
K19506	120.7117464691
K01696	120.6611237377
K00561	120.3945706822
K09013	119.0979530671
K02812	118.7803585256
K11991	118.7803585256
K03387	118.1378419989
K14155	118.0192181633
K00609	116.7065936869
K06153	116.2604455471
K04041	115.4566178176
K00858	115.4329507552
K01889	115.2097931641
K01915	115.1247525954
K01613	114.8006811741
K15342	114.8006042451
K00339	114.5054870105
K06158	114.4461507191
K03070	113.4562220923
K00845	113.3979649356
K00765	111.4681239528
K12112	111.3565861177
K04066	111.2881494700
K01783	111.1760126995
K01277	110.6526605145
K00266	110.4831185590
K00867	109.8045732342
K08728	109.7109222835
K02821	109.1731236448
K01297	109.0335672370
K02959	108.7193505385
K14441	106.7002843255
K11753	106.6957505054
K01515	106.3070034537
K17074	106.0538915407
K01187	104.6948644412
K14652	104.6197316540
K03594	104.5601747584
K07533	104.0715758110
K09761	103.8079272265
K00820	103.7498338324
K00567	103.5875219700
K07029	103.1704555320
K23351	102.1620056126
K03216	101.9282252794
K03273	101.9282252794
K21575	101.2247036816
K00805	100.7751910568
K01874	100.0555106455
K06012	99.8292445289
K00287	99.6479517832
K00334	99.6479517832
K04075	97.9965293954
K00950	97.4674714379
K05837	96.2274194004
K03569	95.9264770563
K08307	94.9043445288
K06885	94.8074074612
K01734	94.3699882354
K11261	93.9718026310
K17759	93.6245207859
K03763	93.5428898075
K03817	93.3807850044
K03437	92.9718711838
K01776	92.2644473747
K03088	92.0302364609
K05833	91.8853790217
K01599	91.7319456164
K04095	91.6515112080
K00874	91.5143714713
K21636	91.3391905493
K06121	89.8036984821
K04084	89.3117634760
K03700	88.9074539862
K01810	88.6438832313
K02119	88.6076424179
K00432	88.5539452229
K01051	88.3214695969
K01586	86.6978279805
K01903	86.3660739827
K11927	86.3436592925
K01736	86.2393696943
K19271	86.1559660485
K00857	85.9896417898
K03101	85.1675610843
K00948	85.1378499036
K01589	84.9765687244
K03617	84.8431132326
K01585	84.6151357330
K02551	84.1456996551
K00860	83.8844339870
K01868	83.6143402614
K01710	83.5160215762
K01197	83.3509619745
K01012	82.8393870738
K05687	82.7930008310
K04564	82.6393960057
K02755	82.5372854523
K02756	82.5372854523
K02757	82.5372854523
K00859	82.0306343409
K02501	81.8798427336
K06019	81.7296044901
K03744	81.2821796480
K01551	81.1563185132
K03775	80.4018672330
K01869	80.1464378593
K15987	79.4959550907
K03177	79.3986353781
K01358	79.2573566674
K11755	78.9763022112
K10547	78.7939807928
K03657	77.6816223141
K14260	77.6725780872
K02906	77.6004084444
K03601	77.4289384620
K00844	77.0457467553
K01890	76.4357545747
K00616	76.4024604581
