# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_merged
READS_UNMAPPED	71308.0000000000
UniRef90_A0A172E6W9	2297.0061783717
UniRef90_A0A2W0APQ0	2133.9617072237
UniClust90_1942-GBOKNFNA_04548	1874.8338040748
UniClust90_12290-LMJGEGCL_02369	1401.4672854284
UniClust90_1818-OMCNLIBF_00732	1308.7836029999
UniRef90_A0A069RJB6	1230.6577807558
UniClust90_4119-GLJLLHIG_01069	1201.2432661730
UniRef90_A7V007	1069.8818991564
UniClust90_3054-OPPDGPDN_00022	1068.3595553023
UniClust90_87130-BLEPMJCG_00888	994.5322393435
UniClust90_28244-DOMIGIEM_01735	930.4836315467
UniRef90_J7TG29	925.2261103308
UniClust90_42083-ACPKOMKP_02531	896.0385650106
UniRef90_Q8A245	789.7340421388
UniRef90_A0A414GM97	783.4664479296
UniClust90_6629-MAMEGABH_00723	781.5642704191
UniRef90_A0A351ECB7	738.2989004462
UniRef90_A0A0M3C7F2	713.0312469999
UniRef90_A0A3R6AEQ3	712.9294079214
UniRef90_A0A3E4KN39	691.9837282880
UniClust90_4530-EELFJPHB_01513	682.3144308819
UniClust90_1886-GOAIKADC_01020	669.8294466818
UniClust90_42343-MNLAPBNM_01466	664.4872513016
UniRef90_A0A1H3AWX1	645.8890370597
UniClust90_71327-LIFNEGGO_00338	624.0512224761
UniClust90_1899-GJHFOBPN_00746	612.2974696233
UniRef90_A0A0U1CS47	606.2291049399
UniRef90_J9GMQ9	602.8016142831
UniRef90_UPI000A058459	600.8972737116
UniClust90_39954-CKIIDPLF_01945	591.0578701915
UniClust90_39966-AEDHJODP_00379	586.4119440706
UniClust90_2325-KLFHGMIP_01864	585.5907578048
UniRef90_I9S795	574.4132383862
UniRef90_A0A417M1R1	573.3805675357
UniClust90_35725-LOMJFFOD_01944	572.3177775695
UniClust90_1848-GPGMDHOG_04206	570.0315907357
UniClust90_35744-AIHNLDFB_01220	557.0134028682
UniClust90_37323-PAGEELHO_00917	554.8844201958
UniClust90_40817-FDKLBMFA_00117	554.7301558906
UniClust90_1930-CGNJEKMA_00552	544.4779143829
UniClust90_1917-OKOAKJLN_01272	537.5770931666
UniClust90_35847-PMPGFGPG_01629	537.5442820647
UniClust90_1959-JACFLFGM_00153	537.4454757784
UniClust90_14110-IHKKKGPA_01447	533.5055109366
UniRef90_A0A3C2ENE0	520.5407687460
UniRef90_A0A016DQP7	518.1181424956
UniClust90_1799-NKNFKGDM_00154	513.4751351066
UniClust90_101324-MKJDENCN_00702	505.9240301785
UniClust90_2141-PGJDNHJA_02504	502.3382110464
UniClust90_17345-EJLFMANA_00198	501.5571069707
UniClust90_4877-NNNOHJEM_01869	499.8779783306
UniClust90_41446-BBOFLENI_00513	498.5917978571
UniClust90_2279-MGBOGCKE_01330	491.4690578877
UniClust90_4866-KCGMKMIF_01832	489.4979305825
UniRef90_G7JRM2	488.5971378469
UniClust90_4245-COFOCADB_00374	488.3765015204
UniClust90_1526-EPMBCCHH_00409	488.1728660516
UniClust90_4042-FKNCLMIP_01235	488.0080081843
UniRef90_A0A174QKC8	478.2694997451
UniRef90_UNK4832-MKKGFMHD_01619	476.4433122996
UniClust90_63713-IMEJGDOD_02187	474.1510234523
UniRef90_A0A357CXW2	473.3207200921
UniClust90_1887-HMJPLMCC_01690	471.2716993444
UniRef90_A0A354UUV3	471.2716993444
UniClust90_1890-KDKMJJBK_02506	468.9623526353
UniRef90_A0A1C5M7Z5	467.6882970222
UniRef90_K1UIN2	464.9031628667
UniRef90_A0A3P1XFR9	464.2813000995
UniClust90_105952-NLIDDOIN_01351	462.5330271842
UniRef90_A0A3G2JXX4	461.9663164465
UniRef90_UNK1845-CMOCOLII_00895	460.6098325456
UniClust90_1782-BHMDGLOD_01717	458.8880092322
UniClust90_11307-CJNGGNPL_01291	457.5660809059
UniClust90_4829-GJJBEGAP_01738	456.1668371859
UniClust90_1493-KEOGMPBH_01087	455.8466077460
UniClust90_103074-FOHMNFPE_03072	439.4857301524
