# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_merged
UNGROUPED	1002310.4334788087
K00003	63.5401043464
K00008	36.0616709142
K00010	21.1065611728
K00013	28.5737824353
K00024	58.571425358
K00033	11.4058277033
K00036	35.8838575132
K00040	24.7502403253
K00041	124.5294145674
K00045	27.0462531856
K00048	12.2929933512
K00052	188.2571764546
K00057	158.272514875
K00058	109.1884144811
K00059	153.7173516237
K00067	42.4726346323
K00075	136.10088992480001
K00077	201.17965406550002
K00097	139.0287146122
K00099	31.4181132896
K00104	25.9252705743
K00145	196.6300675007
K00146	33.4657918795
K00156	20.1539742543
K00158	20.5145104664
K00162	36.7551645856
K00174	28.0315981914
K00175	63.2291535738
K00177	364.7167062368
K00179	21.8153671859
K00180	128.2501509153
K00231	26.082512549
K00240	147.6696439629
K00241	231.72843392459998
K00244	75.4231717484
K00265	15.1588783918
K00266	128.2740365898
K00275	147.1820729116
K00278	20.5145104664
K00286	154.8177213163
K00287	76.9638345685
K00290	29.3539539694
K00294	22.2672065062
K00297	48.6603027612
K00330	137.6113362086
K00331	238.1770494971
K00334	76.9638345685
K00337	139.61788412
K00339	159.2268864749
K00343	49.2003806394
K00348	163.26099541439999
K00382	35.9911385324
K00384	38.873258816
K00426	95.6530340062
K00432	68.3952963263
K00525	12.9431279353
K00526	8.3242864594
K00548	14.8480077912
K00554	261.0370169835
K00558	53.7989290723
K00560	150.1957697395
K00561	92.9876395362
K00566	366.32310768009995
K00567	155.7837583346
K00574	121.5978054653
K00575	24.0243254554
K00595	26.6069868926
K00602	76.7051196666
K00604	128.86419583330002
K00605	100.4711448973
K00609	90.1392031531
K00611	37.9303572791
K00616	59.0100069505
K00626	14.6387929263
K00627	25.9644030582
K00633	29.154944112
K00645	40.955754824
K00647	29.4292849035
K00648	324.7250724047
K00651	41.9035737541
K00652	30.7993142812
K00655	211.3708501703
K00656	15.5022493944
K00661	198.8017671189
K00677	203.7172343436
K00688	17.7991635908
K00691	46.3488173468
K00694	1.6739409329
K00703	227.68252225369997
K00705	49.4856830188
K00757	129.0253896827
K00763	46.910027746
K00765	111.05665608380001
K00766	108.9127264337
K00768	73.9124937601
K00783	184.3249701719
K00784	153.4266081149
K00790	151.57049141800002
K00791	236.25626675729998
K00794	573.117090472
K00798	63.827150375
K00799	29.2044431682
K00800	115.7786106712
K00803	20.7245988266
K00805	77.8344661813
K00806	55.2212424593
K00819	7.0028809878
K00820	80.1319535896
K00821	14.5037243053
K00826	243.1351674304
K00831	140.6716433073
K00833	56.7019090729
K00844	59.5068538929
K00845	127.5405931742
K00847	214.6895822225
K00848	48.535807407700005
K00849	67.3773829255
K00850	241.2893296182
K00851	46.9023830885
K00852	40.9070559478
K00854	47.0506197165
K00857	66.4147375524
K00858	133.0927038295
K00859	63.3569687885
K00860	64.7887646933
K00863	19.7944960024
K00867	128.0280172387
K00869	29.5050034752
K00873	24.9657721714
K00874	70.6818034944
K00876	93.26966988020001
K00891	220.1423136216
K00912	116.9135765974
K00917	39.0054807847
K00919	131.0329054445
K00927	28.3617758056
K00928	89.6751002565
K00930	93.6193925768
K00931	84.7358582507
K00939	308.9442213779
K00940	169.0337831878
K00941	44.2195810439
K00942	309.9337656739
K00948	97.1176830009
K00949	114.5104873658
K00950	35.337306179
K00951	88.7385063043
K00954	473.5805533471
K00962	99.3136642552
K00965	260.2592050346
K00969	89.9365458865
K00971	215.1548932878
K00973	198.3220665006
K00975	31.7369317824
K00981	397.75382720330003
K00982	6.207656812
K00991	54.9566039172
K00995	29.6146339803
K01000	211.08671538139998
K01007	10.605065984
K01012	63.9816149596
K01051	68.2157420526
K01056	426.9487080583
K01077	51.4050636575
K01079	45.3265270779
K01081	49.590759038
K01089	33.3038083757
K01091	112.70750145599999
K01092	144.5047305449
K01093	14.6146278896
K01095	158.275158777
K01104	102.00994205149999
K01126	79.0509635793
K01130	142.0440077437
K01142	50.4440381996
K01151	216.0027911862
K01153	64.73089564930001
K01154	290.7618647499
K01156	14.1101304837
K01159	342.766562077
K01173	17.8651212392
K01176	54.756467763900005
K01179	37.59872574
K01182	28.0588904664
K01183	20.3567065397
K01186	50.5317203063
K01187	154.8693496647
K01190	326.843440136
K01192	27.1008768917
K01194	5.4366046227
K01197	64.3767336281
K01198	26.9403555616
K01200	8.896325135000001
K01205	32.1221676473
K01206	115.447031216
K01209	38.6316884886
K01215	22.2816282721
K01223	72.7894759309
K01224	59.7360525517
K01227	53.0369854588
K01239	36.2899093377
K01243	51.501248581
K01255	3.380117317
K01259	59.2767115131
K01262	55.399663275
K01265	48.1158518212
K01277	102.6648199963
K01278	4.0963111148
K01284	3.845564848
K01297	84.2128842698
K01299	23.8081896555
K01338	36.0152586343
K01356	133.7965779624
K01358	61.2150072102
K01372	27.0675326925
K01409	36.6767953648
K01424	200.2285566993
K01425	110.6202450697
K01426	41.2504005421
K01438	32.9845005294
K01442	300.5767384671
K01443	69.4534564982
K01448	126.5641784304
K01462	206.7600601954
K01465	71.6108248121
K01468	58.0641649316
K01486	43.4698028838
K01487	52.8165461553
K01489	247.736311387
K01491	210.73484329599998
K01493	142.7954975968
K01501	36.7551645856
K01507	137.6113362086
K01512	292.3911876747
K01515	82.1070025111
K01520	1106.2920930197
K01524	120.6282729597
K01531	27.2821840223
K01533	56.8686871784
K01534	36.7070480249
K01537	196.86403918169998
K01547	17.0058497539
K01551	62.6816844748
K01581	7.7891322405
K01585	42.6879361288
K01586	66.9617104088
K01589	65.6322830572
K01591	184.3640995989
K01595	152.3630589205
K01599	70.849848499
K01607	199.3968957765
K01609	46.1163995337
K01613	88.66715748920001
K01619	82.2579448525
K01620	183.2262241961
K01624	49.163199447100006
K01625	37.3943848393
K01628	142.6972655019
K01629	44.3335490363
K01633	100.8880763992
K01639	206.9074838038
K01647	26.7102748852
K01649	116.1191777363
K01662	92.6666679116
K01665	26.8772141032
K01681	125.334004187
K01682	2.6428730681
K01686	32.0921959442
K01687	10.5239626957
K01695	188.5857860614
K01696	123.9928280466
K01698	13.2842298282
K01699	25.7313642873
K01703	35.0643026616
K01710	64.5042186356
K01711	27.9017307803
K01712	2.9404131668
K01714	318.6124192247
K01719	46.9984071751
K01734	72.88736028
K01735	34.2316756738
K01736	66.6076167515
K01739	33.7945324677
K01740	12.8125758576
K01744	124.9269287752
K01750	37.5167219762
K01752	97.7353240118
K01754	18.3540746683
K01755	107.1279981837
K01759	97.1831470399
K01770	159.1820710532
K01775	97.9727487847
K01776	71.2611301812
K01778	89.7908786043
K01783	77.2398857958
K01785	255.6192640594
K01787	60.1218553753
K01791	30.2841849051
K01803	105.0143303576
K01804	104.9431406398
K01805	103.3229972798
K01807	340.8116388886
K01808	378.5944318807
K01809	194.5747932942
K01810	108.2796510994
K01812	34.2238164041
K01813	203.583890136
K01814	122.89414420599999
K01815	213.75082309660002
K01817	319.1915079236
K01823	117.822337699
K01834	53.3377272126
K01835	20.4413749567
K01840	153.4995448477
K01847	12.2320999826
K01854	47.1730401623
K01866	86.1066707998
K01867	18.847479467
K01868	64.5801558013
K01869	53.7448168473
K01870	161.2413767651
K01872	50.034937278200005
K01873	152.6193654169
K01874	92.1962841259
K01875	9.4211945834
K01876	18.2702252003
K01880	27.2273725808
K01881	126.6353240709
K01883	138.2470732259
K01885	218.3348419236
K01887	26.4976751146
K01889	88.9831381687
K01890	101.846049981
K01892	192.3619605459
K01893	56.0250295053
K01903	66.7054777483
K01912	72.339422864
K01915	158.9925241068
K01916	46.303357910100004
K01918	112.6397915428
K01920	20.2607974394
K01921	32.8584852456
K01923	37.9722230156
K01924	78.9088571646
K01925	72.8144192864
K01928	165.5385718325
K01929	26.2017014868
K01937	11.399362513
K01939	114.9898536286
K01950	44.8961672906
K01951	101.7069460924
K01952	30.9640765481
K01953	22.2240530053
K01955	45.0744178631
K01956	24.0787533008
K01958	3.5230756838
K01961	106.8843391747
K01962	9.5140580896
K01972	156.30673204869998
K01990	397.5865847772
K01998	32.6402600115
K02000	6.0488432414
K02001	127.9963427684
K02003	170.6529024351
K02013	198.9701621774
K02015	15.2448603566
K02020	42.9498552461
K02026	41.0535012555
K02029	133.294621624
K02030	91.0185215868
K02031	24.8309370203
K02032	6.4533547275
K02033	38.4389207286
K02035	62.509369758700004
K02036	128.9300160212
K02045	5.7000828452
K02056	59.0395753794
K02075	94.9562720366
K02111	110.78576328919999
K02118	103.714580947
K02119	105.4688839104
K02120	159.5514116733
K02124	125.8240025545
K02169	46.0546640591
K02188	9.1607537784
K02190	85.45711360710001
K02217	161.5165428429
K02230	24.5774231974
K02231	158.1464958426
K02233	45.6876946244
K02238	18.1162896536
K02304	29.9863129969
K02314	58.4762929032
K02316	10.0458436402
K02338	97.9701308582
K02342	232.3139342179
K02343	19.8516064929
K02349	11.8192208356
K02355	197.6399129686
K02358	15.8366581886
K02361	34.3684655866
K02371	46.7429810491
K02428	625.9233476311
K02429	26.9403555616
K02469	15.2765692949
K02472	39.055913923
K02474	14.296323614
K02499	22.8438473122
K02500	24.3301513806
K02501	157.7845999494
K02503	40.7412961799
