# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_1
UNMAPPED	79830.0000000000
UNGROUPED	3483.3497362677
UNGROUPED|unclassified	3483.3497362677
DNA-DIRECTED-RNA-POLYMERASE-RXN	2051.4801473834
DNA-DIRECTED-RNA-POLYMERASE-RXN|unclassified	2051.4801473834
3.1.26.5-RXN	1141.0670363298
3.1.26.5-RXN|unclassified	1141.0670363298
RXN0-6480	1141.0670363298
RXN0-6480|unclassified	1141.0670363298
2.7.13.3-RXN	490.3441739523
2.7.13.3-RXN|unclassified	490.3441739523
2.1.1.86-RXN	229.1667502756
2.1.1.86-RXN|unclassified	229.1667502756
DNA-DIRECTED-DNA-POLYMERASE-RXN	144.4630592907
DNA-DIRECTED-DNA-POLYMERASE-RXN|unclassified	144.4630592907
RXN-20927	144.4630592907
RXN-20927|unclassified	144.4630592907
PEPTIDYLPROLYL-ISOMERASE-RXN	138.0832584434
PEPTIDYLPROLYL-ISOMERASE-RXN|unclassified	138.0832584434
3.2.1.17-RXN	136.2589116128
3.2.1.17-RXN|unclassified	136.2589116128
5.99.1.3-RXN	130.3228123771
5.99.1.3-RXN|unclassified	130.3228123771
ATPSYN-RXN	101.2334015481
ATPSYN-RXN|unclassified	101.2334015481
CARBPSYN-RXN	88.9336148629
CARBPSYN-RXN|unclassified	88.9336148629
3.2.1.21-RXN	84.1209373082
3.2.1.21-RXN|unclassified	84.1209373082
RXN-10769	84.1209373082
RXN-10769|unclassified	84.1209373082
RXN-10773	84.1209373082
RXN-10773|unclassified	84.1209373082
RXN-13602	84.1209373082
RXN-13602|unclassified	84.1209373082
RXN-13603	84.1209373082
RXN-13603|unclassified	84.1209373082
RXN-14179	84.1209373082
RXN-14179|unclassified	84.1209373082
RXN-18846	84.1209373082
RXN-18846|unclassified	84.1209373082
RXN-21055	84.1209373082
RXN-21055|unclassified	84.1209373082
RXN-5341	84.1209373082
RXN-5341|unclassified	84.1209373082
RXN-8036	84.1209373082
RXN-8036|unclassified	84.1209373082
RXN-9674	84.1209373082
RXN-9674|unclassified	84.1209373082
RXN18C3-14	84.1209373082
RXN18C3-14|unclassified	84.1209373082
3.2.1.23-RXN	81.9214002264
3.2.1.23-RXN|unclassified	81.9214002264
KETOLACTOSE-RXN	81.9214002264
KETOLACTOSE-RXN|unclassified	81.9214002264
RXN-12398	81.9214002264
RXN-12398|unclassified	81.9214002264
RXN-12399	81.9214002264
RXN-12399|unclassified	81.9214002264
RXN-12400	81.9214002264
RXN-12400|unclassified	81.9214002264
RXN-19765	81.9214002264
RXN-19765|unclassified	81.9214002264
2PGADEHYDRAT-RXN	76.3615742682
2PGADEHYDRAT-RXN|unclassified	76.3615742682
GMP-SYN-GLUT-RXN	73.8596932289
GMP-SYN-GLUT-RXN|unclassified	73.8596932289
FORMATETHFLIG-RXN	70.7563722718
FORMATETHFLIG-RXN|unclassified	70.7563722718
3.1.21.4-RXN	68.6923956389
3.1.21.4-RXN|unclassified	68.6923956389
2.1.1.72-RXN	68.3158790925
2.1.1.72-RXN|unclassified	68.3158790925
IMP-DEHYDROG-RXN	66.5042620770
IMP-DEHYDROG-RXN|unclassified	66.5042620770
RXN-14267	63.4934957944
RXN-14267|unclassified	63.4934957944
RXN-16938	63.4934957944
RXN-16938|unclassified	63.4934957944
RXN0-5225	63.4934957944
RXN0-5225|unclassified	63.4934957944
2.7.7.8-RXN	63.4318750857
2.7.7.8-RXN|unclassified	63.4318750857
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	62.7345438418
6-PHOSPHO-BETA-GLUCOSIDASE-RXN|unclassified	62.7345438418
RXN0-6994	62.7345438418
RXN0-6994|unclassified	62.7345438418
RXN0-7002	62.7345438418
RXN0-7002|unclassified	62.7345438418
S-ADENMETSYN-RXN	60.9887675242
S-ADENMETSYN-RXN|unclassified	60.9887675242
6PFRUCTPHOS-RXN	60.8351356946
6PFRUCTPHOS-RXN|unclassified	60.8351356946
F16ALDOLASE-RXN	59.1661296453
F16ALDOLASE-RXN|unclassified	59.1661296453
RXN-19916	59.1661296453
RXN-19916|unclassified	59.1661296453
RXN-8631	59.1661296453
RXN-8631|unclassified	59.1661296453
SEDOBISALDOL-RXN	59.1661296453
SEDOBISALDOL-RXN|unclassified	59.1661296453
RIB5PISOM-RXN	56.0581386285
RIB5PISOM-RXN|unclassified	56.0581386285
PRPPSYN-RXN	55.2589545784
PRPPSYN-RXN|unclassified	55.2589545784
RXN-11633	55.0855918824
RXN-11633|unclassified	55.0855918824
RXN-17362	53.9538121466
RXN-17362|unclassified	53.9538121466
ABC-27-RXN	53.6409752445
ABC-27-RXN|unclassified	53.6409752445
RXN-15087	53.5398841251
RXN-15087|unclassified	53.5398841251
RXN-15162	53.5398841251
RXN-15162|unclassified	53.5398841251
RXN-15164	53.5398841251
RXN-15164|unclassified	53.5398841251
RXN-15165	53.5398841251
RXN-15165|unclassified	53.5398841251
TRANS-RXN-165	53.5398841251
TRANS-RXN-165|unclassified	53.5398841251
TRANS-RXN-167A	53.5398841251
TRANS-RXN-167A|unclassified	53.5398841251
RXN-13163	50.9412803241
RXN-13163|unclassified	50.9412803241
RXN-14694	50.7869278716
RXN-14694|unclassified	50.7869278716
UDPGLUCEPIM-RXN	50.4600215705
UDPGLUCEPIM-RXN|unclassified	50.4600215705
INORGPYROPHOSPHAT-RXN	50.3000733075
INORGPYROPHOSPHAT-RXN|unclassified	50.3000733075
ACETOLACTSYN-RXN	49.9780997823
ACETOLACTSYN-RXN|unclassified	49.9780997823
ACETOOHBUTSYN-RXN	49.9780997823
ACETOOHBUTSYN-RXN|unclassified	49.9780997823
PHENYLALANINE--TRNA-LIGASE-RXN	49.9028824569
PHENYLALANINE--TRNA-LIGASE-RXN|unclassified	49.9028824569
ALPHAGALACTOSID-RXN	49.3962555758
ALPHAGALACTOSID-RXN|unclassified	49.3962555758
RXN-11501	49.3962555758
RXN-11501|unclassified	49.3962555758
RXN-12088	49.3962555758
RXN-12088|unclassified	49.3962555758
RXN-17830	49.3962555758
RXN-17830|unclassified	49.3962555758
5.99.1.2-RXN	48.8323245461
5.99.1.2-RXN|unclassified	48.8323245461
ARYLSULFAT-RXN	48.2867210006
ARYLSULFAT-RXN|unclassified	48.2867210006
RXN-20165	48.2867210006
RXN-20165|unclassified	48.2867210006
3.1.26.4-RXN	48.0367310148
3.1.26.4-RXN|unclassified	48.0367310148
2.4.1.129-RXN	47.6949480743
2.4.1.129-RXN|unclassified	47.6949480743
RXN-11291	47.6949480743
RXN-11291|unclassified	47.6949480743
RXN-11348	47.6949480743
RXN-11348|unclassified	47.6949480743
RXN-11350	47.6949480743
RXN-11350|unclassified	47.6949480743
RXN-14712	47.6949480743
RXN-14712|unclassified	47.6949480743
RXN-15521	47.6949480743
RXN-15521|unclassified	47.6949480743
RXN-16650	47.6949480743
RXN-16650|unclassified	47.6949480743
RXN0-2584	47.6687422424
RXN0-2584|unclassified	47.6687422424
LEUCINE--TRNA-LIGASE-RXN	47.2399987070
LEUCINE--TRNA-LIGASE-RXN|unclassified	47.2399987070
PYRUVFORMLY-RXN	47.1755029715
PYRUVFORMLY-RXN|unclassified	47.1755029715
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	47.1621868303
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN|unclassified	47.1621868303
GAPOXNPHOSPHN-RXN	47.0250583368
GAPOXNPHOSPHN-RXN|unclassified	47.0250583368
RXN1YI0-11	47.0250583368
RXN1YI0-11|unclassified	47.0250583368
RXN-13202	46.9337281930
RXN-13202|unclassified	46.9337281930
UNDECAPRENYL-DIPHOSPHATASE-RXN	46.6100487307
UNDECAPRENYL-DIPHOSPHATASE-RXN|unclassified	46.6100487307
GDPPYPHOSKIN-RXN	46.5624572429
GDPPYPHOSKIN-RXN|unclassified	46.5624572429
GTPPYPHOSKIN-RXN	46.5624572429
GTPPYPHOSKIN-RXN|unclassified	46.5624572429
THREONINE--TRNA-LIGASE-RXN	46.2976279349
THREONINE--TRNA-LIGASE-RXN|unclassified	46.2976279349
3.4.21.88-RXN	45.9431759711
3.4.21.88-RXN|unclassified	45.9431759711
BETA-LACTAMASE-RXN	45.8015140062
BETA-LACTAMASE-RXN|unclassified	45.8015140062
RXN-20894	45.8015140062
RXN-20894|unclassified	45.8015140062
RXN-15561	45.7579326385
RXN-15561|unclassified	45.7579326385
NADH-DEHYDROG-A-RXN	45.6364099066
NADH-DEHYDROG-A-RXN|unclassified	45.6364099066
NADH-PQ-DEHYDROG-RXN	45.6364099066
NADH-PQ-DEHYDROG-RXN|unclassified	45.6364099066
RXN-21274	45.6364099066
RXN-21274|unclassified	45.6364099066
RXN-21415	45.6364099066
RXN-21415|unclassified	45.6364099066
PHOSPHOLIPASE-A2-RXN	45.6304093410
PHOSPHOLIPASE-A2-RXN|unclassified	45.6304093410
RXN-15065	45.6304093410
RXN-15065|unclassified	45.6304093410
RXN-15067	45.6304093410
RXN-15067|unclassified	45.6304093410
RXN-15068	45.6304093410
RXN-15068|unclassified	45.6304093410
RXN-16138	45.6304093410
RXN-16138|unclassified	45.6304093410
RXN-16139	45.6304093410
RXN-16139|unclassified	45.6304093410
RXN-17735	45.6304093410
RXN-17735|unclassified	45.6304093410
RXN-17736	45.6304093410
RXN-17736|unclassified	45.6304093410
RXN-20543	45.6304093410
RXN-20543|unclassified	45.6304093410
RXN-20546	45.6304093410
RXN-20546|unclassified	45.6304093410
RXN-20548	45.6304093410
RXN-20548|unclassified	45.6304093410
RXN-20552	45.6304093410
RXN-20552|unclassified	45.6304093410
RXN-20554	45.6304093410
RXN-20554|unclassified	45.6304093410
RXN-20555	45.6304093410
RXN-20555|unclassified	45.6304093410
RXN-20558	45.6304093410
RXN-20558|unclassified	45.6304093410
RXN-20561	45.6304093410
RXN-20561|unclassified	45.6304093410
RXN-20562	45.6304093410
RXN-20562|unclassified	45.6304093410
RXN0-6725	45.6304093410
RXN0-6725|unclassified	45.6304093410
TRANSALDOL-RXN	44.8976072546
TRANSALDOL-RXN|unclassified	44.8976072546
3.4.21.89-RXN	44.7804843641
3.4.21.89-RXN|unclassified	44.7804843641
3-OXOACYL-ACP-REDUCT-RXN	44.3308856930
3-OXOACYL-ACP-REDUCT-RXN|unclassified	44.3308856930
RXN-10655	44.3308856930
RXN-10655|unclassified	44.3308856930
RXN-10659	44.3308856930
RXN-10659|unclassified	44.3308856930
RXN-11476	44.3308856930
RXN-11476|unclassified	44.3308856930
RXN-11480	44.3308856930
RXN-11480|unclassified	44.3308856930
RXN-13008	44.3308856930
RXN-13008|unclassified	44.3308856930
RXN-16616	44.3308856930
RXN-16616|unclassified	44.3308856930
RXN-16622	44.3308856930
RXN-16622|unclassified	44.3308856930
RXN-16626	44.3308856930
RXN-16626|unclassified	44.3308856930
RXN-16630	44.3308856930
RXN-16630|unclassified	44.3308856930
RXN-21614	44.3308856930
RXN-21614|unclassified	44.3308856930
RXN-21618	44.3308856930
RXN-21618|unclassified	44.3308856930
RXN-21622	44.3308856930
RXN-21622|unclassified	44.3308856930
RXN-21626	44.3308856930
RXN-21626|unclassified	44.3308856930
RXN-21631	44.3308856930
RXN-21631|unclassified	44.3308856930
RXN-21635	44.3308856930
RXN-21635|unclassified	44.3308856930
RXN-21645	44.3308856930
RXN-21645|unclassified	44.3308856930
RXN-21650	44.3308856930
RXN-21650|unclassified	44.3308856930
RXN-21655	44.3308856930
RXN-21655|unclassified	44.3308856930
RXN-21660	44.3308856930
RXN-21660|unclassified	44.3308856930
RXN-21665	44.3308856930
RXN-21665|unclassified	44.3308856930
RXN-21670	44.3308856930
RXN-21670|unclassified	44.3308856930
RXN-21676	44.3308856930
RXN-21676|unclassified	44.3308856930
RXN-21681	44.3308856930
RXN-21681|unclassified	44.3308856930
RXN-21686	44.3308856930
RXN-21686|unclassified	44.3308856930
RXN-21691	44.3308856930
RXN-21691|unclassified	44.3308856930
RXN-21696	44.3308856930
RXN-21696|unclassified	44.3308856930
RXN-21702	44.3308856930
RXN-21702|unclassified	44.3308856930
RXN-9514	44.3308856930
RXN-9514|unclassified	44.3308856930
RXN-9518	44.3308856930
RXN-9518|unclassified	44.3308856930
RXN-9524	44.3308856930
RXN-9524|unclassified	44.3308856930
RXN-9528	44.3308856930
RXN-9528|unclassified	44.3308856930
RXN-9532	44.3308856930
RXN-9532|unclassified	44.3308856930
RXN-9536	44.3308856930
RXN-9536|unclassified	44.3308856930
RXN-9540	44.3308856930
RXN-9540|unclassified	44.3308856930
RXN-9552	44.3308856930
RXN-9552|unclassified	44.3308856930
RXN-9556	44.3308856930
RXN-9556|unclassified	44.3308856930
RXN-9633	44.3308856930
RXN-9633|unclassified	44.3308856930
RXN0-2142	44.3308856930
RXN0-2142|unclassified	44.3308856930
RXN1G-157	44.3308856930
RXN1G-157|unclassified	44.3308856930
RXN1G-349	44.3308856930
RXN1G-349|unclassified	44.3308856930
RXN1G-469	44.3308856930
RXN1G-469|unclassified	44.3308856930
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	43.6204073111
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN|unclassified	43.6204073111
3PGAREARR-RXN	43.1916851688
3PGAREARR-RXN|unclassified	43.1916851688
