# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_merged
UNMAPPED	71308.0000000000
UNGROUPED	4544.6506953646
DNA-DIRECTED-RNA-POLYMERASE-RXN	2392.5015832049
3.1.26.5-RXN	1286.0048284477
RXN0-6480	1286.0048284477
2.7.13.3-RXN	758.4707684437
2.1.1.86-RXN	259.9867865698
DNA-DIRECTED-DNA-POLYMERASE-RXN	209.1066674134
RXN-20927	209.1066674134
PEPTIDYLPROLYL-ISOMERASE-RXN	196.0407540180
3.2.1.17-RXN	193.1658993507
3.2.1.23-RXN	160.9928743034
KETOLACTOSE-RXN	160.9928743034
RXN-12398	160.9928743034
RXN-12399	160.9928743034
RXN-12400	160.9928743034
RXN-19765	160.9928743034
5.99.1.3-RXN	152.6270581962
3.2.1.21-RXN	147.4946356679
RXN-10769	147.4946356679
RXN-10773	147.4946356679
RXN-13602	147.4946356679
RXN-13603	147.4946356679
RXN-14179	147.4946356679
RXN-18846	147.4946356679
RXN-21055	147.4946356679
RXN-5341	147.4946356679
RXN-8036	147.4946356679
RXN-9674	147.4946356679
RXN18C3-14	147.4946356679
3.1.21.4-RXN	120.8523489058
ATPSYN-RXN	116.9727581268
2.1.1.72-RXN	114.8188612787
CARBPSYN-RXN	106.9158683729
RXN-15087	104.2453977209
RXN-15162	104.2453977209
RXN-15164	104.2453977209
RXN-15165	104.2453977209
TRANS-RXN-165	104.2453977209
TRANS-RXN-167A	104.2453977209
MALTODEXGLUCOSID-RXN	102.2363618705
RXN-14281	102.2363618705
RXN-14282	102.2363618705
RXN-14283	102.2363618705
RXN-15910	102.2363618705
RXN0-5183	102.2363618705
RXN-2043	99.0217751940
ALPHAGALACTOSID-RXN	93.7204883983
RXN-11501	93.7204883983
RXN-12088	93.7204883983
RXN-17830	93.7204883983
RXN-14267	90.4000654000
RXN-16938	90.4000654000
RXN0-5225	90.4000654000
RXN-15561	88.9856575064
GMP-SYN-GLUT-RXN	84.6070085956
2PGADEHYDRAT-RXN	83.8133099958
FORMATETHFLIG-RXN	80.0499133521
2.7.7.8-RXN	79.3205813222
2.4.1.129-RXN	77.3467843873
RXN-11291	77.3467843873
RXN-11348	77.3467843873
RXN-11350	77.3467843873
RXN-14712	77.3467843873
RXN-15521	77.3467843873
RXN-16650	77.3467843873
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	76.8753555142
RXN0-6994	76.8753555142
RXN0-7002	76.8753555142
5.99.1.2-RXN	73.9405499711
PHENYLALANINE--TRNA-LIGASE-RXN	73.6480196285
S-ADENMETSYN-RXN	71.4859936592
6PFRUCTPHOS-RXN	71.2877809762
F16ALDOLASE-RXN	71.2515607935
RXN-19916	71.2515607935
RXN-8631	71.2515607935
SEDOBISALDOL-RXN	71.2515607935
PRPPSYN-RXN	69.5440895814
IMP-DEHYDROG-RXN	68.4589992038
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	64.6800705135
ARYLSULFAT-RXN	63.2921131015
RXN-20165	63.2921131015
UDPGLUCEPIM-RXN	62.0691258145
ABC-27-RXN	61.9861706683
RXN-13163	61.2739677892
3.2.1.3-RXN	61.0962470178
RXN-9024	61.0962470178
ALANINE--TRNA-LIGASE-RXN	60.0711033049
3-OXOACYL-ACP-REDUCT-RXN	59.6538521101
RXN-10655	59.6538521101
RXN-10659	59.6538521101
RXN-11476	59.6538521101
RXN-11480	59.6538521101
RXN-13008	59.6538521101
RXN-16616	59.6538521101
RXN-16622	59.6538521101
RXN-16626	59.6538521101
RXN-16630	59.6538521101
RXN-21614	59.6538521101
RXN-21618	59.6538521101
RXN-21622	59.6538521101
RXN-21626	59.6538521101
RXN-21631	59.6538521101
RXN-21635	59.6538521101
RXN-21645	59.6538521101
RXN-21650	59.6538521101
RXN-21655	59.6538521101
RXN-21660	59.6538521101
RXN-21665	59.6538521101
RXN-21670	59.6538521101
RXN-21676	59.6538521101
RXN-21681	59.6538521101
RXN-21686	59.6538521101
RXN-21691	59.6538521101
RXN-21696	59.6538521101
RXN-21702	59.6538521101
RXN-9514	59.6538521101
RXN-9518	59.6538521101
RXN-9524	59.6538521101
RXN-9528	59.6538521101
RXN-9532	59.6538521101
RXN-9536	59.6538521101
RXN-9540	59.6538521101
RXN-9552	59.6538521101
RXN-9556	59.6538521101
RXN-9633	59.6538521101
RXN0-2142	59.6538521101
RXN1G-157	59.6538521101
RXN1G-349	59.6538521101
RXN1G-469	59.6538521101
BETA-LACTAMASE-RXN	59.5665768317
RXN-20894	59.5665768317
LEUCINE--TRNA-LIGASE-RXN	59.2119879291
PROTEIN-TYROSINE-PHOSPHATASE-RXN	58.8674656302
RXN-14694	57.8724296873
PHOSPHOLIPASE-A2-RXN	57.2880796791
RXN-15065	57.2880796791
RXN-15067	57.2880796791
RXN-15068	57.2880796791
RXN-16138	57.2880796791
RXN-16139	57.2880796791
RXN-17735	57.2880796791
RXN-17736	57.2880796791
RXN-20543	57.2880796791
RXN-20546	57.2880796791
RXN-20548	57.2880796791
RXN-20552	57.2880796791
RXN-20554	57.2880796791
RXN-20555	57.2880796791
RXN-20558	57.2880796791
RXN-20561	57.2880796791
RXN-20562	57.2880796791
RXN0-6725	57.2880796791
RXN-17362	56.8605699602
UDP-NACMUR-ALA-LIG-RXN	56.4787677033
RXN-11633	55.9309553697
GAPOXNPHOSPHN-RXN	55.9141629875
RXN1YI0-11	55.9141629875
ACETOLACTSYN-RXN	55.8530163047
ACETOOHBUTSYN-RXN	55.8530163047
3PGAREARR-RXN	55.5662193588
RIB5PISOM-RXN	55.2625878334
THREONINE--TRNA-LIGASE-RXN	54.1638069287
TRANSALDOL-RXN	54.1251176456
UNDECAPRENYL-DIPHOSPHATASE-RXN	53.9375912718
3.4.21.88-RXN	53.6366515225
INORGPYROPHOSPHAT-RXN	53.5984470705
3.5.1.27-RXN	53.3910936075
3.5.1.88-RXN	53.3910936075
3.4.21.89-RXN	53.2610870261
PYRUVFORMLY-RXN	53.1569289907
TRYPSYN-RXN	53.0298881791
3.1.26.4-RXN	52.8512665817
NADH-DEHYDROG-A-RXN	52.8189903802
NADH-PQ-DEHYDROG-RXN	52.8189903802
RXN-21274	52.8189903802
RXN-21415	52.8189903802
RXN0-2584	51.6053296625
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	51.5061364908
GALPMUT-RXN	50.4396101656
GLUCOSAMINE-6-P-DEAMIN-RXN	50.3127511416
GDPPYPHOSKIN-RXN	49.6703340440
GTPPYPHOSKIN-RXN	49.6703340440
RXN-13202	49.4703285497
ADENYLOSUCCINATE-SYNTHASE-RXN	48.6289068347
GLYCINE--TRNA-LIGASE-RXN	48.5184247148
ABC-32-RXN	47.9620372875
RNA-DIRECTED-DNA-POLYMERASE-RXN	47.0926029437
6.3.5.7-RXN	46.9169085070
PGLUCISOM-RXN	46.7052228139
RXN0-302	46.6420447966
RXN-16820	46.3901621846
RXN-18693	46.3901621846
RXN0-2023	46.3901621846
RXN-12588	46.3351122550
RXN-14385	46.3351122550
RXN-15881	46.3351122550
RXN-20037	46.3351122550
RXN-21560	46.3351122550
RXN-21566	46.3351122550
RXN-9787	46.3351122550
CTPSYN-RXN	46.0702986926
3.2.1.52-RXN	45.9705766954
RXN-12625	45.9705766954
RXN-12626	45.9705766954
RXN-18082	45.9705766954
RXN-21432	45.9705766954
RXN0-5226	45.9705766954
PROLINE--TRNA-LIGASE-RXN	45.9015022679
NACGLCTRANS-RXN	45.8735123687
RXN-11029	45.8735123687
RXN-11346	45.8735123687
RXN-8976	45.8735123687
GTP-CYCLOHYDRO-I-RXN	45.5661326924
LYSINE--TRNA-LIGASE-RXN	45.2048841688
DIHYDROXYISOVALDEHYDRAT-RXN	45.0687396808
DIHYDROXYMETVALDEHYDRAT-RXN	45.0687396808
GLYCOPHOSPHORYL-RXN	44.8157407818
GLYMALTOPHOSPHORYL-RXN	44.8157407818
RXN-12171	44.8157407818
RXN-12392	44.8157407818
RXN-14284	44.8157407818
RXN-14285	44.8157407818
RXN-14286	44.8157407818
RXN-14353	44.8157407818
RXN-1826	44.8157407818
RXN-21092	44.8157407818
RXN-9025	44.8157407818
RXN0-5182	44.8157407818
RXN0-5184	44.8157407818
METHIONINE--TRNA-LIGASE-RXN	44.6088990541
RXN-16165	44.6088990541
L-IDITOL-2-DEHYDROGENASE-RXN	44.3735262906
RXN-7644	44.3735262906
RXN0-1342	44.0866798748
ACETYLGLUTKIN-RXN	44.0224187203
RXN-15005	44.0224187203
MALTACETYLTRAN-RXN	43.9372500229
TRIOSEPISOMERIZATION-RXN	43.6785956650
3.2.1.55-RXN	43.6344024063
RXN-19757	43.6344024063
RXN-19758	43.6344024063
RXN-19769	43.6344024063
2-ISOPROPYLMALATESYN-RXN	43.5286253646
3.1.21.3-RXN	43.3274062556
3.6.3.31-RXN	43.3244017310
ABC-24-RXN	43.3244017310
3-DEHYDROQUINATE-DEHYDRATASE-RXN	43.2073341366
DTDPGLUCOSEPP-RXN	42.7542481996
CYSTEINE--TRNA-LIGASE-RXN	42.7491688941
SAICARSYN-RXN	42.6567846028
VALINE--TRNA-LIGASE-RXN	41.7717743015
GLURS-RXN	41.5716161841
PYFLAVOXRE-RXN	41.1573610060
PYRUFLAVREDUCT-RXN	41.1573610060
GLYCOGEN-BRANCH-RXN	41.1021170456
RXN-14371	41.1021170456
RXN-14372	41.1021170456
RXN-18777	41.1021170456
RXN-7669	41.1021170456
RXN-7710	41.1021170456
HISTIDINE--TRNA-LIGASE-RXN	40.8283573077
AICARTRANSFORM-RXN	40.7963168833
PRPPAMIDOTRANS-RXN	40.7666847498
FGAMSYN-RXN	40.5726215582
2.1.1.63-RXN	40.2767683104
RXN-17824	40.2767683104
DXS-RXN	40.2262897276
AMINOCYL-TRNA-HYDROLASE-RXN	40.1681900828
RXN-12460	40.1681900828
RXN-16637	40.1681900828
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	39.7179488648
RXN-11475	39.5236374733
PHOSGLYPHOS-RXN	39.4343694361
3.2.1.96-RXN	39.0797020180
ASPARAGINE--TRNA-LIGASE-RXN	39.0288050383
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	38.9008740857
RXN0-4522	38.8840034066
TRANS-RXN0-202	38.8840034066
