# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_merged
ALPHA-L-FUCOSIDASE-RXN	38.8069854620
RXN-19378	38.8069854620
RXN-19379	38.8069854620
RXN-21816	38.8069854620
RXN197R-54	38.8069854620
2.3.1.180-RXN	38.6840541793
3.2.1.37-RXN	38.6781313512
POLYPHOSPHATE-KINASE-RXN	38.6750003142
RXN-13997	38.6029735499
RXN0-6274	38.5186461921
UGD-RXN	38.3390151509
RXN-15878	38.1780405081
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	38.1749982515
ALARACECAT-RXN	37.7704087333
GLYCOGENSYN-RXN	37.7482288776
CYTIDINEKIN-RXN	37.7039599197
URIDINEKIN-RXN	37.7039599197
URKI-RXN	37.7039599197
3.4.11.4-RXN	37.6520632899
DEOXYRIBOSE-P-ALD-RXN	37.6452779508
RXN-9985	37.4431718020
METHYLMALONYL-COA-MUT-RXN	37.4304310020
2.7.7.60-RXN	37.4278378473
NUCLEOTIDE-PYROPHOSPHATASE-RXN	37.2887322376
RXN-14139	37.2887322376
RXN-14140	37.2887322376
RXN0-384	37.2887322376
RXN0-385	37.2887322376
RXN0-5107	37.2887322376
SHIKIMATE-5-DEHYDROGENASE-RXN	37.2719135878
GLYC3PDEHYDROGBIOSYN-RXN	37.1505154319
THIAZOLSYN2-RXN	37.1363728453
3.4.21.92-RXN	36.9551144820
3.2.1.73-RXN	36.8075456602
ISOLEUCINE--TRNA-LIGASE-RXN	36.7201516278
5.4.2.10-RXN	36.3736818731
MYO-INOSITOL-2-DEHYDROGENASE-RXN	36.2265644103
PYRIMSYN1-RXN	36.1492965103
RXN-16702	36.1229678936
ASPARTATEKIN-RXN	36.0438547457
ADENYLYLSULFKIN-RXN	36.0074560872
RXN0-6481	35.7719884034
RXN0-6482	35.7719884034
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	35.7719884034
RXN0-2161	35.7335623507
SERINE--TRNA-LIGASE-RXN	35.7335623507
RXN0-5063	35.7110931245
3.4.16.4-RXN	35.5930062772
RXN-11065	35.5930062772
RXN-11302	35.5930062772
RXN-11351	35.5930062772
RXN-16649	35.5930062772
RXN-16659	35.5930062772
RXN-19249	35.5930062772
RXN-19253	35.5930062772
RXN-19256	35.5930062772
FRUCTOKINASE-RXN	35.5908825652
RXN-19915	35.5908825652
3.4.21.53-RXN	35.5308386305
GALACTUROISOM-RXN	35.3857473564
GLUCUROISOM-RXN	35.3857473564
PHOSNACMURPENTATRANS-RXN	35.1785314010
RXN-11347	35.1785314010
RXN-8975	35.1785314010
URACIL-PRIBOSYLTRANS-RXN	35.1536305977
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	34.7589725333
RXN-15043	34.7589725333
RXN-16025	34.7589725333
RXN-16032	34.7589725333
RXN-16067	34.7589725333
RXN-16076	34.7589725333
RXN-16077	34.7589725333
RXN-16118	34.7589725333
RXN-1623	34.7589725333
RXN-17008	34.7589725333
RXN-17009	34.7589725333
RXN-17010	34.7589725333
RXN-17011	34.7589725333
RXN-17012	34.7589725333
RXN-17013	34.7589725333
RXN-17014	34.7589725333
RXN-17015	34.7589725333
RXN-17019	34.7589725333
RXN-17020	34.7589725333
RXN-17021	34.7589725333
RXN-17022	34.7589725333
RXN-17023	34.7589725333
RXN-17024	34.7589725333
RXN-17729	34.7589725333
RXN-20512	34.7589725333
RXN-20528	34.7589725333
RXN-20565	34.7589725333
RXN0-5514	34.7589725333
RXN0-6705	34.7589725333
2.4.1.212-RXN	34.5765837693
RXN-11627	34.5765837693
HISTAMINOTRANS-RXN	34.4727589966
GLYOHMETRANS-RXN	34.1867327013
GLYCOLALDREDUCT-RXN	34.0511961313
LACTALDREDUCT-RXN	34.0511961313
RXN-8641	34.0511961313
ASPCARBTRANS-RXN	34.0029298875
BTUR2-RXN	33.9297814958
RXN-19335	33.9297814958
RXN-19339	33.9297814958
RXN-19368	33.9297814958
RXN-19369	33.9297814958
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	33.7525127889
TRANS-RXN-236	33.6717048746
LUMAZINESYN-RXN	33.5569995974
4.3.1.17-RXN	33.4742630648
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	33.4603634411
FUMHYDR-RXN	33.4319831102
3.1.3.16-RXN	33.3596485722
RXN0-6366	33.3537567696
COBALAMIN5PSYN-RXN	33.3110615034
COBALAMINSYN-RXN	33.3110615034
RXN-19296	33.3110615034
RXN-19297	33.3110615034
RXN-19302	33.3110615034
RXN-19303	33.3110615034
RXN-19304	33.3110615034
RXN-19305	33.3110615034
RXN-19307	33.3110615034
RXN-19308	33.3110615034
RXN-19318	33.3110615034
DXPREDISOM-RXN	33.3059952369
QOR-RXN	33.1832003749
GLUTAMIDOTRANS-RXN	33.1534951817
LTARTDEHYDRA-RXN	33.0612807385
RXN-14570	32.9645869022
RXN-11637	32.8717431234
DTDPGLUCDEHYDRAT-RXN	32.5662797103
ASPAMINOTRANS-RXN	32.5425053646
RXN-11737	32.5425053646
RXN-13697	32.5425053646
N-ACETYLGLUTPREDUCT-RXN	32.4492067839
RXN-15006	32.4492067839
SHIKIMATE-KINASE-RXN	32.2628187159
PEPDEPHOS-RXN	32.1800400048
RXN-14117	32.1800400048
RXN-14192	32.1800400048
RXN-14207	32.1800400048
HOMOCYSMETB12-RXN	32.0950605545
RXN0-11	31.9731896848
2.7.3.9-RXN	31.8313076217
FMNREDUCT-RXN	31.7290735222
GLUC1PADENYLTRANS-RXN	31.3963449461
HYDROXYLAMINE-REDUCTASE-RXN	31.2651792623
3.4.21.105-RXN	31.2013635759
GLUTDEHYD-RXN	30.4852180093
AICARSYN-RXN	30.4773959530
AMPSYN-RXN	30.4773959530
TRYPTOPHAN--TRNA-LIGASE-RXN	30.4654297946
OROPRIBTRANS-RXN	30.4455082278
ADENYL-KIN-RXN	30.4375717877
RXN-12458	30.4021460483
RXN-14517	30.4021460483
PSERTRANSAM-RXN	30.2950150887
PSERTRANSAMPYR-RXN	30.2950150887
3.6.3.52-RXN	30.2928618306
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	30.0079253067
IGPSYN-RXN	29.9823106799
3.2.1.8-RXN	29.9796366278
AIRS-RXN	29.9788196803
RXN-20789	29.9603946625
UDPNACETYLGLUCOSAMACYLTRANS-RXN	29.9603946625
RXN0-5189	29.8701899351
NADH-PEROXIDASE-RXN	29.7188973894
ARABISOM-RXN	29.6674251858
ACETYLHOMOSER-CYS-RXN	29.6503761813
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	29.6503761813
RXN0-5359	29.6329216639
ISPH2-RXN	29.5259147728
RXN0-884	29.5259147728
DIHYDRODIPICSYN-RXN	29.5062698273
GLUTRACE-RXN	29.4450433303
GLUTAMINE--TRNA-LIGASE-RXN	29.3994291193
ADPREDUCT-RXN	29.1536517432
CDPREDUCT-RXN	29.1536517432
GDPREDUCT-RXN	29.1536517432
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	29.1536517432
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	29.1536517432
RXN0-722	29.1536517432
RXN0-747	29.1536517432
RXN0-748	29.1536517432
UDPREDUCT-RXN	29.1536517432
RXN-15513	29.1021905542
TRANS-RXN-214	29.0987383267
TYROSINE--TRNA-LIGASE-RXN	29.0908347947
ARGSUCCINLYA-RXN	28.9159577526
RXN-22	28.9159577526
3.1.26.3-RXN	28.8486286723
1.5.1.20-RXN	28.6161505350
PHOSPHASERDECARB-RXN	28.6113186206
ALDOSE-1-EPIMERASE-RXN	28.5173183032
ALDOSE1EPIM-RXN	28.5173183032
GUANPRIBOSYLTRAN-RXN	28.4411707231
HYPOXANPRIBOSYLTRAN-RXN	28.4411707231
RXN-14014	28.3454127037
3.2.1.1-RXN	28.2107309592
ALPHA-AMYL-RXN	28.2107309592
RXN-1823	28.2107309592
RXN0-5181	28.2107309592
RXN0-1602	28.2016927317
RXN0-1603	28.2016927317
RIBOPHOSPHAT-RXN	28.1618025865
ASPARTATE--TRNA-LIGASE-RXN	28.1057195668
GUANYL-KIN-RXN	28.0973152347
CHOLOYLGLYCINE-HYDROLASE-RXN	28.0268523878
RXN-17388	28.0268523878
LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN	27.9515150360
RIBULP3EPIM-RXN	27.9068688252
THIOREDOXIN-REDUCT-NADPH-RXN	27.8809888642
3.4.11.9-RXN	27.8453797206
5-NUCLEOTID-RXN	27.8399804594
AMP-DEPHOSPHORYLATION-RXN	27.8399804594
RXN-14025	27.8399804594
RXN-14227	27.8399804594
RXN-5841	27.8399804594
RXN-7609	27.8399804594
XMPXAN-RXN	27.8399804594
3.1.26.11-RXN	27.8362172925
F16BDEPHOS-RXN	27.7849827798
1.12.1.3-RXN	27.6159459306
PEPCARBOXYKIN-RXN	27.4407746005
H2PTEROATESYNTH-RXN	27.4302637879
4.2.99.18-RXN	27.3242857803
RXN-1961	27.2616411719
ACETYL-COA-CARBOXYLTRANSFER-RXN	27.2195396765
PANTOTHENATE-KIN-RXN	27.0379857016
METHENYLTHFCYCLOHYDRO-RXN	26.9806477747
METHYLENETHFDEHYDROG-NADP-RXN	26.9423539585
UDPGLCNACEPIM-RXN	26.8519535391
ACETOLACTREDUCTOISOM-RXN	26.7771399051
ACETOOHBUTREDUCTOISOM-RXN	26.7771399051
ARGDECARBOX-RXN	26.7274597010
2.3.1.179-RXN	26.7260775899
RXN-21617	26.7260775899
RXN-21621	26.7260775899
RXN-21625	26.7260775899
RXN-21629	26.7260775899
RXN-21634	26.7260775899
RXN-21649	26.7260775899
RXN-21654	26.7260775899
RXN-21659	26.7260775899
RXN-21664	26.7260775899
RXN-21669	26.7260775899
RXN-21680	26.7260775899
RXN-21685	26.7260775899
RXN-21690	26.7260775899
RXN-21695	26.7260775899
RXN-21701	26.7260775899
RXN-8391	26.7260775899
3.2.1.39-RXN	26.7040446190
2.3.1.128-RXN	26.6879136346
SUGAR-PHOSPHATASE-RXN	26.6869485869
DIHYDROFOLATEREDUCT-RXN	26.6604411798
RXN-18357	26.6604411798
RXN-19329	26.6604411798
RXN-11586	26.5738375905
UDPNACETYLMURAMATEDEHYDROG-RXN	26.4975907762
EXOPOLYPHOSPHATASE-RXN	26.2065390141
GALACTOACETYLTRAN-RXN	26.1554990502
TRANS-RXN-276	26.0960672041
LINOLENOYL-RXN	26.0550200051
R223-RXN	26.0550200051
RXN-12184	26.0550200051
RXN-12978	26.0550200051
RXN-13290	26.0550200051
RXN-13614	26.0550200051
RXN-16380	26.0550200051
RXN-16389	26.0550200051
RXN-16393	26.0550200051
RXN-16401	26.0550200051
RXN-16402	26.0550200051
RXN-16418	26.0550200051
RXN-19751	26.0550200051
RXN-19960	26.0550200051
RXN-20651	26.0550200051
RXN-21443	26.0550200051
RXN-21445	26.0550200051
RXN-21446	26.0550200051
RXN-21447	26.0550200051
RXN-21448	26.0550200051
RXN-21449	26.0550200051
RXN-21450	26.0550200051
RXN-7904	26.0550200051
RXN-9623	26.0550200051
RXN-9644	26.0550200051
RXN-9673	26.0550200051
RXN0-7238	26.0550200051
RXN0-7239	26.0550200051
RXN0-7248	26.0550200051
RXN66-469	26.0550200051
RXN66-477	26.0550200051
RXN66-480	26.0550200051
RXN66-483	26.0550200051
RXN66-484	26.0550200051
TRANS-RXN0-623	26.0550200051
RXN-11638	25.9734580516
RXN-11578	25.9144428038
THYMIDYLATESYN-RXN	25.7986367553
GLUTAMINESYN-RXN	25.7548830136
ANTHRANSYN-RXN	25.7535582008
ATPASE-RXN	25.7487578497
NUCLEOSIDE-TRIPHOSPHATASE-RXN	25.7487578497
RXN-12195	25.7487578497
RXN-12196	25.7487578497
AKBLIG-RXN	25.6751532107
UREA-CARBOXYLASE-RXN	25.6674437565
1.1.1.274-RXN	25.6002052190
GLUTSEMIALDEHYDROG-RXN	25.5973476068
PANTEPADENYLYLTRAN-RXN	25.5735390202
HOMOCYSTEINE-DESULFHYDRASE-RXN	25.5404065127
XANPRIBOSYLTRAN-RXN	25.5276004776
RXN-15041	25.4578685260
RXN-19726	25.4578685260
RXN-19727	25.4578685260
RXN-19728	25.4578685260
RXN-19729	25.4578685260
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	25.3643719357
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	25.3643719357
NAD-KIN-RXN	25.2894926625
ASPDECARBOX-RXN	25.2532682269
GLUTAMATESYN-RXN	25.1943025606
PHOSPHOGLUCMUT-RXN	25.1784340269
OROTPDECARB-RXN	25.0687703826
UROCANATE-HYDRATASE-RXN	25.0396843684
GALACTURIDYLYLTRANS-RXN	25.0047314396
RXN-12093	24.8998107538
PHOSACETYLTRANS-RXN	24.7920065516
3-DEHYDROQUINATE-SYNTHASE-RXN	24.7492819932
GALACTOKIN-RXN	24.7013272643
GLYCEROL-KIN-RXN	24.5691947517
TRANS-RXN-2	24.4862691623
UDP-NACMURALGLDAPLIG-RXN	24.4751091167
TDCEACT-RXN	24.4329532118
GLYOXI-RXN	24.3933136014
PRTRANS-RXN	24.3808198991
ARGININE--TRNA-LIGASE-RXN	24.3699894906
RXN-14992	24.3574976772
GPH-RXN	24.3091478830
PSERPHOSPHA-RXN	24.3036785907
RXN0-5114	24.3036785907
RIBULPEPIM-RXN	24.2114085090
RXN-982	24.1922322664
2.7.1.148-RXN	24.1016320478
UDP-NACMURALA-GLU-LIG-RXN	24.0952168748
DIAMINOPIMEPIM-RXN	24.0344447162
PROPIONYL-COA-CARBOXY-RXN	23.9514814588
RXN1G-4355	23.9514814588
ACYLPHOSPHATASE-RXN	23.8951782103
3.4.21.107-RXN	23.7673285093
RXN-14461	23.7605509633
LIPIDADISACCHARIDESYNTH-RXN	23.7463074613
RXN-20785	23.7463074613
2.7.1.156-RXN	23.6857315838
COBINAMIDEKIN-RXN	23.6857315838
RXN-14063	23.6857315838
ALCOHOL-DEHYDROG-GENERIC-RXN	23.3675489678
ALCOHOL-DEHYDROG-RXN	23.3675489678
RXN-10781	23.3675489678
RXN-10911	23.3675489678
RXN-10915	23.3675489678
RXN-12448	23.3675489678
RXN-13198	23.3675489678
RXN-5424	23.3675489678
RXN-7657	23.3675489678
RXN-7693	23.3675489678
RXN-7694	23.3675489678
RXN-7700	23.3675489678
RXN-7706	23.3675489678
RXN3O-4113	23.3675489678
RXN66-478	23.3675489678
DEPHOSPHOCOAKIN-RXN	23.2782322804
RIBOKIN-RXN	23.2226775519
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	23.1885668510
CHORISMATE-SYNTHASE-RXN	23.1059956900
RXN-11837	23.0092395608
KDO-8PSYNTH-RXN	23.0054281434
SUPEROX-DISMUT-RXN	22.9897376273
3.4.11.18-RXN	22.9202975885
RXN-17873	22.9202975885
RXN-17874	22.9202975885
RXN-17875	22.9202975885
RXN-17876	22.9202975885
RXN-17877	22.9202975885
RXN-17878	22.9202975885
SERINE-O-ACETTRAN-RXN	22.8891858723
1.18.1.2-RXN	22.8835205306
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	22.7969357402
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	22.6823271114
3.1.13.1-RXN	22.5999429382
RXN0-4222	22.5999429382
RXN0-6479	22.5999429382
RXN0-6524	22.5999429382
RXN0-6525	22.5999429382
DAHPSYN-RXN	22.5516509268
CDPDIGLYSYN-RXN	22.4359487636
RXN-20524	22.4359487636
RXN0-5515	22.4359487636
ALANINE-DEHYDROGENASE-RXN	22.3860223919
TRANS-RXN-332	22.3804660757
ADENPHOSPHOR-RXN	22.3640072940
DEOXYADENPHOSPHOR-RXN	22.3640072940
DEOXYGUANPHOSPHOR-RXN	22.3640072940
DEOXYINOPHOSPHOR-RXN	22.3640072940
INOPHOSPHOR-RXN	22.3640072940
PNP-RXN	22.3640072940
RXN-11715	22.3640072940
RXN-11743	22.3640072940
RXN-14029	22.3640072940
RXN-7001	22.3640072940
XANTHOSINEPHOSPHORY-RXN	22.3640072940
RXN0-4181	22.3576633621
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	22.3028738141
RXN0-20	22.2431858590
RXN0-6575	22.0800407599
ARGSUCCINSYN-RXN	22.0239444030
RXN-10	22.0239444030
ENOYL-COA-HYDRAT-RXN	21.9570611241
METHYLACYLYLCOA-HYDROXY-RXN	21.9570611241
RXN-12567	21.9570611241
RXN-13616	21.9570611241
RXN-14266	21.9570611241
RXN-14272	21.9570611241
RXN-14273	21.9570611241
RXN-16135	21.9570611241
RXN-16558	21.9570611241
RXN-17114	21.9570611241
RXN-17475	21.9570611241
RXN-17776	21.9570611241
RXN-17780	21.9570611241
RXN-17785	21.9570611241
RXN-17789	21.9570611241
RXN-17793	21.9570611241
RXN-17797	21.9570611241
RXN-20675	21.9570611241
RXN-20678	21.9570611241
RXN-21223	21.9570611241
RXN-21755	21.9570611241
RXN-21759	21.9570611241
RXN-21766	21.9570611241
RXN-21779	21.9570611241
RXN-21780	21.9570611241
RXN-21781	21.9570611241
RXN-2425	21.9570611241
RXN0-5393	21.9570611241
TIGLYLCOA-HYDROXY-RXN	21.9570611241
RXN-14569	21.8839860164
RXN-11602	21.7854818872
RHAMNULOKIN-RXN	21.7784134316
ACSERLY-RXN	21.7159153392
RXN-12726	21.7159153392
RXN-14455	21.5386785212
TRANS-RXN0-207	21.5386785212
OROTATE-REDUCTASE-NADH-RXN	21.5209662303
DALADALALIG-RXN	21.3049393401
DTDPDEHYRHAMREDUCT-RXN	21.2900180296
FUCISOM-RXN	21.2787947707
GLUTKIN-RXN	21.2669442576
