# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_merged
UniClust90_1917-FDAINOLO_00766	0.000509314
UniClust90_6629-MAMEGABH_00723	0.000507104
UniClust90_1939-NBNLDBDH_00316	0.000506298
UniClust90_1930-OEGKNLDM_01888	0.000503583
UniRef90_A0A0U1CS47	0.000503583
UniClust90_1878-PJAOOBFH_03570	0.000503563
UniRef90_A0A415N4Z1	0.000500638
UniClust90_78600-ACEGBPIP_00385	0.000499814
UniClust90_1455-NACALEBA_00570	0.000499165
UniRef90_A6L565	0.00049745
UniClust90_40732-CEHJHGOG_00525	0.000496754
UniRef90_S3YI06	0.000492682
UniClust90_49997-LFMILECE_00405	0.000490559
UniClust90_4673-DNBHLECP_00429	0.000490252
UniRef90_Q8A9C2	0.000486416
UniRef90_F3PU20	0.000486409
UniClust90_42083-ACPKOMKP_02531	0.000486366
UniClust90_63182-EGMEDAFH_01251	0.000486366
UniClust90_2278-KKMAFLPD_00366	0.000482244
UniRef90_A0A0P0M5X8	0.000480381
UniClust90_4741-EGAFIACF_04396	0.000480099
UniRef90_UPI00097D15D4	0.000478519
UniClust90_6141-EPLOAIGP_01757	0.000478192
UniRef90_UNK1835-CHPLNFGI_00907	0.000475518
UniClust90_15159-EBPGLOAP_01375	0.000474207
UniClust90_2302-HNBICMIK_00644	0.000474207
UniClust90_4826-NMCHBCPO_01905	0.000474207
UniRef90_A0A116MR50	0.000474207
UniRef90_A0A3D4QPX8	0.000474207
UniRef90_A0A405FTH9	0.000474207
UniRef90_B0P5R4	0.000474207
UniRef90_A0A174S112	0.000471067
UniRef90_A0A0E9G982	0.000470858
UniRef90_A0A139K2U9	0.000470737
UniRef90_W6PCV4	0.000470499
UniRef90_A0A408EA95	0.000470288
UniClust90_69981-LPDCKLMI_00895	0.000469658
UniRef90_A0A139JWZ8	0.000468114
UniRef90_A0A449PM13	0.000467855
UniRef90_A0A412Q892	0.000467349
UniRef90_A0A0P0LH34	0.000467052
UniRef90_UNK36997-HABJADAI_02294	0.000466433
UniRef90_W6NZ25	0.000466433
UniRef90_A0A0P0F1L8	0.000465609
UniRef90_A0A3E4N3Z3	0.000464364
UniClust90_1934-OOMCKDKL_03668	0.000463344
UniRef90_A0A174C2D7	0.000463239
UniClust90_1797-OAHNJPKH_01852	0.00046271
UniClust90_15015-MNJMAEDN_00333	0.000462641
UniClust90_4572-FIDNHDDI_01808	0.000462641
UniClust90_6961-EHOKEMGO_02856	0.000462641
UniRef90_A0A3S4ISP4	0.000462641
UniClust90_1416-PFJGKDNH_00285	0.00045891
UniClust90_42083-ACPKOMKP_00833	0.000458236
UniClust90_40184-ABALLAKF_00411	0.000455239
UniClust90_4877-JIDFMLNF_01992	0.000455239
UniClust90_7753-JOJJAHNA_02181	0.000455239
UniRef90_A0A3G2C7N5	0.000455239
UniClust90_1828-FAHBPBDB_01846	0.00045468
UniRef90_A0A180FHJ0	0.000452762
UniRef90_A0A1V5J6D9	0.000451626
UniRef90_A0A108THE8	0.000450815
UniRef90_A0A0P0M5V9	0.000450669
UniClust90_15211-NFIINBHD_00794	0.00044807
UniRef90_T2JPW6	0.00044807
UniClust90_1878-HHDFHIHC_03144	0.00044682
UniClust90_15272-PIMMBMJO_00350	0.000444569
UniClust90_16986-CEBGMLDC_00781	0.000444569
UniClust90_41731-GPMIJFLE_00997	0.000444569
UniRef90_A0A133ZJ74	0.000444569
UniRef90_UNK16986-CEBGMLDC_00781	0.000444569
UniRef90_I9S795	0.000443839
UniClust90_83646-MPMAMGJJ_01679	0.000441123
UniRef90_A0A417FT41	0.000441123
UniRef90_B3JDZ6	0.000440588
UniRef90_A0A0J9I2L5	0.000439272
UniRef90_A0A0P0FBJ1	0.000438859
UniClust90_40817-BJFIOJPJ_01307	0.000438442
UniRef90_UNK35746-LGCFINOA_01989	0.000437729
UniRef90_A0A174JDR5	0.000437305
UniClust90_43257-AJKPMADD_00933	0.000434388
UniClust90_79687-GEABBFIB_02967	0.000434388
UniRef90_A0A0D0SDV4	0.000434388
UniClust90_2302-MICHJBCD_01687	0.000433709
UniRef90_A0A180FPJ6	0.000432761
UniClust90_35718-KPPPFOBH_00135	0.000431097
UniClust90_40607-CHPJOJHL_01936	0.000431097
UniClust90_72997-GBAOEBMO_00629	0.000431097
UniClust90_40196-IMDDKGIM_01010	0.000430358
UniRef90_A0A0P0M522	0.000428015
UniClust90_87130-BLEPMJCG_00888	0.000428007
UniClust90_37021-NCKIDCJK_00769	0.000427856
UniClust90_94881-NMCKOOBA_00142	0.000427856
UniRef90_A0A174TBW0	0.000427856
UniRef90_A0A373STG0	0.000427856
UniRef90_UNK15099-GCHPBACJ_00282	0.000427856
UniClust90_1823-LBAPFPKA_01013	0.000426244
UniClust90_4877-NNNOHJEM_01869	0.000424663
UniClust90_6576-BKDPBOFF_00636	0.000424663
UniClust90_35515-MKBOJGGG_01201	0.000421517
UniClust90_1899-GJHFOBPN_00746	0.000421281
UniClust90_14893-CIBMCJFG_01203	0.000421154
UniClust90_2290-IIDOJGPB_01671	0.000418418
UniClust90_2296-FDJIIFNO_00854	0.000418418
UniRef90_A0A1Q6RT48	0.000418418
UniRef90_B9YBY3	0.000418249
UniClust90_35725-LOMJFFOD_01944	0.000418044
UniRef90_B5CSV1	0.000417969
UniClust90_15102-GAOHJENJ_00164	0.000415414
UniClust90_41409-MHGACILG_02199	0.000415364
UniClust90_4448-LFEPFNDE_01287	0.000415364
UniRef90_A0A108T8A9	0.000415141
UniClust90_15111-NDHMDHJA_00656	0.000414517
UniRef90_A0A174RFL8	0.000409369
UniRef90_A0A379MPZ0	0.000409309
UniClust90_35616-AHAHKMKE_01410	0.000408004
UniClust90_27790-LJKHEBMP_02390	0.000407925
UniClust90_40817-FDKLBMFA_00117	0.000406826
UniClust90_15368-LCFGBNGK_00323	0.000406463
UniClust90_21455-GFEGNNBJ_02376	0.000406463
UniRef90_J9G771	0.000406463
UniClust90_1701-FKJCCFKB_01127	0.000406029
UniRef90_A0A078RFD0	0.00040489
UniClust90_35534-JHAOGNIJ_01258	0.00040358
UniClust90_35823-LCIJLEMO_00800	0.00040358
UniClust90_4671-PPMFLFPD_02367	0.00040358
UniClust90_4757-HBDNGKNG_02963	0.00040358
UniRef90_A0A0P0L0W7	0.000402126
UniRef90_A0A0P0L6B0	0.000400783
UniClust90_1930-ANAMEMLG_00632	0.000400738
UniRef90_UNK5051-FBDDLMNE_01038	0.000400738
UniRef90_UPI001021FD46	0.000398525
UniClust90_61313-GLLJMGBM_01698	0.000397936
UniRef90_A0A3N6C0J5	0.000397936
UniRef90_A0A417L4K1	0.00039767
UniClust90_63647-AFCFPIGF_01552	0.000396723
UniRef90_E8UFZ7	0.000395759
UniRef90_F9D1F0	0.000395705
UniClust90_49927-LKPKACDM_01359	0.000395172
UniRef90_A0A404RRT7	0.000395172
UniRef90_UNK1836-JEGHMHEP_03198	0.000395172
UniClust90_15097-GGOBHOLE_01739	0.000394869
UniClust90_27814-NBOIIMBC_01652	0.000394048
UniClust90_1532-NDHFIIDH_00850	0.000392447
UniClust90_4042-FKNCLMIP_01235	0.000392447
UniRef90_UNK15090-PJIEHEPE_01013	0.000391267
UniClust90_40817-JLLCELBK_01775	0.00039013
UniRef90_A0A2X2LEN4	0.000389759
UniRef90_Q8A2U3	0.000389581
UniRef90_Q9F768	0.000389268
UniClust90_14941-ABCOCBCD_00289	0.000387108
UniClust90_1878-NDEJBJBL_01221	0.000387108
UniRef90_A0A407PXG9	0.000387108
UniRef90_UNK40203-FPDJIJGM_00366	0.000387108
UniRef90_A0A174N3R8	0.000385337
UniRef90_A0A3S4TGY4	0.000384869
UniClust90_14927-AKOPFFGP_00518	0.000384492
UniClust90_35810-HPIIGDAN_01020	0.000384492
UniClust90_5730-IKBHDFAC_00193	0.000384492
UniRef90_E6K9H7	0.000384492
UniClust90_61016-LAPAPFPN_00100	0.000382929
UniRef90_A0A0P0LE22	0.000380295
UniRef90_A0A380ZLJ4	0.000380079
UniClust90_21449-MIAOIONG_00717	0.000379471
UniClust90_15075-MHIAGGFD_00033	0.000379366
UniRef90_A0A401M1U1	0.000378479
UniClust90_1857-FLPDHFPA_03005	0.000377937
UniClust90_43259-ALPOHGDH_01354	0.000376853
UniRef90_A0A357B044	0.000376853
UniRef90_T0T4A2	0.000376853
UniRef90_Q8A0F4	0.00037553
UniClust90_41510-BPHIGPKH_00822	0.000374374
UniRef90_C9PZU5	0.000374374
UniRef90_A0A0S2W7I1	0.000374123
UniClust90_1887-PCMIEHDP_01312	0.000371927
UniRef90_A0A2N5ZFI1	0.000371927
UniRef90_UNK2299-OJHDIAPI_00073	0.000371927
UniRef90_P10337	0.000371098
UniRef90_A0A3E5F0C2	0.000370553
UniClust90_15385-PABCMHBL_01613	0.000369512
UniClust90_15394-MBJHLOGC_01005	0.000369512
UniClust90_40800-ENCOHHHH_01902	0.000369434
UniRef90_A0A173UG62	0.000368387
UniRef90_A0A174EAD3	0.0003683
UniRef90_A0A139KH41	0.00036813
UniRef90_A0A2X1K6N2	0.000367128
UniRef90_A0A330EL10	0.000367128
UniRef90_UNK35926-CLGFEDKD_00037	0.000367128
UniRef90_A0A0G0EAM0	0.000364775
UniRef90_A0A174VSZ3	0.000364775
UniClust90_40285-LPGDKCEC_01312	0.000363186
UniClust90_1942-GEADOODB_04336	0.000362451
UniRef90_R9J5X4	0.000362451
UniRef90_UNK4574-ACJBBCCG_00689	0.000362451
UniRef90_J9G9K7	0.000361432
UniRef90_A0A0P0M1H0	0.000361168
UniRef90_K1TBE8	0.000360903
UniClust90_1835-BDHDLFEA_01799	0.000360688
UniClust90_4895-IAAGNFJB_00517	0.000360157
UniRef90_A0A353RJC4	0.000360157
UniRef90_T0TG37	0.000360157
UniRef90_UNK15256-KBPEFFMN_00960	0.000360157
UniRef90_A0A139TM69	0.000358456
UniClust90_15275-HOPFLLBH_01061	0.000357892
UniClust90_1863-ELHKOOHO_01007	0.000357892
UniClust90_51879-GJGOGAFG_00100	0.000357892
UniRef90_A0A1F0V4V3	0.000357892
UniRef90_A0A2G6QUV9	0.000357671
UniRef90_A0A0P0M1N2	0.000356504
UniClust90_43493-MALHJJBA_01048	0.000355655
UniClust90_4681-JDILGADA_00087	0.000355655
UniRef90_A0A318CFP2	0.000355655
UniRef90_UPI000F8C5B80	0.000355655
UniClust90_1704-IGDDFFJP_01433	0.00035535
UniClust90_3613-IIBMOEGO_01291	0.000355345
UniClust90_14857-KMIFDCMO_00954	0.000354279
UniClust90_1858-AGMNEGDM_01620	0.000353446
UniClust90_37388-AGBNBKGM_01352	0.000353446
UniClust90_40375-FIDFJGMM_01256	0.000353446
UniRef90_I3YI37	0.000351489
UniClust90_35892-FFCGNFDH_01811	0.000351264
UniClust90_37118-ADAOAKOO_01739	0.000351264
UniClust90_94994-FAGCOANO_01512	0.000351264
UniClust90_41453-APBAKCDM_01001	0.00035013
UniClust90_40208-HEKLDLJC_01354	0.000349309
UniClust90_15134-PNKJLGMB_01619	0.000346981
UniClust90_40205-PHDLPHPP_00156	0.000346981
UniClust90_41560-CDJBIKCA_01077	0.000346981
UniRef90_A6L5Q9	0.000346981
UniClust90_4903-ILGPNCJM_03060	0.000345421
UniClust90_40317-HOJIOBOP_00798	0.000344878
UniRef90_A0A358PEM6	0.000344878
UniRef90_A0A3B8U7X3	0.000344878
UniRef90_UNK1815-FIJEFOCF_01798	0.000344332
UniClust90_15124-HCMOFBKP_00844	0.0003428
UniRef90_UNK15124-HCMOFBKP_00844	0.0003428
UniRef90_UNK1585-OBJGDBAD_01003	0.0003428
UniClust90_5071-IBNBHIBE_01287	0.00034182
UniRef90_A0A0S2W722	0.000341535
UniClust90_35739-JGFCKMNL_01605	0.000340796
UniClust90_27838-FBADFPBB_00487	0.000340747
UniRef90_A0A0F0CKK3	0.000340747
UniRef90_J9GIN0	0.000340747
UniClust90_2321-OCGGCMIG_00574	0.000340202
UniRef90_A0A0N7IET5	0.000340153
UniRef90_A0A173TYR4	0.000339456
UniRef90_Q8A005	0.000339127
UniRef90_A0A139KEM3	0.000338719
UniClust90_15106-CFPNHMHG_00380	0.000337457
UniClust90_15837-OPFAGFIA_02388	0.000336715
UniRef90_A0A353MRS9	0.000336715
UniClust90_14963-IIDIEDAC_02999	0.000334734
UniClust90_2296-CNCLDILP_00231	0.000334734
UniClust90_6385-AIIEGBMK_01336	0.000334734
UniRef90_A0A1M6IXL1	0.000334734
UniRef90_A0A3D5EUL0	0.000334734
UniRef90_K6BK37	0.000334734
UniRef90_UNK15090-NJMEHADB_01174	0.000334734
UniRef90_UPI000C9B655F	0.000334734
UniRef90_K1TP65	0.000333819
UniRef90_Q8A528	0.000333766
UniRef90_R5B2I6	0.000333385
UniClust90_1705-DCFJGKFJ_01002	0.000332777
UniClust90_4657-KKFLAGEC_01658	0.000332777
UniClust90_43506-FBEAEEMA_01126	0.000332666
UniClust90_1430-HFOFKEJC_02458	0.000332115
UniRef90_A0A174ISJ1	0.000331659
UniClust90_29415-IEHOOAGF_01418	0.000331147
UniClust90_15272-NGBKFHFC_01274	0.000330943
UniClust90_1563-GDJCEFJK_01707	0.000330842
UniRef90_I5BTJ9	0.000330842
UniRef90_J9CT31	0.000330676
UniRef90_A0A3B8VZI6	0.000329733
UniClust90_105436-BJFHONOM_00878	0.00032893
UniClust90_5063-MCOMNMGD_02376	0.00032893
UniRef90_A0A174QXA6	0.00032893
UniRef90_A0A2H0PCH1	0.00032893
UniRef90_A5EXN0	0.00032893
UniClust90_41545-BJPPCEDP_01958	0.000328702
UniClust90_2285-KPNLKELE_01176	0.000328556
UniRef90_D1NFR0	0.000327406
UniRef90_F9D1H5	0.0003273
UniClust90_15158-JGKPBPFL_00205	0.000327039
UniClust90_1980-EKANFGLH_00744	0.000327039
UniRef90_A0A379UYR4	0.000327039
