# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_merged
UNGROUPED	986419.5657769738
K00012	35.4488078274
K00013	197.5270586932
K00014	55.6331823911
K00018	51.7075774594
K00024	156.6757390304
K00033	51.4240929339
K00036	34.3832644836
K00041	202.747285476
K00052	69.309070434
K00059	72.0411255848
K00067	201.84718125950002
K00075	73.00500817720001
K00087	62.6159381109
K00097	110.4661328555
K00099	43.2645505126
K00104	33.8374983807
K00145	131.3975803693
K00162	50.5919878702
K00174	39.7585812912
K00177	383.7372371443
K00180	269.7481776099
K00215	66.3348978157
K00240	65.9617057042
K00241	70.7372138094
K00244	51.4568201406
K00262	23.5026722383
K00265	58.4478665419
K00266	80.625464197
K00275	84.0479798489
K00278	78.8228583645
K00281	41.1156937638
K00286	260.6154717383
K00287	102.3990671522
K00330	309.4972283399
K00331	190.383455264
K00337	114.4831358521
K00339	201.760873838
K00341	87.8875797306
K00342	33.3087874685
K00343	50.8329134749
K00348	147.6535782962
K00362	3.1290881209
K00381	14.7110328594
K00382	18.7905710667
K00383	36.9864138452
K00384	59.2904838884
K00395	100.6411432526
K00425	37.1328367028
K00426	149.8609342981
K00432	101.5124951422
K00528	68.0678849865
K00533	38.5047395367
K00537	231.9878337581
K00554	400.8853885777
K00558	68.0678849865
K00560	184.4775078653
K00561	326.4413265353
K00566	93.3784811084
K00567	122.3748246779
K00573	42.1751553558
K00595	36.5539927948
K00600	12.2075349784
K00602	286.8316690277
K00604	100.9153628178
K00605	147.7066677445
K00609	53.1732117412
K00611	53.1732117412
K00621	114.9479724404
K00633	104.2194950127
K00639	53.6290646179
K00645	57.6480109727
K00647	127.803533397
K00648	374.2057538023
K00652	43.6267653541
K00655	280.3411073635
K00661	137.2641654844
K00677	33.2615409615
K00690	34.6372029215
K00691	41.415990457
K00703	65.2277785197
K00705	17.5782506581
K00756	37.0741286606
K00757	113.8326433216
K00759	312.0840261754
K00763	14.2117493199
K00765	57.971288944
K00768	159.4816759921
K00773	39.8122009811
K00783	583.4822013519
K00784	212.2859138625
K00789	93.2668669245
K00790	88.4292006415
K00791	252.4962791996
K00793	128.4813736154
K00794	99.3618066858
K00800	123.3450247654
K00806	78.557408301
K00820	93.4339632214
K00826	252.177659305
K00831	93.2617078658
K00833	21.5428446282
K00845	54.0931635014
K00848	153.2386560241
K00849	46.0243108496
K00850	209.8861422543
K00852	29.8596799913
K00853	14.4215168375
K00854	69.3648175632
K00857	44.2280106782
K00858	83.2206957768
K00859	83.5985254112
K00865	44.0777939433
K00872	52.5770995019
K00876	232.0399261055
K00891	94.55397733
K00901	141.261363722
K00912	180.2431986858
K00919	126.1502617739
K00925	35.1828752856
K00927	156.1573435539
K00928	40.3408617894
K00929	44.8792083787
K00930	325.2869051754
K00931	93.7200318022
K00942	159.7011149364
K00943	80.8599530271
K00945	240.1278183295
K00948	51.8791734023
K00949	116.7157439382
K00951	87.3523479889
K00954	356.9629707095
