# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_1
READS_UNMAPPED	55175.0000000000
UniClust90_3054-OPPDGPDN_00022	3551.8259309694
UniClust90_3054-OPPDGPDN_00022|unclassified	3551.8259309694
UniClust90_1818-OMCNLIBF_00732	3137.3604754099
UniClust90_1818-OMCNLIBF_00732|unclassified	3137.3604754099
UniClust90_4119-GLJLLHIG_01069	2649.8596546630
UniClust90_4119-GLJLLHIG_01069|unclassified	2649.8596546630
UniRef90_A0A3R6AEQ3	2105.8703805054
UniRef90_A0A3R6AEQ3|unclassified	2105.8703805054
UniClust90_2299-NAFCCEKI_02114	1806.2857682556
UniClust90_2299-NAFCCEKI_02114|unclassified	1806.2857682556
UniClust90_1507-LNPDEHAM_01681	1604.4447638355
UniClust90_1507-LNPDEHAM_01681|unclassified	1604.4447638355
UniClust90_59785-ODJFKNCL_01254	1537.9718273807
UniClust90_59785-ODJFKNCL_01254|unclassified	1537.9718273807
UniRef90_UNK40204-OIFOBKIC_00578	1415.0221399240
UniRef90_UNK40204-OIFOBKIC_00578|unclassified	1415.0221399240
UniRef90_R5JLF8	1257.3042510122
UniRef90_R5JLF8|unclassified	1257.3042510122
UniRef90_K1T2J8	1213.8041217037
UniRef90_K1T2J8|unclassified	1213.8041217037
UniClust90_1942-GBOKNFNA_04548	1209.2105747678
UniClust90_1942-GBOKNFNA_04548|unclassified	1209.2105747678
UniRef90_A0A1H0C4R3	1032.0800857208
UniRef90_A0A1H0C4R3|unclassified	1032.0800857208
UniRef90_A0A413I971	1028.8883082908
UniRef90_A0A413I971|unclassified	1028.8883082908
UniClust90_1813-KDNNNNFF_01779	1017.7773672887
UniClust90_1813-KDNNNNFF_01779|unclassified	1017.7773672887
UniClust90_1813-HLMLIPBN_02182	1013.9606514765
UniClust90_1813-HLMLIPBN_02182|unclassified	1013.9606514765
UniRef90_Q49ZF2	1002.2538384670
UniRef90_Q49ZF2|unclassified	1002.2538384670
UniClust90_14110-IHKKKGPA_01447	984.4030572595
UniClust90_14110-IHKKKGPA_01447|unclassified	984.4030572595
UniClust90_35744-AIHNLDFB_01220	979.2958471765
UniClust90_35744-AIHNLDFB_01220|unclassified	979.2958471765
UniClust90_9387-FKJILCON_01010	958.1171370357
UniClust90_9387-FKJILCON_01010|unclassified	958.1171370357
UniRef90_A0A069S9F3	957.2156042010
UniRef90_A0A069S9F3|unclassified	957.2156042010
UniClust90_14151-GINECGFF_02724	957.1058411973
UniClust90_14151-GINECGFF_02724|unclassified	957.1058411973
UniRef90_A0A015VYS4	943.0500599771
UniRef90_A0A015VYS4|unclassified	943.0500599771
UniClust90_1891-PLKJAGLC_02630	938.1961258449
UniClust90_1891-PLKJAGLC_02630|unclassified	938.1961258449
UniClust90_9228-EBDOEHNB_00319	923.7623392934
UniClust90_9228-EBDOEHNB_00319|unclassified	923.7623392934
UniClust90_14297-KMFPNDGN_00781	922.5116603551
UniClust90_14297-KMFPNDGN_00781|unclassified	922.5116603551
UniClust90_15108-MKEMNCAH_01098	896.2372570588
UniClust90_15108-MKEMNCAH_01098|unclassified	896.2372570588
UniClust90_27780-KIEFNBAG_00163	883.0081184422
UniClust90_27780-KIEFNBAG_00163|unclassified	883.0081184422
UniClust90_5684-ALNMDGMH_01457	871.5671816389
UniClust90_5684-ALNMDGMH_01457|unclassified	871.5671816389
UniRef90_A0A0A2E2C8	854.1224749242
UniRef90_A0A0A2E2C8|unclassified	854.1224749242
UniClust90_21709-IPIDJCME_03070	853.4980367210
UniClust90_21709-IPIDJCME_03070|unclassified	853.4980367210
UniRef90_A0A355UGD0	845.6979162545
UniRef90_A0A355UGD0|unclassified	845.6979162545
UniRef90_A0A350J958	845.4904542988
UniRef90_A0A350J958|unclassified	845.4904542988
UniRef90_G7JRM2	844.4212887267
UniRef90_G7JRM2|unclassified	844.4212887267
UniClust90_14263-MCADBMPD_00858	836.9493171209
UniClust90_14263-MCADBMPD_00858|unclassified	836.9493171209
UniClust90_14151-FFIAKLGG_00238	833.9521118621
UniClust90_14151-FFIAKLGG_00238|unclassified	833.9521118621
UniClust90_32359-DLLBBKIK_02073	833.9521118621
UniClust90_32359-DLLBBKIK_02073|unclassified	833.9521118621
UniClust90_1828-INGAJKEK_01697	833.6338095293
UniClust90_1828-INGAJKEK_01697|unclassified	833.6338095293
UniRef90_F3PDT4	815.4198427096
UniRef90_F3PDT4|unclassified	815.4198427096
UniClust90_43288-PJMCAKKN_00829	811.4128655956
UniClust90_43288-PJMCAKKN_00829|unclassified	811.4128655956
UniClust90_15013-PLFGGKGE_00658	804.7929471117
UniClust90_15013-PLFGGKGE_00658|unclassified	804.7929471117
UniClust90_14150-OBOCENOJ_02096	803.4865790723
UniClust90_14150-OBOCENOJ_02096|unclassified	803.4865790723
UniRef90_H1Q265	801.8770306366
UniRef90_H1Q265|unclassified	801.8770306366
UniRef90_A0A172E6W9	800.5940273876
UniRef90_A0A172E6W9|unclassified	800.5940273876
UniRef90_A0A2M7I4G0	794.2193719026
UniRef90_A0A2M7I4G0|unclassified	794.2193719026
UniClust90_1493-KEOGMPBH_01087	791.2928656337
UniClust90_1493-KEOGMPBH_01087|unclassified	791.2928656337
UniClust90_4799-NFABOIEA_03032	790.0598954483
UniClust90_4799-NFABOIEA_03032|unclassified	790.0598954483
UniClust90_41446-BBOFLENI_00513	779.7993773256
UniClust90_41446-BBOFLENI_00513|unclassified	779.7993773256
UniClust90_9954-LHNBBPMD_00307	779.7993773256
UniClust90_9954-LHNBBPMD_00307|unclassified	779.7993773256
UniRef90_A0A413SUL1	768.7085061357
UniRef90_A0A413SUL1|unclassified	768.7085061357
UniClust90_41625-GFMHMLAB_01768	764.6951551522
UniClust90_41625-GFMHMLAB_01768|unclassified	764.6951551522
UniClust90_35814-NPMILCLN_01658	743.6413791069
UniClust90_35814-NPMILCLN_01658|unclassified	743.6413791069
UniRef90_U2ER47	742.2099991023
UniRef90_U2ER47|unclassified	742.2099991023
UniRef90_UNK15229-LPNCBMIO_01765	741.5450682493
UniRef90_UNK15229-LPNCBMIO_01765|unclassified	741.5450682493
UniRef90_A0A0K6BQG7	728.7855822094
UniRef90_A0A0K6BQG7|unclassified	728.7855822094
UniClust90_2296-LAGJDGKK_01658	727.4300144696
UniClust90_2296-LAGJDGKK_01658|unclassified	727.4300144696
UniRef90_B0MSE4	722.0411564440
UniRef90_B0MSE4|unclassified	722.0411564440
UniClust90_1813-HLMLIPBN_01879	716.6748452113
UniClust90_1813-HLMLIPBN_01879|unclassified	716.6748452113
UniClust90_40283-PMKALDJG_00148	706.4064947538
UniClust90_40283-PMKALDJG_00148|unclassified	706.4064947538
UniRef90_UNK1664-ALPJNDGC_00280	704.6318483873
UniRef90_UNK1664-ALPJNDGC_00280|unclassified	704.6318483873
UniClust90_27790-IPAEFCFJ_00502	703.1657540071
UniClust90_27790-IPAEFCFJ_00502|unclassified	703.1657540071
UniRef90_UPI000E49BB8E	702.5734563258
UniRef90_UPI000E49BB8E|unclassified	702.5734563258
UniRef90_I3YK77	701.5246468941
UniRef90_I3YK77|unclassified	701.5246468941
UniRef90_A0A2I0N2U1	698.1924657450
UniRef90_A0A2I0N2U1|unclassified	698.1924657450
UniRef90_A0A355BHK1	690.1672649893
UniRef90_A0A355BHK1|unclassified	690.1672649893
UniClust90_1930-CGNJEKMA_00552	686.6786867832
UniClust90_1930-CGNJEKMA_00552|unclassified	686.6786867832
UniClust90_27789-PFALEEGP_03172	683.2156122409
