# Reaction HUMAnN v4.0.0.alpha.1	SRR7947175_kegg
UNMAPPED	0.0000000000
UNGROUPED	1048772.1832574846
UNGROUPED	986419.5657769738
K02881	1011.6043189629
K01493	740.2374417765
K00783	583.4822013519
K01056	474.7284031485
K01154	462.6027201414
K06153	455.9012972610
K02428	402.6554856203
K00554	400.8853885777
K01990	392.4431831695
K00177	383.7372371443
K00648	374.2057538023
K00954	356.9629707095
K01807	352.6223515466
K14652	348.1072390926
K03797	338.2603344990
K00561	326.4413265353
K00930	325.2869051754
K00759	312.0840261754
K00330	309.4972283399
K01815	296.5843290211
K03474	293.8854491505
K01649	293.5519250106
K01462	289.6839476143
K00602	286.8316690277
K06941	280.9494003485
K01840	280.6613507453
K00655	280.3411073635
K03183	279.4956653513
K03648	278.4816478603
K02963	271.0911719982
K00180	269.7481776099
K03150	265.4628757700
K00286	260.6154717383
K03100	260.5416794458
K04041	256.7332900486
K01809	256.5414196177
K11755	253.8016811947
K00791	252.4962791996
K00826	252.1776593050
K01817	250.6249915043
K07636	249.2013672998
K01734	248.7516039146
K00945	240.1278183295
K01424	240.0810989945
K01770	238.9936421621
K03801	238.0847253857
K21071	237.9578106077
K01520	237.2998142334
K01885	236.7678773871
K02355	234.3594984032
K01091	233.9479504653
K00876	232.0399261055
K00537	231.9878337581
K04066	225.8804751729
K02217	222.5139649994
K01151	218.3682850140
K03438	217.1410470924
K01489	216.4957813135
K01069	215.6977776686
K00784	212.2859138625
K00850	209.8861422543
K13043	208.3825018552
K00041	202.7472854760
K00067	201.8471812595
K00339	201.7608738380
K03602	200.4221057936
K02564	200.3842240780
K03388	199.6249175389
K01785	198.8832395844
K01719	198.7637747318
K01358	198.0668560607
K02118	197.9283893776
K00013	197.5270586932
K00971	197.4065075325
K06167	194.3550789034
K00331	190.3834552640
K04486	189.8842801520
K01190	188.2293388658
K01710	184.5139241796
K00560	184.4775078653
K01496	183.9167559047
K03177	181.9445512426
K00912	180.2431986858
K03775	179.1936964010
K01658	175.5888163287
K01491	174.3818174792
K05985	173.5921018624
K01089	173.5778727534
K21574	173.5256689612
K21636	172.8251384515
K03501	170.7376175724
K03439	170.6017643975
K05995	168.3977477763
K12132	168.0296413596
K03101	167.8726117651
K03340	167.4622051111
K01881	167.4006989150
K06168	166.5958251863
K02122	165.1365237877
K03215	163.9510935258
K17828	163.7954561786
K04084	162.6308669054
K02190	162.4240201691
K02120	162.0112967493
K09955	159.9348279086
K00942	159.7011149364
K00768	159.4816759921
K07133	158.7704780732
K07443	156.8520827950
K00024	156.6757390304
K01265	156.5668764519
K00927	156.1573435539
K13378	154.9665609005
K01092	154.4289035662
K00848	153.2386560241
K06173	153.0515262844
K05349	152.7483539231
K01810	151.1572287710
K00426	149.8609342981
K01534	147.9033412661
K00605	147.7066677445
K00348	147.6535782962
K06911	146.4124521146
K02528	146.3017213596
K02884	146.1020958121
K01187	143.9340013949
K01442	143.3415936068
K01803	142.6493848130
K00901	141.2613637220
K03387	141.1471924042
K03787	141.1442611317
K01607	141.1340002612
K21572	141.1262357081
K11070	141.0012769662
K12308	140.2283331541
K14155	139.5041102111
K07258	139.1990564862
K14170	138.8820413910
K01928	138.7499210970
K01153	137.3647532510
K00661	137.2641654844
K08234	135.1549647138
K01643	134.9761292912
K03437	134.4773896909
K01759	134.3804376954
K02371	134.0454880542
K03269	131.7163158020
K00145	131.3975803693
K12343	130.8569685095
K01629	130.7191770767
K08218	130.7175423678
K01892	130.2501266696
K01585	129.7224549748
K00793	128.4813736154
K03817	128.0655291963
K01939	127.8623746260
K00647	127.8035333970
K03550	127.7555014326
K16363	126.9496912953
K04069	126.4525441720
K00919	126.1502617739
K02518	125.3977881168
K12373	125.0573015924
K09680	124.7404778016
K02493	124.1877907980
K01808	123.4178230413
K00800	123.3450247654
K07107	122.4511038008
K00567	122.3748246779
K08591	122.3427304854
K01813	121.9391378706
K03820	121.9361942050
K01972	121.7734481449
K19506	120.2532634761
K18330	119.9457103726
K01915	119.2413531142
K00962	118.5677216839
K00949	116.7157439382
K03070	116.6901149390
K11754	116.2782225471
K03502	116.0860711775
K01918	116.0199159309
K11991	115.7994389030
K01912	115.6349548711
K06147	115.0467915625
K00621	114.9479724404
K00337	114.4831358521
K01000	114.4545277900
K02551	114.3511514278
K14441	114.3427138776
K01183	114.1065630060
K00757	113.8326433216
K01805	113.5509707547
K03496	113.2826463549
K02358	113.0602046124
K01872	112.7820581790
K07405	111.2994847427
K06901	110.7632241311
K07273	110.4898404538
K00097	110.4661328555
K01186	110.4072063034
K10542	109.8316132559
K02001	109.1312845585
K01297	108.7054309907
K01524	107.8770159205
K15581	107.6068908306
K13789	107.4330740506
K02193	107.0748236431
K06287	106.8309174389
K02124	105.3905005746
K09761	104.3080545616
K01870	104.2369403743
K00633	104.2194950127
K20509	103.7264083409
K04075	103.4220888110
K01756	102.9748268955
K00287	102.3990671522
K00980	102.3990671522
K03524	101.7759163416
K05592	101.7714625304
K00432	101.5124951422
K06113	101.2438677769
K02777	101.0749412838
K00604	100.9153628178
K00395	100.6411432526
K03816	100.6411432526
K07407	99.7549994128
K00794	99.3618066858
K03544	99.1895740260
K01693	99.1517394412
K20459	98.7342584330
K03385	98.6077194983
K03657	98.1458355158
K07456	97.8940172121
K02313	97.7172967091
K01409	97.6702046996
K15923	97.3799422083
K02013	96.5488171650
K03270	96.1040425322
K15633	96.0022302021
K02536	94.9111100252
K00891	94.5539773300
K03771	94.1723608780
K00931	93.7200318022
K00820	93.4339632214
K02864	93.4238501109
K00566	93.3784811084
K00789	93.2668669245
K00831	93.2617078658
K02340	93.0071918828
K10026	92.8688569420
K09765	92.5025103663
K09121	91.7074865288
K01665	91.5174186975
K01736	91.3319388847
K01537	91.3295204137
K02621	90.7782578491
K01159	90.0168383027
K01439	89.3499264665
K03587	89.2486911197
K00790	88.4292006415
K01372	88.1730258785
K01515	87.9901927874
K00341	87.8875797306
K07496	87.8171099594
K00951	87.3523479889
K01218	87.2831620457
K02563	85.5456832935
