	Abundance
dUTP	990.9511118921
H2O	26761.795425041022
dUMP	1161.7368319835
Diphosphate	8167.951520958104
5-Fluorodeoxyuridine triphosphate	964.3851454563
5-Fluorodeoxyuridine monophosphate	964.3851454563
2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	1337.3226646368
2-C-Methyl-D-erythritol 2,4-cyclodiphosphate	924.0418885244
CMP	2227.3109434238
5-Amino-6-(1-D-ribitylamino)uracil	732.1157595952
L-3,4-Dihydroxybutan-2-one 4-phosphate	779.2930928295
6,7-Dimethyl-8-(D-ribityl)lumazine	732.1157595952
Orthophosphate	7356.016522151396
N-(L-Arginino)succinate	686.2721882339
Fumarate	1255.6018215888998
L-Arginine	791.4431502946001
D-Ribose 5-phosphate	702.7152412829
D-Ribulose 5-phosphate	1203.5100931636
D-Allose 6-phosphate	561.3855407293
D-Allulose 6-phosphate	642.2454059853001
Cytidine	1263.1405689286998
Uridine	1379.7665734772
Ammonia	3859.758501822801
Deoxycytidine	509.7242946499
Deoxyuridine	626.3502991984
5'-Deoxy-5-fluorocytidine	509.7242946499
5'-Deoxy-5-fluorouridine	509.7242946499
Phosphoenolpyruvate	625.4498771234001
Glycerone	508.6570878986
Pyruvate	3052.7929857397003
Glycerone phosphate	3504.5805411825
Dimethyl sulfide	490.1773452976
Menaquinone	655.0286548768
Dimethyl sulfoxide	490.1773452976
Menaquinol	890.3970968823
D-Arabinose 5-phosphate	470.1948768157
dGTP	488.0509462763
Deoxyguanosine	461.4849798405
Triphosphate	461.4849798405
D-Fructose 1,6-bisphosphate	1177.9891860483
D-Fructose 6-phosphate	1470.1757690797
beta-D-Fructose 1,6-bisphosphate	1177.9891860483
beta-D-Fructose 6-phosphate	1582.1583266526002
AMP	2685.4905233192003
Adenine	717.8160620115
5-Phospho-alpha-D-ribose 1-diphosphate	2286.5021119500993
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	741.4222580491
5-Amino-4-imidazolecarboxyamide	457.7689257738
L-Xylulose 1-phosphate	452.1669399785
Glycolaldehyde	452.1669399785
L-Rhamnulose 1-phosphate	452.1669399785
(S)-Lactaldehyde	452.1669399785
ATP	10452.108026418602
NAD	7779.800627667493
	22762.134367182713
ADP	8078.530341192102
NADP	3433.9538347064004
Shikimate	417.512864462
Shikimate 3-phosphate	417.512864462
D-Glyceraldehyde 3-phosphate	1950.8912787871004
Sedoheptulose 1,7-bisphosphate	417.3377707779
D-Erythrose 4-phosphate	705.2094037958
D-Fructose 1-phosphate	417.3377707779
D-Glyceraldehyde	417.3377707779
4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol	413.2807761124
Dimethylallyl diphosphate	460.3882105097
tRNA adenine	584.9969204440999
tRNA containing 6-isopentenyladenosine	664.2324218348
Adenylyl sulfate	363.6107659866
3'-Phosphoadenylyl sulfate	363.6107659866
Adenylylselenate	363.6107659866
3'-Phosphoadenylylselenate	363.6107659866
RX	358.1252587411
Glutathione	8168.548505889002
Halide	358.1252587411
R-S-Glutathione	774.8023568254
(1R,2S)-Naphthalene 1,2-oxide	358.1252587411
(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	358.1252587411
(1S,2R)-Naphthalene 1,2-oxide	716.2505174822
(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	358.1252587411
(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	358.1252587411
1-Nitronaphthalene-7,8-oxide	716.2505174822
1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	358.1252587411
1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	358.1252587411
1-Nitronaphthalene-5,6-oxide	716.2505174822
1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	358.1252587411
1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	358.1252587411
Bromobenzene-3,4-oxide	358.1252587411
3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	358.1252587411
Bromobenzene-2,3-oxide	358.1252587411
2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	358.1252587411
Benzo[a]pyrene-4,5-oxide	358.1252587411
4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene	358.1252587411
Benzo[a]pyrene-7,8-dihydrodiol	358.1252587411
7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene	358.1252587411
2,2-Dichloroacetaldehyde	358.1252587411
S-(2,2-Dichloro-1-hydroxy)ethyl glutathione	358.1252587411
1,1-Dichloroethylene epoxide	358.1252587411
2-(S-Glutathionyl)acetyl chloride	716.2505174822
Hydrochloric acid	1432.5010349644
Chloroacetyl chloride	358.1252587411
S-(2-Chloroacetyl)glutathione	358.1252587411
2-(S-Glutathionyl)acetyl glutathione	358.1252587411
Trichloroethene	358.1252587411
S-(1,2-Dichlorovinyl)glutathione	358.1252587411
1,2-Dibromoethane	358.1252587411
H	18946.765826345694
Glutathione episulfonium ion	358.1252587411
Hydrobromic acid	1074.3757762233001
2-Bromoacetaldehyde	358.1252587411
S-(Formylmethyl)glutathione	358.1252587411
Aldophosphamide	358.1252587411
4-Glutathionyl cyclophosphamide	358.1252587411
Aflatoxin B1-exo-8,9-epoxide	358.1252587411
Aflatoxin B1exo-8,9-epoxide-GSH	358.1252587411
Hepatotoxins	358.1252587411
5-Oxoproline	342.6188042389
L-Glutamate	2702.090905811999
Molybdoenzyme molybdenum cofactor	487.25176062520006
CTP	691.1596507457
Cytidylyl molybdenum cofactor	333.6749398712
Folinic acid	416.3704662904
5,10-Methenyltetrahydrofolate	416.3704662904
Hypoxanthine	514.8689688499
Xanthine	836.5691749235
NADH	7255.394407506895
Urate	321.7002060736
Adenosyl cobinamide	635.4497898886
Adenosyl cobinamide phosphate	953.1746848329
GTP	1695.5090183068999
Adenosine-GDP-cobinamide	317.7248949443
GDP	997.594096634
Pyridoxal	311.3099817755
Pyridoxal phosphate	311.3099817755
Pyridoxine	311.3099817755
Pyridoxine phosphate	311.3099817755
Pyridoxamine	311.3099817755
Pyridoxamine phosphate	311.3099817755
D-Glucono-1,5-lactone 6-phosphate	309.7457969372
6-Phospho-D-gluconate	309.7457969372
Acetyl-CoA	2191.8337230718003
CoA	3130.5177689159004
Acetyl phosphate	386.19538890959996
Propanoyl-CoA	386.19538890959996
Propanoyl phosphate	386.19538890959996
Phosphatidate	609.7986057096
1-Acyl-sn-glycerol 3-phosphate	609.7986057096
Acyl-CoA	676.9608317963
Acyl-[acyl-carrier protein]	518.7604612279
Acyl-carrier protein	304.8993028548
Palmitoyl-CoA	317.3166572316
Hexadecanoic acid	299.4056217223
1-(5-Phospho-D-ribosyl)-ATP	503.9905590626
Phosphoribosyl-AMP	584.0777506358
5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	292.0388753179
S-Adenosyl-L-methionine	1968.7057846089
tRNA guanine	291.5265264138
S-Adenosyl-L-homocysteine	1432.2343516218998
tRNA containing N1-methylguanine	291.5265264138
