# Pathway	ERR13731454_genefamilies_uniref90_kegg_orthologs_Abundance
ko03020|g__Bacteroides.s__Bacteroides_massiliensis	1.5636146667
ko03020|g__Roseburia.s__Roseburia_faecis	0.4704866667
ko00710	15.7155491667
ko00710|unclassified	5.2162458333
ko00020	14.3195700370
ko00020|g__Bacteroides.s__Bacteroides_massiliensis	4.7933792593
ko00020|unclassified	3.7827437407
ko00020|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.3837655556
ko00020|g__Alistipes.s__Alistipes_putredinis	1.2329888889
ko04112	14.0875662500
ko04112|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.1207868750
ko04112|unclassified	3.9416387500
ko04112|g__Bacteroides.s__Bacteroides_massiliensis	2.1466187500
ko04112|g__Roseburia.s__Roseburia_faecis	1.9751437500
ko04112|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.9033781250
ko03430	14.0797696522
ko03430|unclassified	6.4625544348
ko03430|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.3914169565
ko03430|g__Bacteroides.s__Bacteroides_massiliensis	2.1295865217
ko03430|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.6321130435
ko03440	13.9186165667
ko03440|unclassified	6.0763405667
ko03440|g__Bacteroides.s__Bacteroides_massiliensis	2.4815960000
ko03440|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.4640413333
ko03440|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.0729886667
ko00511	13.8848012500
ko00511|unclassified	13.8848012500
ko00900	13.4341811111
ko00900|unclassified	4.8951150000
ko00900|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.4658488889
ko00900|g__Bacteroides.s__Bacteroides_massiliensis	2.9208394444
ko00900|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.1523777778
ko00730	13.2891890909
ko00730|unclassified	5.1127345455
ko00730|g__Roseburia.s__Roseburia_faecis	2.3900272727
ko00730|g__Bacteroides.s__Bacteroides_massiliensis	2.3292254545
ko00730|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.0444745455
ko00730|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.4127272727
ko04122	12.9376590909
ko04122|unclassified	5.0975709091
ko04122|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.3454818182
