SRR31533935.151e089e6-3aad-4b20-9e69-79a787e97e36/1|1505	UniRef90_A0A2P5YF41|978	49.3	73	12	1	536	318	192	239	1.31e-08	62.8
SRR31533935.261c18720-b35c-4593-8afc-5f451cb69685/1|1495	UniRef90_D1NFR0|732	50.9	57	28	0	414	244	164	220	2.52e-04	48.9
SRR31533935.4d0303eae-0024-44c7-9cd2-3b087b960c2a/1|1750	UniRef90_D1NFR0|732	47.4	57	24	1	425	273	165	221	1.37e-02	43.9
SRR31533935.58e2fd72e-ca80-4200-af59-ae096b5bff6e/1|1302	UniRef90_H6SIB2|1326	43.2	95	42	2	545	285	351	441	2.64e-06	55.8
SRR31533935.6fbe493ca-f8a7-49f8-97c8-bd68270c79df/1|1504	UniRef90_J7TG29|123	86.2	29	4	0	1177	1263	13	41	9.62e-07	51.2
SRR31533935.7896e7ac2-46c2-4c5c-aa8f-49454612f8e4/1|1527	UniRef90_D1NFR0|732	61.5	96	36	1	494	210	147	242	3.68e-25	109
SRR31533935.830aadcc1-e6be-4674-8947-38c0ae9480db/1|1529	UniRef90_H6SIB2|1326	56.9	58	24	1	503	333	371	428	2.93e-08	62.4
SRR31533935.9fd154daf-8af3-42ee-bfe0-8cdf20161463/1|1533	UniRef90_A0A2P5YF41|978	62.5	64	22	2	410	219	213	274	1.25e-11	72.0
SRR31533935.1036f9d3ec-f116-4bf6-ae79-78b162cacfc7/1|1553	UniRef90_A0A161XUP0|1713	34.3	210	105	7	858	241	224	404	1.53e-07	60.5
SRR31533935.1036f9d3ec-f116-4bf6-ae79-78b162cacfc7/1|1553	UniRef90_D1NFR0|732	44.5	110	46	3	507	202	141	243	5.10e-08	60.1
SRR31533935.11f81a3f3e-21a0-436d-8d8f-b2a05b75f1ec/1|1572	UniRef90_H6SIB2|1326	51.6	62	30	0	531	346	363	424	1.26e-07	60.5
SRR31533935.1229b65384-d1aa-4a3a-acda-4bf6ca3642f5/1|1483	UniRef90_A0A161XUP0|1713	34.6	185	91	6	753	1283	232	394	6.97e-06	55.1
SRR31533935.13006e57a1-ed5d-4a00-92e3-a1d19b517915/1|1471	UniRef90_H6SIB2|1326	45.3	64	31	2	488	309	368	431	8.92e-04	48.1
SRR31533935.14fe2a8dc1-c62d-4967-a42f-398f6fa5490e/1|1511	UniClust90_7594-DHIEBEEG_03121|150	90.0	20	2	0	1420	1479	4	23	3.04e-03	41.6
SRR31533935.154db8bbd5-5216-4530-966a-f1b1c810a6d3/1|1526	UniRef90_A0A161XUP0|1713	37.2	113	59	2	631	329	270	382	3.43e-07	59.3
SRR31533935.1682b99014-c6a0-494f-ba51-1cd49470a029/1|1521	UniRef90_A0A2P5YF41|978	60.0	40	15	1	411	292	209	247	1.74e-04	50.1
SRR31533935.172a69960d-f3ba-4cc2-8c43-7f2c00aca49b/1|1516	UniRef90_A0A192CDZ5|186	64.3	28	10	0	693	610	35	62	6.32e-01	35.4
SRR31533935.18eb091cb9-1282-4a8e-9710-b3eaf5d84a20/1|1481	UniRef90_D1NFR0|732	73.3	30	7	1	1118	1207	158	186	6.26e-02	41.6
SRR31533935.19a5af1c1e-4020-4a04-b42a-340eff2c6dc9/1|1266	UniRef90_A0A161XUP0|1713	53.8	93	38	3	971	1237	286	377	9.00e-13	76.3
SRR31533935.19a5af1c1e-4020-4a04-b42a-340eff2c6dc9/1|1266	UniRef90_D1NFR0|732	54.4	79	29	2	1028	1261	135	207	1.19e-13	76.3
SRR31533935.20df686870-6113-491f-b923-e26bcb2aefa6/1|1476	UniClust90_12290-LMJGEGCL_02369|270	81.8	22	4	0	131	196	41	62	1.46e-02	40.8
SRR31533935.21e1cbbe4e-9dec-44cd-89e3-911983870534/1|1600	UniRef90_H6SIB2|1326	71.1	38	10	1	1138	1248	375	412	3.78e-06	55.8
SRR31533935.22e27c9b8b-2592-4867-b153-ebcddf659bf0/1|1532	UniRef90_H6SIB2|1326	72.0	25	7	0	1057	1131	364	388	2.50e-01	40.4
SRR31533935.239287d875-2fc8-4680-8f43-1f1c72c17955/1|1676	UniRef90_A0A2U1PPW3|3993	38.2	76	45	2	599	378	557	632	4.89e-01	40.0
SRR31533935.239287d875-2fc8-4680-8f43-1f1c72c17955/1|1676	UniRef90_D1NFR0|732	69.0	29	8	1	494	411	146	174	3.11e-01	39.7
SRR31533935.245a9037e5-8500-485c-bf5a-b7c672c7c201/1|1564	UniRef90_D1NFR0|732	72.4	29	8	0	474	388	147	175	6.45e-04	47.8
SRR31533935.2510e16053-1200-4723-b5b5-f236d0cfc36e/1|1496	UniRef90_A0A161XUP0|1713	33.7	187	83	8	636	1178	205	356	1.14e-04	51.2
SRR31533935.269b557df8-76c5-4752-9565-8cc71976d4fa/1|1567	UniClust90_12290-LMJGEGCL_02369|270	47.5	59	31	0	1552	1376	4	62	2.57e-09	60.1
SRR31533935.28f0860a03-4988-4c25-a893-43026a3b0b75/1|1532	UniRef90_J7TG29|123	62.2	37	13	1	1160	1267	1	37	3.08e-05	47.0
SRR31533935.296d9c8343-4c7f-49db-96aa-86bb2c3c446a/1|1539	UniRef90_D1NFR0|732	36.9	103	56	2	1072	1368	145	242	3.20e-06	54.7
SRR31533935.30ff674dae-d023-45cb-b291-6053bf0d5812/1|1544	UniRef90_A0A444XZ37|585	51.8	56	20	2	344	183	73	123	3.15e-03	45.1
SRR31533935.31965c54bb-426f-439d-9cdc-745173eec0c2/1|1533	UniRef90_A0A2P5YF41|978	54.5	55	23	2	1223	1381	220	274	1.79e-05	53.1
SRR31533935.3239b0603e-fe62-4667-a7b9-1c066c56ec88/1|1510	UniRef90_A0A161XUP0|1713	56.4	55	23	1	473	312	325	379	7.19e-06	55.1
SRR31533935.338ee59da1-90dd-4f06-9059-4560665b5c6e/1|1466	UniRef90_H6SIB2|1326	51.0	49	23	1	508	365	364	412	3.35e-02	43.1
SRR31533935.3464f49377-64db-41a5-bcbf-fd851001dd8d/1|1567	UniRef90_A0A172E6W9|102	62.5	32	12	0	665	570	1	32	5.68e-03	40.4
SRR31533935.35dc55f1f1-58c8-4d93-a084-3058d9f38909/1|1595	UniRef90_A0A2P5YF41|978	35.3	102	40	2	1074	1379	199	274	4.37e-04	48.9
SRR31533935.36c9d8478d-1ea6-4a31-a622-3cc32d8ea73a/1|1539	UniRef90_H6SIB2|1326	64.3	28	10	0	388	305	404	431	1.44e-01	41.2
SRR31533935.3743908553-a792-4dba-b82a-a26150985c44/1|1525	UniRef90_D1NFR0|732	70.6	34	10	0	462	361	150	183	2.07e-01	40.0
SRR31533935.3827b9c80e-e095-4d5b-b50a-13f143b28458/1|1515	UniRef90_A0A192CDZ5|186	64.4	59	20	1	764	940	1	58	1.10e-11	65.9
SRR31533935.393bef612d-1bd5-45b5-ac84-eeecc7e024b8/1|1531	UniClust90_12290-LMJGEGCL_02369|270	54.8	42	19	0	76	201	21	62	3.58e-04	45.4
SRR31533935.41822a480b-a6ad-4586-bd90-e687234a07e0/1|1294	UniRef90_A0A161XUP0|1713	35.4	147	69	4	754	1191	232	353	5.11e-05	52.0
SRR31533935.42445d7419-4377-460d-8fac-ddf4e006faa3/1|1537	UniRef90_A0A2G2X2S1|1779	49.2	63	31	1	1214	1402	415	476	3.69e-04	49.7
SRR31533935.433b5b127b-5814-43ad-b77c-d878e5cd87d6/1|1518	UniRef90_H6SIB2|1326	50.9	57	25	1	1080	1241	370	426	4.05e-04	49.3
SRR31533935.44c0026320-671a-4e94-bddb-0bfd454c5c86/1|1486	UniClust90_12290-LMJGEGCL_02369|270	50.0	42	21	0	79	204	21	62	5.78e-03	42.0
SRR31533935.454ad2cff3-17a3-4b4f-bf07-6d2b2b1c20f7/1|1541	UniClust90_12290-LMJGEGCL_02369|270	60.5	43	16	1	1508	1383	16	58	1.30e-06	52.4
SRR31533935.4658777c7d-6d37-4a14-9e78-a1e1a9a5e2ba/1|1527	UniRef90_D1NFR0|732	50.0	76	35	2	541	317	134	207	2.48e-05	52.0
SRR31533935.47c13a013a-b4d5-4f49-b591-6fd9360a30b1/1|1503	UniRef90_H6SIB2|1326	51.5	97	43	3	977	1258	338	433	1.04e-13	79.3
SRR31533935.48c715de67-d9b9-47b7-92cb-4018a1989c7a/1|1520	UniRef90_J7TG29|123	78.3	23	5	0	404	336	19	41	9.88e-01	34.3
SRR31533935.49a196da17-1499-40ea-b709-b06a488ac900/1|1520	UniRef90_A0A192CDZ5|186	65.3	49	17	0	764	618	14	62	7.00e-08	55.1
SRR31533935.50faff7e8f-0f07-48a8-9396-fdab95087ee3/1|1500	UniRef90_D1NFR0|732	58.1	74	30	1	492	274	145	218	6.61e-14	77.4
SRR31533935.51dedec8ee-715f-4ced-9b3f-c025e2049929/1|1613	UniRef90_J7TG29|123	80.0	35	7	0	472	368	7	41	3.68e-09	58.2
SRR31533935.52fe4c4b2d-7a63-40af-a593-982d1dcd168f/1|1271	UniRef90_D1NFR0|732	47.0	83	28	3	427	200	170	243	1.90e-05	52.0
SRR31533935.53c4483a40-7930-4c54-ac27-260359e12fbc/1|1509	UniRef90_A0A192CDZ5|186	63.3	60	19	2	796	626	3	62	2.57e-13	70.5
SRR31533935.548b0fc5dc-9684-43ca-ab02-a93e3d1163b6/1|1533	UniRef90_H6SIB2|1326	52.5	59	28	0	518	342	363	421	3.52e-06	55.8
SRR31533935.5552dd962a-9109-4e24-8627-4f92e8b977df/1|1539	UniRef90_D1NFR0|732	36.6	101	59	3	502	209	145	243	1.46e-04	49.7
SRR31533935.573121c890-88a8-4950-bd03-691f87b2317e/1|1510	UniRef90_A0A161XUP0|1713	52.7	55	19	1	649	506	263	317	1.29e-02	44.7
SRR31533935.589671b2a8-25d5-4277-9e3d-8b413e7e0ed1/1|1529	UniRef90_A0A2G2X2S1|1779	57.1	49	21	0	1211	1357	415	463	7.51e-06	55.1
SRR31533935.59443024fe-87e6-4fd1-846e-bb37efd2f4f2/1|1570	UniRef90_A0A2P5YF41|978	68.2	44	14	0	1250	1381	231	274	7.89e-09	63.5
SRR31533935.60062811e7-21d6-4ccf-bf0a-7267c123fe75/1|1562	UniClust90_87130-BLEPMJCG_00888|297	60.0	40	11	2	184	65	60	94	1.57e-03	43.9
SRR31533935.6153f3af41-3689-44dc-82bd-2bfb44d370e8/1|1488	UniRef90_A0A2G2X2S1|1779	52.5	61	29	0	1179	1361	415	475	1.78e-06	57.0
SRR31533935.62950ec700-8a36-4b54-bef6-77ca6cddbd75/1|1518	UniRef90_D1NFR0|732	60.3	58	21	2	1069	1239	135	191	2.51e-09	63.9
SRR31533935.63dddf8974-7f44-4a06-aa4b-9d83819e1804/1|1536	UniRef90_A0A2P5YF41|978	41.4	87	28	1	1257	997	80	143	1.36e-05	53.5
SRR31533935.64cb103bbf-98df-4358-ac36-e891561781f0/1|1491	UniRef90_A0A2P5YF41|978	45.5	99	31	1	299	595	79	154	1.65e-10	68.6
SRR31533935.65c58b2f91-f7f2-468b-aa0b-e4a2aa615f0b/1|1750	UniRef90_H6SIB2|1326	66.0	50	15	1	472	329	382	431	4.64e-07	58.9
SRR31533935.67df6b162a-c634-51a4-b962-6019ef5f3738/1|1515	UniRef90_D1NFR0|732	68.0	50	16	0	1132	1281	156	205	3.37e-09	63.5
SRR31533935.6858d24c95-821a-453a-a7e7-17e3aed65696/1|1253	UniRef90_D1NFR0|732	41.0	83	42	3	512	264	143	218	2.72e-03	45.4
SRR31533935.6986fde19d-9343-4221-bbef-7c2016426311/1|1539	UniRef90_A0A192CDZ5|186	70.0	40	12	0	822	703	1	40	5.80e-09	58.2
SRR31533935.71ac662c84-5d59-4aae-ba6f-402e92eee5cb/1|1516	UniRef90_A0A2G2YHS0|7386	43.9	82	43	3	393	632	2377	2457	1.50e-01	41.6
SRR31533935.72cd2ee07f-391a-4bf1-b454-08dc5391fbfd/1|1529	UniRef90_D1NFR0|732	50.0	56	27	1	1138	1302	158	213	1.12e-03	47.0
SRR31533935.7352d826f5-ad83-4606-b52a-6c8daecbcc9f/1|1512	UniRef90_D1NFR0|732	57.4	47	20	0	1065	1205	141	187	5.61e-06	53.9
SRR31533935.755e498756-d3e9-49ce-ae88-f45eb00fe743/1|1446	UniRef90_R9NVJ9|1758	51.1	47	19	1	595	455	1	43	1.95e-01	40.8
SRR31533935.768350acf7-4a71-4e2d-83e8-8fc1d96fac29/1|1487	UniRef90_H6SIB2|1326	44.3	79	37	1	566	351	343	421	3.70e-08	62.0
SRR31533935.790770ab8b-37b1-4823-8a11-7c46699e0397/1|1515	UniRef90_A0A161XUP0|1713	32.0	147	78	1	754	1194	234	358	6.71e-05	52.0
SRR31533935.802a51c36b-690b-4d20-9b1e-5322ebf2f636/1|1491	UniRef90_H6SIB2|1326	60.4	48	16	2	474	340	377	424	1.71e-04	50.4
SRR31533935.81e4ac8d52-c3a3-469d-95f4-4af63f7951fd/1|1533	UniRef90_H6SIB2|1326	57.1	63	24	2	506	321	371	431	4.08e-09	65.1
SRR31533935.82c7a6f0c4-859f-44c7-ac5f-f756de0bd708/1|1567	UniRef90_A0A2P5YF41|978	37.8	74	21	2	523	302	199	247	7.27e-03	45.1
SRR31533935.85d1b9dedd-d8c6-40cb-a512-95b3ea770eab/1|1516	UniRef90_K4D003|894	74.2	31	7	1	165	254	262	292	3.61e-04	48.9
SRR31533935.861b9ba382-901c-435d-8f8e-35ae9c1f1815/1|1508	UniRef90_A0A2P5YF41|978	39.8	103	36	1	597	289	174	250	3.02e-10	67.8
