name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola dorei	357276	S	1161950	1171461	2333411	0.05849
Phocaeicola vulgatus	821	S	98315	95512	193827	0.00486
Phocaeicola salanitronis	376805	S	26846	1415	28261	0.00071
Phocaeicola coprophilus	387090	S	481	103	584	0.00001
Parabacteroides merdae	46503	S	606143	184071	790214	0.01981
Parabacteroides distasonis	823	S	223120	398484	621604	0.01558
Parabacteroides johnsonii	387661	S	72281	12044	84325	0.00211
Parabacteroides goldsteinii	328812	S	5237	609	5846	0.00015
Parabacteroides faecis	1217282	S	3485	297	3782	0.00009
Parabacteroides chongii	2685834	S	1745	186	1931	0.00005
Parabacteroides sp. CT06	2025876	S	834	54677	55511	0.00139
Tannerella serpentiformis	712710	S	292	5	297	0.00001
Tannerella forsythia	28112	S	165	20	185	0.00000
Segatella copri	165179	S	2818	242	3060	0.00008
Segatella bryantii	77095	S	354	265	619	0.00002
Segatella hominis	2518605	S	290	38	328	0.00001
Segatella oris	28135	S	53	61	114	0.00000
Segatella baroniae	305719	S	18	26	44	0.00000
Prevotella sp. E13-17	2913616	S	464	22	486	0.00001
Prevotella sp. E2-28	2913620	S	362	22	384	0.00001
Prevotella sp. E15-22	2937774	S	206	13	219	0.00001
Prevotella sp. oral taxon 475	712471	S	181	10	191	0.00000
Prevotella sp. E9-3	2913621	S	65	9	74	0.00000
Prevotella sp. Rep29	2691580	S	37	2	39	0.00000
Prevotella sp. oral taxon 299	652716	S	10	1	11	0.00000
Prevotella intermedia	28131	S	256	112	368	0.00001
Prevotella melaninogenica	28132	S	242	60	302	0.00001
Prevotella multiformis	282402	S	240	82	322	0.00001
Prevotella communis	2913614	S	190	10	200	0.00001
Prevotella veroralis	28137	S	189	76	265	0.00001
Prevotella denticola	28129	S	108	49	157	0.00000
Prevotella jejuni	1177574	S	92	40	132	0.00000
Prevotella bivia	28125	S	67	6	73	0.00000
Prevotella dentalis	52227	S	58	9	67	0.00000
Prevotella fusca	589436	S	50	12	62	0.00000
Prevotella nigrescens	28133	S	49	27	76	0.00000
Prevotella histicola	470565	S	33	7	40	0.00000
Prevotella herbatica	2801997	S	24	0	24	0.00000
Prevotella corporis	28128	S	23	11	34	0.00000
Prevotella scopos	589437	S	18	7	25	0.00000
Paraprevotella xylaniphila	454155	S	781	197	978	0.00002
Paraprevotella clara	454154	S	714	180	894	0.00002
Pseudoprevotella muciniphila	2133944	S	271	10	281	0.00001
Hoylesella buccalis	28127	S	137	132	269	0.00001
Hoylesella enoeca	76123	S	112	274	386	0.00001
Xylanibacter ruminicola	839	S	172	11	183	0.00000
Alistipes dispar	2585119	S	2076	195	2271	0.00006
Alistipes communis	2585118	S	1153	157	1310	0.00003
Alistipes indistinctus	626932	S	830	33	863	0.00002
Alistipes sp. dk3624	2662363	S	805	47	852	0.00002
Alistipes shahii	328814	S	757	365	1122	0.00003
Alistipes onderdonkii	328813	S	726	295	1021	0.00003
uncultured Alistipes sp.	538949	S	589	13	602	0.00002
Alistipes megaguti	2364787	S	321	25	346	0.00001
Alistipes finegoldii	214856	S	262	125	387	0.00001
Alistipes senegalensis	1288121	S	117	20	137	0.00000
Alistipes ihumii	1470347	S	80	0	80	0.00000
uncultured Acetobacteroides sp.	1760811	S	48	0	48	0.00000
Odoribacter splanchnicus	28118	S	4059	365	4424	0.00011
Butyricimonas virosa	544645	S	679	105	784	0.00002
Butyricimonas faecihominis	1472416	S	314	104	418	0.00001
Butyricimonas faecalis	2093856	S	184	63	247	0.00001
Butyricimonas paravirosa	1472417	S	131	60	191	0.00000
Porphyromonas somerae	322095	S	2351	92	2443	0.00006
Porphyromonas gingivalis	837	S	351	16	367	0.00001
Porphyromonas asaccharolytica	28123	S	87	0	87	0.00000
Porphyromonas sp. oral taxon 275	712435	S	33	0	33	0.00000
Porphyromonas crevioricanis	393921	S	23	0	23	0.00000
Porphyromonas cangingivalis	36874	S	20	0	20	0.00000
Porphyromonas endodontalis	28124	S	16	0	16	0.00000
uncultured Macellibacteroides sp.	1243007	S	204	2	206	0.00001
Coprobacter fastidiosus	1099853	S	1628	39	1667	0.00004
Coprobacter secundus	1501392	S	1217	175	1392	0.00003
Barnesiella viscericola	397865	S	184	22	206	0.00001
Petrimonas mucosa	1642646	S	1207	408	1615	0.00004
Proteiniphilum saccharofermentans	1642647	S	716	1	717	0.00002
Proteiniphilum propionicum	2829812	S	246	3	249	0.00001
Dysgonomonas sp. HDW5A	2714926	S	18	14	32	0.00000
Dysgonomonas sp. HDW5B	2714927	S	14	11	25	0.00000
Paramuribaculum intestinale	2094151	S	591	47	638	0.00002
Muribaculum gordoncarteri	2530390	S	379	86	465	0.00001
Muribaculum intestinale	1796646	S	47	2	49	0.00000
Duncaniella dubosii	2518971	S	68	9	77	0.00000
Sodaliphilus pleomorphus	2606626	S	87	3	90	0.00000
Paludibacter propionicigenes	185300	S	63	0	63	0.00000
Tenuifilum thalassicum	2590900	S	27	0	27	0.00000
uncultured Draconibacterium sp.	1573823	S	235	64	299	0.00001
Draconibacterium orientale	1168034	S	65	61	126	0.00000
Mangrovibacterium marinum	1639118	S	54	2	56	0.00000
Maribellus comscasis	2681766	S	33	0	33	0.00000
Aquipluma nitroreducens	2010828	S	29	0	29	0.00000
uncultured Sunxiuqinia sp.	1573825	S	23	4	27	0.00000
Alkaliflexus sp. Ai-910	2949635	S	84	31	115	0.00000
uncultured Carboxylicivirga sp.	1628156	S	49	0	49	0.00000
Alkalitalea saponilacus	889453	S	29	0	29	0.00000
uncultured Marinifilum sp.	1127472	S	39	1	40	0.00000
Marinifilum fragile	570161	S	23	0	23	0.00000
Labilibaculum manganireducens	1940525	S	30	4	34	0.00000
Labilibaculum antarcticum	1717717	S	17	0	17	0.00000
Flavobacterium sp. KBS0721	1179672	S	359	112	471	0.00001
Flavobacterium sp. N1846	2986824	S	349	50	399	0.00001
Flavobacterium sp. M31R6	2739062	S	90	13	103	0.00000
Flavobacterium sp. F-340	2893886	S	72	14	86	0.00000
Flavobacterium sp. Sr18	935222	S	56	10	66	0.00000
Flavobacterium sp. GSB-24	2994319	S	48	26	74	0.00000
Flavobacterium sp. F-70	2893884	S	44	7	51	0.00000
Flavobacterium sp. N1736	2986823	S	39	8	47	0.00000
Flavobacterium sp. N502540	2986838	S	31	25	56	0.00000
Flavobacterium sp. CS20	2775246	S	19	3	22	0.00000
Flavobacterium sp. IMCC34852	2732161	S	18	2	20	0.00000
Flavobacterium sp. N1719	2885633	S	15	0	15	0.00000
Flavobacterium sp. F-323	2893885	S	13	2	15	0.00000
Flavobacterium sp. N502536	2986837	S	12	5	17	0.00000
Flavobacterium sp. I3-2	2748319	S	11	10	21	0.00000
Flavobacterium psychrotrophum	2294119	S	109	2	111	0.00000
Flavobacterium ginsengisoli	871694	S	107	66	173	0.00000
Flavobacterium kingsejongi	1678728	S	74	15	89	0.00000
Flavobacterium flavigenum	3003258	S	62	28	90	0.00000
Flavobacterium alkalisoli	2602769	S	61	1	62	0.00000
Flavobacterium album	2175091	S	42	0	42	0.00000
Flavobacterium nitratireducens	992289	S	35	4	39	0.00000
Flavobacterium fluviale	2249356	S	33	17	50	0.00000
Flavobacterium limnophilum	3003262	S	31	3	34	0.00000
Flavobacterium magnum	2162713	S	31	1	32	0.00000
Flavobacterium commune	1306519	S	25	2	27	0.00000
Flavobacterium cerinum	2502784	S	23	1	24	0.00000
Flavobacterium endoglycinae	2816357	S	20	3	23	0.00000
Flavobacterium columnare	996	S	19	19	38	0.00000
Flavobacterium gilvum	1492737	S	19	1	20	0.00000
Flavobacterium gelatinilyticum	3003260	S	17	4	21	0.00000
Flavobacterium sangjuense	2518177	S	17	0	17	0.00000
Flavobacterium aquiphilum	3003261	S	15	1	16	0.00000
Flavobacterium dauae	1563479	S	14	3	17	0.00000
Flavobacterium ardleyense	2038737	S	14	0	14	0.00000
Flavobacterium haoranii	683124	S	13	19	32	0.00000
Flavobacterium aestivum	3003257	S	12	1	13	0.00000
Flavobacterium marginilacus	3003256	S	12	1	13	0.00000
Flavobacterium johnsoniae	986	S	11	18	29	0.00000
Flavobacterium faecale	1355330	S	11	0	11	0.00000
Flavobacterium collinsii	1114861	S	11	4	15	0.00000
Flavobacterium psychrophilum	96345	S	10	0	10	0.00000
Myroides odoratimimus	76832	S	291	411	702	0.00002
Myroides odoratus	256	S	24	0	24	0.00000
Christiangramia sp. OXR-203	3100176	S	406	89	495	0.00001
Gramella sp. MAR_2010_147	1250205	S	19	0	19	0.00000
Christiangramia fulva	2126553	S	48	1	49	0.00000
Christiangramia forsetii	411153	S	21	2	23	0.00000
Polaribacter sp. Q13	2806551	S	30	19	49	0.00000
Polaribacter sp. Hel1_33_78	1336804	S	22	3	25	0.00000
Polaribacter sp. SA4-10	754397	S	15	1	16	0.00000
Polaribacter sp. L3A8	2686361	S	12	13	25	0.00000
Polaribacter dokdonensis	326329	S	46	2	48	0.00000
Polaribacter haliotis	1888915	S	22	1	23	0.00000
Polaribacter cellanae	2818493	S	15	0	15	0.00000
Polaribacter sejongensis	985043	S	13	9	22	0.00000
Polaribacter reichenbachii	996801	S	12	0	12	0.00000
Capnocytophaga sp. oral taxon 902	2748316	S	52	65	117	0.00000
Capnocytophaga gingivalis	1017	S	25	0	25	0.00000
Capnocytophaga ochracea	1018	S	18	8	26	0.00000
Capnocytophaga leadbetteri	327575	S	15	2	17	0.00000
Tenacibaculum maritimum	107401	S	73	2	75	0.00000
Tenacibaculum finnmarkense	2781243	S	66	5	71	0.00000
Tenacibaculum jejuense	584609	S	21	0	21	0.00000
Kordia sp. SMS9	2282170	S	160	1	161	0.00000
Muricauda sp. SCSIO 64092	2908842	S	32	0	32	0.00000
Allomuricauda ruestringensis	111501	S	30	5	35	0.00000
Allomuricauda lutaonensis	516051	S	28	8	36	0.00000
Flavivirga eckloniae	1803846	S	106	2	108	0.00000
Dokdonia sp. MED134	313590	S	48	31	79	0.00000
Dokdonia donghaensis	326320	S	10	6	16	0.00000
Wenyingzhuangia fucanilytica	1790137	S	80	3	83	0.00000
Cellulophaga lytica	979	S	30	8	38	0.00000
Cellulophaga sp. HaHaR_3_176	1942464	S	21	1	22	0.00000
Maribacter hydrothermalis	1836467	S	16	6	22	0.00000
Maribacter litopenaei	2976127	S	15	4	19	0.00000
Winogradskyella schleiferi	2686078	S	44	9	53	0.00000
Aquimarina sp. BL5	1714860	S	21	1	22	0.00000
Aquimarina sp. AD10	1714849	S	20	0	20	0.00000
Psychroflexus sp. ALD_RP9	2777186	S	59	87	146	0.00000
Tamlana sp. s12	1630406	S	40	3	43	0.00000
Tamlana carrageenivorans	2069432	S	17	1	18	0.00000
Nonlabens dokdonensis	328515	S	30	3	33	0.00000
Formosa agariphila	320324	S	33	1	34	0.00000
Formosa sp. L2A11	2686363	S	10	0	10	0.00000
Zobellia laminariae	248906	S	30	0	30	0.00000
Leeuwenhoekiella palythoae	573501	S	29	23	52	0.00000
Oceanihabitans sp. IOP_32	2529032	S	37	7	44	0.00000
Flagellimonas sp. HMM57	2905121	S	25	0	25	0.00000
Salinimicrobium tongyeongense	2809707	S	27	1	28	0.00000
Aureibaculum algae	2584122	S	27	0	27	0.00000
Salegentibacter mishustinae	270918	S	21	12	33	0.00000
Antarcticibacterium arcticum	2585771	S	10	0	10	0.00000
Pukyongia salina	2094025	S	23	0	23	0.00000
Aequorivita sp. H23M31	2494375	S	10	9	19	0.00000
Galbibacter sp. BG1	1170699	S	21	3	24	0.00000
Mesoflavibacter profundi	2708110	S	18	12	30	0.00000
Sediminicola sp. YIK13	1453352	S	18	0	18	0.00000
Lutimonas sp. YSD2104	3060215	S	18	0	18	0.00000
Lutibacter profundi	1622118	S	10	0	10	0.00000
Gillisia sp. Hel1_33_143	1336796	S	17	2	19	0.00000
Euzebyella marina	1761453	S	16	5	21	0.00000
Sinomicrobium kalidii	2900738	S	15	0	15	0.00000
Flaviramulus sp. BrNp1-15	2916754	S	14	1	15	0.00000
Abyssalbus ytuae	2926907	S	14	0	14	0.00000
Mariniflexile sp. TRM1-10	2027857	S	13	0	13	0.00000
Chryseobacterium sp. PET-29	2983267	S	163	141	304	0.00001
Chryseobacterium sp. POL2	2713414	S	120	27	147	0.00000
Chryseobacterium sp. IHB B 17019	1721091	S	50	3	53	0.00000
Chryseobacterium sp. G0162	2487063	S	19	7	26	0.00000
Chryseobacterium sp.	1871047	S	17	2	19	0.00000
Chryseobacterium sp. JJR-5R	3093923	S	14	0	14	0.00000
Chryseobacterium sp. 6424	2039166	S	14	1	15	0.00000
Chryseobacterium sp. MEBOG06	2879938	S	13	1	14	0.00000
Chryseobacterium sp. G0186	2487064	S	12	3	15	0.00000
Chryseobacterium sp. 3008163	2478663	S	11	1	12	0.00000
Chryseobacterium faecale	2852098	S	353	5	358	0.00001
Chryseobacterium indologenes	253	S	168	21	189	0.00000
Chryseobacterium taklimakanense	536441	S	148	17	165	0.00000
Chryseobacterium arthrosphaerae	651561	S	68	7	75	0.00000
Chryseobacterium shandongense	1493872	S	27	4	31	0.00000
Chryseobacterium carnipullorum	1124835	S	24	3	27	0.00000
Chryseobacterium capnotolerans	2759528	S	23	2	25	0.00000
Chryseobacterium suipulveris	2929800	S	22	2	24	0.00000
Chryseobacterium camelliae	1265445	S	14	1	15	0.00000
Chryseobacterium piperi	558152	S	14	0	14	0.00000
Chryseobacterium daecheongense	192389	S	13	1	14	0.00000
Chryseobacterium balustinum	246	S	12	1	13	0.00000
Chryseobacterium nakagawai	1241982	S	12	4	16	0.00000
Chryseobacterium lactis	1241981	S	12	1	13	0.00000
Chryseobacterium nepalense	1854498	S	12	10	22	0.00000
Chryseobacterium paludis	2956784	S	11	0	11	0.00000
Epilithonimonas vandammei	2487072	S	143	101	244	0.00001
Kaistella antarctica	266748	S	38	0	38	0.00000
Kaistella flava (ex Peng et al. 2021)	2038776	S	29	1	30	0.00000
Kaistella sp. 97-N-M2	2908645	S	14	0	14	0.00000
Candidatus Kaistella beijingensis	2820270	S	14	1	15	0.00000
Kaistella polysaccharea	2878534	S	13	0	13	0.00000
Elizabethkingia bruuniana	1756149	S	46	19	65	0.00000
Elizabethkingia anophelis	1117645	S	17	40	57	0.00000
Ornithobacterium rhinotracheale	28251	S	109	9	118	0.00000
Cloacibacterium normanense	237258	S	70	7	77	0.00000
Weeksella virosa	1014	S	52	4	56	0.00000
Riemerella anatipestifer	34085	S	42	2	44	0.00000
Empedobacter brevis	247	S	31	9	40	0.00000
Blattabacterium sp. (Blattella germanica)	624186	S	88	4	92	0.00000
Blattabacterium cuenoti	1653831	S	17	1	18	0.00000
Owenweeksia hongkongensis	253245	S	16	0	16	0.00000
Paracrocinitomix mangrovi	2862509	S	12	0	12	0.00000
Hymenobacter sp. YIM 151500-1	2987689	S	60	3	63	0.00000
Hymenobacter sp. PAMC 26628	1484118	S	49	5	54	0.00000
Hymenobacter sp. NBH84	2596915	S	46	14	60	0.00000
Hymenobacter sp. BRD128	2675878	S	32	2	34	0.00000
Hymenobacter sp. YIM 151858-1	2987688	S	29	3	32	0.00000
Hymenobacter sp. BT18	2835648	S	24	2	26	0.00000
Hymenobacter sp. 5516J-16	2932253	S	19	199	218	0.00001
Hymenobacter sp. 5317J-9	2932250	S	14	3	17	0.00000
Hymenobacter sp. DG01	2584940	S	12	6	18	0.00000
Hymenobacter sp. HDW8	2714932	S	11	69	80	0.00000
Hymenobacter sediminicola	2761579	S	54	8	62	0.00000
Hymenobacter swuensis	1446467	S	48	10	58	0.00000
Hymenobacter nivis	1850093	S	37	4	41	0.00000
Hymenobacter cellulosilyticus	2932248	S	37	5	42	0.00000
Hymenobacter monticola	1705399	S	32	2	34	0.00000
Hymenobacter sedentarius	1411621	S	31	2	33	0.00000
Hymenobacter tibetensis	497967	S	29	4	33	0.00000
Hymenobacter yonginensis	748197	S	24	40	64	0.00000
Hymenobacter jejuensis	2502781	S	24	1	25	0.00000
Hymenobacter volaticus	2932254	S	15	1	16	0.00000
Hymenobacter busanensis	2607656	S	14	0	14	0.00000
Hymenobacter cellulosivorans	2932249	S	14	2	16	0.00000
Hymenobacter baengnokdamensis	2615203	S	12	9	21	0.00000
Pontibacter sp. G13	3074898	S	55	0	55	0.00000
Pontibacter sp. SGAir0037	2571030	S	15	2	17	0.00000
Pontibacter kalidii	2592049	S	34	2	36	0.00000
Pontibacter russatus	2694929	S	31	1	32	0.00000
Pontibacter actiniarum	323450	S	27	2	29	0.00000
Pontibacter pudoricolor	2694930	S	21	1	22	0.00000
Pontibacter korlensis	400092	S	20	0	20	0.00000
Pontibacter akesuensis	388950	S	12	1	13	0.00000
Rufibacter sp. DG15C	1379909	S	21	6	27	0.00000
Rufibacter tibetensis	512763	S	20	1	21	0.00000
Rufibacter radiotolerans	1379910	S	14	0	14	0.00000
Adhaeribacter swui	2086471	S	18	0	18	0.00000
Adhaeribacter radiodurans	2745197	S	14	0	14	0.00000
Spirosoma oryzicola	2898794	S	279	4	283	0.00001
Spirosoma rhododendri	2728024	S	109	0	109	0.00000
Spirosoma sp. KUDC1026	2745947	S	50	0	50	0.00000
Spirosoma sp. KCTC 42546	2520506	S	23	0	23	0.00000
Spirosoma aerolatum	1211326	S	42	0	42	0.00000
Spirosoma radiotolerans	1379870	S	42	0	42	0.00000
Spirosoma foliorum	2710596	S	34	0	34	0.00000
Spirosoma aureum	2692134	S	22	4	26	0.00000
Spirosoma pollinicola	2057025	S	21	0	21	0.00000
Spirosoma taeanense	2735870	S	11	0	11	0.00000
Spirosoma montaniterrae	1178516	S	10	0	10	0.00000
Tellurirhabdus rosea	2674997	S	177	1	178	0.00000
Tellurirhabdus bombi	2907205	S	14	0	14	0.00000
Rhodocytophaga rosea	2704465	S	45	0	45	0.00000
Aquirufa antheringensis	2516559	S	13	0	13	0.00000
Dyadobacter sandarakinus	2747268	S	85	3	88	0.00000
Dyadobacter fermentans	94254	S	33	0	33	0.00000
Dyadobacter fanqingshengii	2906443	S	25	0	25	0.00000
Dyadobacter chenhuakuii	2909339	S	22	0	22	0.00000
Dyadobacter chenwenxiniae	2906456	S	17	0	17	0.00000
Dyadobacter sp. NIV53	2861765	S	13	0	13	0.00000
Dyadobacter pollutisoli	2910158	S	10	0	10	0.00000
Leadbetterella byssophila	316068	S	174	2	176	0.00000
Runella slithyformis	106	S	58	0	58	0.00000
Runella sp. SP2	2268026	S	43	0	43	0.00000
Larkinella insperata	332158	S	70	0	70	0.00000
Marinilongibacter aquaticus	2975157	S	49	0	49	0.00000
Emticicia sp. 21SJ11W-3	2916755	S	31	0	31	0.00000
Emticicia oligotrophica	312279	S	16	14	30	0.00000
Arcticibacterium luteifluviistationis	1784714	S	36	0	36	0.00000
Fibrella aestuarina	651143	S	16	0	16	0.00000
Echinicola soli	2591634	S	72	3	75	0.00000
Echinicola marina	2859768	S	60	23	83	0.00000
Echinicola strongylocentroti	1795355	S	48	4	52	0.00000
Echinicola rosea	1807691	S	35	12	47	0.00000
Echinicola vietnamensis	390884	S	34	15	49	0.00000
Echinicola sp. 20G	2781961	S	16	0	16	0.00000
Cyclobacterium amurskyense	320787	S	167	4	171	0.00000
Algoriphagus sp. NBT04N3	2705473	S	14	4	18	0.00000
Algoriphagus sp. Y33	2772483	S	13	7	20	0.00000
Algoriphagus sp. NG3	3097546	S	10	2	12	0.00000
Algoriphagus sanaruensis	1727163	S	20	1	21	0.00000
Aquiflexum balticum	280473	S	10	0	10	0.00000
Mangrovivirga cuniculi	2715131	S	332	3	335	0.00001
Flammeovirga kamogawensis	373891	S	122	10	132	0.00000
Flammeovirga pectinis	2494373	S	77	8	85	0.00000
Flammeovirga yaeyamensis	367791	S	65	9	74	0.00000
Flammeovirga sp. MY04	1191459	S	21	2	23	0.00000
Imperialibacter roseus	1324217	S	22	4	26	0.00000
Chondrinema litorale	2994555	S	17	2	19	0.00000
Porifericola rhodea	930972	S	91	4	95	0.00000
Chryseolinea soli	2321403	S	49	0	49	0.00000
Fulvivirga ulvae	2904245	S	19	0	19	0.00000
Fulvivirga ligni	2904246	S	12	0	12	0.00000
Fulvivirga maritima	2904247	S	11	0	11	0.00000
Reichenbachiella agarivorans	2979464	S	24	0	24	0.00000
Marivirga sp. BDSF4-3	3059078	S	21	4	25	0.00000
Roseivirga spongicola	333140	S	18	1	19	0.00000
Mucilaginibacter paludis	423351	S	263	2	265	0.00001
Mucilaginibacter sp. 21P	2778902	S	61	0	61	0.00000
Mucilaginibacter sp. 5C4	3048589	S	39	0	39	0.00000
Mucilaginibacter sp. KACC 22773	3025671	S	29	0	29	0.00000
Mucilaginibacter sp. SJ	3029053	S	22	2	24	0.00000
Mucilaginibacter sp. 14171R-50	2703789	S	21	0	21	0.00000
Mucilaginibacter sp. SMC90	2929803	S	16	0	16	0.00000
Mucilaginibacter ginkgonis	2682091	S	139	1	140	0.00000
Mucilaginibacter gotjawali	1550579	S	125	1	126	0.00000
Mucilaginibacter mali	2740462	S	80	0	80	0.00000
Mucilaginibacter sabulilitoris	1173583	S	60	0	60	0.00000
Mucilaginibacter ginsenosidivorans	398053	S	32	0	32	0.00000
Mucilaginibacter robiniae	2728022	S	22	0	22	0.00000
Mucilaginibacter ginsenosidivorax	862126	S	20	0	20	0.00000
Mucilaginibacter daejeonensis	398049	S	11	0	11	0.00000
Mucilaginibacter gossypii	551996	S	11	28	39	0.00000
Mucilaginibacter mallensis	652787	S	11	0	11	0.00000
Mucilaginibacter jinjuensis	1176721	S	11	0	11	0.00000
Sphingobacterium sp. ML3W	1538644	S	78	18	96	0.00000
Sphingobacterium sp.	341027	S	23	26	49	0.00000
Sphingobacterium sp. dk4302	2662364	S	23	0	23	0.00000
Sphingobacterium sp. CZ-2	2557994	S	21	1	22	0.00000
Sphingobacterium sp. DR205	2713573	S	18	2	20	0.00000
Sphingobacterium sp. E70	2853439	S	14	4	18	0.00000
Sphingobacterium sp. KACC 22765	3025669	S	12	0	12	0.00000
Sphingobacterium sp. SYP-B4668	2996035	S	11	0	11	0.00000
Sphingobacterium multivorum	28454	S	216	114	330	0.00001
Sphingobacterium thalpophilum	259	S	57	5	62	0.00000
Sphingobacterium spiritivorum	258	S	53	4	57	0.00000
Sphingobacterium daejeonense	371142	S	44	1	45	0.00000
Sphingobacterium lactis	797291	S	32	3	35	0.00000
Sphingobacterium bambusae	662858	S	28	0	28	0.00000
Sphingobacterium hotanense	649196	S	24	1	25	0.00000
Sphingobacterium faecium	34087	S	14	11	25	0.00000
Pedobacter sp.	1411316	S	17	0	17	0.00000
Pedobacter sp. PACM 27299	1727164	S	17	1	18	0.00000
Pedobacter sp. KBS0701	2578106	S	16	0	16	0.00000
Pedobacter sp. D749	2856523	S	11	0	11	0.00000
Pedobacter gandavensis	2679963	S	36	3	39	0.00000
Pedobacter endophyticus	2789740	S	32	0	32	0.00000
Pedobacter suwonensis	332999	S	27	0	27	0.00000
Pedobacter steynii	430522	S	27	0	27	0.00000
Pedobacter ginsengisoli	363852	S	23	0	23	0.00000
Pedobacter aquae	2605747	S	14	0	14	0.00000
Pedobacter cryoconitis	188932	S	12	0	12	0.00000
Pedobacter heparinus	984	S	10	0	10	0.00000
Pedobacter roseus	336820	S	10	0	10	0.00000
Olivibacter sp. SDN3	2764720	S	27	0	27	0.00000
Olivibacter sp. LS-1	2592345	S	25	0	25	0.00000
Solitalea lacus	2911172	S	20	0	20	0.00000
Solitalea canadensis	995	S	10	0	10	0.00000
Anseongella ginsenosidimutans	496056	S	16	0	16	0.00000
Chitinophaga sp. HK235	2952571	S	47	9	56	0.00000
Chitinophaga sp. XS-30	2604421	S	42	2	44	0.00000
Chitinophaga pinensis	79329	S	61	20	81	0.00000
Chitinophaga sancti	1004	S	55	96	151	0.00000
Chitinophaga filiformis	104663	S	42	8	50	0.00000
Chitinophaga caeni	2029983	S	36	2	38	0.00000
Chitinophaga oryzae	2725414	S	29	4	33	0.00000
Chitinophaga horti	2920382	S	25	2	27	0.00000
Chitinophaga agri	2703787	S	11	4	15	0.00000
Arachidicoccus sp. B3-10	2545455	S	25	0	25	0.00000
Arachidicoccus sp. BS20	1850526	S	24	0	24	0.00000
Arachidicoccus terrestris	2875539	S	28	0	28	0.00000
Arachidicoccus soli	2341117	S	17	0	17	0.00000
Flavisolibacter ginsenosidimutans	661481	S	46	1	47	0.00000
Flavisolibacter tropicus	1492898	S	18	1	19	0.00000
Ferruginibacter lapsinanis	563172	S	43	1	44	0.00000
Ferruginibacter albus	2875540	S	13	0	13	0.00000
Niastella koreensis	354356	S	50	4	54	0.00000
Pseudobacter ginsenosidimutans	661488	S	47	2	49	0.00000
Panacibacter ginsenosidivorans	1813871	S	39	0	39	0.00000
Paraflavitalea soli	2315862	S	26	1	27	0.00000
Flavihumibacter rivuli	2838156	S	22	0	22	0.00000
Filimonas lacunae	477680	S	24	39	63	0.00000
Niabella ginsenosidivorans	1176587	S	13	0	13	0.00000
Pseudocnuella soli	2502779	S	19	1	20	0.00000
Lacibacter sediminis	2760713	S	17	0	17	0.00000
Phnomibacter ginsenosidimutans	2676868	S	13	1	14	0.00000
Aureispira sp. EL160426	2864201	S	23	0	23	0.00000
Aureispira sp. CCB-E	3051121	S	12	0	12	0.00000
Haliscomenobacter hydrossis	2350	S	13	0	13	0.00000
Candidatus Sulfidibacterium hydrothermale	2875962	S	21	0	21	0.00000
Pelodictyon phaeoclathratiforme	34090	S	57	2	59	0.00000
