name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	4712753	7574113	12286866	0.30799
Bacteroides thetaiotaomicron	818	S	1492701	494294	1986995	0.04981
Bacteroides xylanisolvens	371601	S	439268	1178895	1618163	0.04056
Bacteroides fragilis	817	S	192700	1093151	1285851	0.03223
Bacteroides sp. CACC 737	2755405	S	70397	671410	741807	0.01859
Bacteroides sp. A1C1	2528203	S	21553	269552	291105	0.00730
Bacteroides sp. D2	556259	S	19006	50337	69343	0.00174
Bacteroides sp. M10	2763022	S	10918	13751	24669	0.00062
Bacteroides sp. DH3716P	2847299	S	9585	196910	206495	0.00518
Bacteroides sp. HF-162	2785531	S	7399	131921	139320	0.00349
Bacteroides sp. ZJ-18	2709390	S	4848	65498	70346	0.00176
Bacteroides sp. PHL 2737	2162637	S	44	21070	21114	0.00053
Bacteroides sp. BFG-257	2972761	S	28	3657	3685	0.00009
Bacteroides sp.	29523	S	20	118	138	0.00000
Bacteroides cellulosilyticus	246787	S	149322	175758	325080	0.00815
Bacteroides salyersiae	291644	S	118449	16703	135152	0.00339
Bacteroides intestinalis	329854	S	95399	11853	107252	0.00269
Bacteroides ovatus	28116	S	54681	275192	329873	0.00827
Bacteroides eggerthii	28111	S	43595	14733	58328	0.00146
Bacteroides humanifaecis	2792859	S	31749	502104	533853	0.01338
Bacteroides luhongzhouii	2650158	S	31602	10775	42377	0.00106
Bacteroides caecimuris	1796613	S	17910	7990	25900	0.00065
Bacteroides faecis	674529	S	17186	8196	25382	0.00064
Bacteroides faecium	2715212	S	14079	822	14901	0.00037
Bacteroides stercoris	46506	S	9530	2624	12154	0.00030
Bacteroides nordii	291645	S	8701	794	9495	0.00024
Bacteroides zhangwenhongii	2650157	S	7583	4829	12412	0.00031
Bacteroides helcogenes	290053	S	7073	138	7211	0.00018
Bacteroides caccae	47678	S	4936	1212	6148	0.00015
uncultured Bacteroides sp.	162156	S	4359	30	4389	0.00011
Bacteroides graminisolvens	477666	S	4266	21	4287	0.00011
Bacteroides zoogleoformans	28119	S	3299	1061	4360	0.00011
Bacteroides heparinolyticus	28113	S	3043	789	3832	0.00010
Bacteroides finegoldii	338188	S	2486	2187	4673	0.00012
Bacteroides coprosuis	151276	S	100	0	100	0.00000
