# Reaction HUMAnN v4.0.0.alpha.1	SRR7947187_merged
RXN-14140	23.6843943307
RXN0-384	23.6843943307
RXN0-385	23.6843943307
RXN0-5107	23.6843943307
5.99.1.2-RXN	23.6820840441
DIMETHYLMALEATE-HYDRATASE-RXN	23.6454727120
1.1.1.274-RXN	23.4803841950
SPERMIDINESYN-RXN	23.2161003452
ABC-27-RXN	23.0900939682
TRYPTOPHAN--TRNA-LIGASE-RXN	22.8818986116
RXN-11839	22.8426294246
NADH-DEHYDROG-A-RXN	22.6844743747
NADH-PQ-DEHYDROG-RXN	22.6844743747
RXN-21274	22.6844743747
RXN-21415	22.6844743747
ABC-63-RXN	22.6678549859
RXN-12588	22.6058578933
RXN-14385	22.6058578933
RXN-15881	22.6058578933
RXN-20037	22.6058578933
RXN-21560	22.6058578933
RXN-21566	22.6058578933
RXN-9787	22.6058578933
2-ISOPROPYLMALATESYN-RXN	22.3723709806
PSERTRANSAM-RXN	22.3682836527
PSERTRANSAMPYR-RXN	22.3682836527
RXN-13163	22.1631316837
L-IDITOL-2-DEHYDROGENASE-RXN	22.1104436136
RXN-7644	22.1104436136
ASPARTATE--TRNA-LIGASE-RXN	21.9351134675
3.5.1.27-RXN	21.8984965962
3.5.1.88-RXN	21.8984965962
GLYCEROL-KIN-RXN	21.7924720041
HOMOCYSMETB12-RXN	21.6696908125
FUMHYDR-RXN	21.5245812978
ASPARAGINE--TRNA-LIGASE-RXN	21.4400372002
GPH-RXN	21.2853139401
PYRUVFORMLY-RXN	21.2090783552
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	21.2032791522
GLYC3PDEHYDROGBIOSYN-RXN	21.1536031371
DAHPSYN-RXN	20.7375273802
RXN-11475	20.5357237758
3.1.26.11-RXN	20.3473907938
RXN0-1342	20.2473227619
S-ADENMETSYN-RXN	20.1845847099
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	20.1092169016
HOMOSERDEHYDROG-RXN	20.0998691068
RXN-11600	20.0315084092
6PFRUCTPHOS-RXN	19.9393743885
ADENYLYLSULFKIN-RXN	19.8739953910
DTDPGLUCOSEPP-RXN	19.7509315784
3PGAREARR-RXN	19.6954030733
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	19.5411513546
ADENINE-DEAMINASE-RXN	19.4736412447
RXN-1961	19.4702821903
RXN0-6481	19.1607611052
RXN0-6482	19.1607611052
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	19.1607611052
INORGPYROPHOSPHAT-RXN	19.1400516581
ARGSUCCINLYA-RXN	19.1354131762
RXN-22	19.1354131762
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	19.1220128491
3.4.21.107-RXN	19.0857216239
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	18.9832631082
RXN-15043	18.9832631082
RXN-16025	18.9832631082
RXN-16032	18.9832631082
RXN-16067	18.9832631082
RXN-16076	18.9832631082
RXN-16077	18.9832631082
RXN-16118	18.9832631082
RXN-1623	18.9832631082
RXN-17008	18.9832631082
RXN-17009	18.9832631082
RXN-17010	18.9832631082
RXN-17011	18.9832631082
RXN-17012	18.9832631082
RXN-17013	18.9832631082
RXN-17014	18.9832631082
RXN-17015	18.9832631082
RXN-17019	18.9832631082
RXN-17020	18.9832631082
RXN-17021	18.9832631082
RXN-17022	18.9832631082
RXN-17023	18.9832631082
RXN-17024	18.9832631082
RXN-17729	18.9832631082
RXN-20512	18.9832631082
RXN-20528	18.9832631082
RXN-20565	18.9832631082
RXN0-5514	18.9832631082
RXN0-6705	18.9832631082
ALDHDEHYDROG-RXN	18.9281137091
R222-RXN	18.9281137091
RXN-10089	18.9281137091
RXN-10715	18.9281137091
RXN-10780	18.9281137091
RXN-10912	18.9281137091
RXN-10917	18.9281137091
RXN-14224	18.9281137091
RXN-14225	18.9281137091
RXN-14280	18.9281137091
RXN-16653	18.9281137091
RXN-16654	18.9281137091
RXN-16655	18.9281137091
RXN-16656	18.9281137091
RXN-17808	18.9281137091
RXN-20649	18.9281137091
RXN-3443	18.9281137091
RXN-37	18.9281137091
RXN-4142	18.9281137091
RXN66-3	18.9281137091
RXN66-472	18.9281137091
RXN66-476	18.9281137091
RXN66-479	18.9281137091
RXN6666-5	18.9281137091
DXS-RXN	18.8115955387
RXN0-5063	18.6283302287
GLYOXI-RXN	18.5871251809
THIOREDOXIN-REDUCT-NADPH-RXN	18.5838169359
DIAMINOPIMEPIM-RXN	18.5836569394
HOMOCYSTEINE-DESULFHYDRASE-RXN	18.5791558029
MALTACETYLTRAN-RXN	18.5655705897
TRANS-RXN-2	18.4707033761
3-DEHYDROQUINATE-DEHYDRATASE-RXN	18.4639206481
ARABISOM-RXN	18.4457568110
GLUC1PADENYLTRANS-RXN	18.3777208486
2PGADEHYDRAT-RXN	18.3659285852
RXN-11633	18.3494372887
GALACTOKIN-RXN	18.3132777411
3.4.21.89-RXN	18.0455683173
PANTOTHENATE-KIN-RXN	18.0031969397
PHOSPHOLIPASE-A2-RXN	17.9900635870
RXN-15065	17.9900635870
RXN-15067	17.9900635870
RXN-15068	17.9900635870
RXN-16138	17.9900635870
RXN-16139	17.9900635870
RXN-17735	17.9900635870
RXN-17736	17.9900635870
RXN-20543	17.9900635870
RXN-20546	17.9900635870
RXN-20548	17.9900635870
RXN-20552	17.9900635870
RXN-20554	17.9900635870
RXN-20555	17.9900635870
RXN-20558	17.9900635870
RXN-20561	17.9900635870
RXN-20562	17.9900635870
RXN0-6725	17.9900635870
3.4.11.18-RXN	17.9755274475
RXN-17873	17.9755274475
RXN-17874	17.9755274475
RXN-17875	17.9755274475
RXN-17876	17.9755274475
RXN-17877	17.9755274475
RXN-17878	17.9755274475
CTPSYN-RXN	17.9359811749
NAD-KIN-RXN	17.8502388083
ADENYLOSUCCINATE-SYNTHASE-RXN	17.8213823566
3.6.3.52-RXN	17.8009502308
3.1.11.6-RXN	17.7524895666
CARBAMATE-KINASE-RXN	17.6687989920
ALARACECAT-RXN	17.6511075633
F16BDEPHOS-RXN	17.5174465738
RXN-19040	17.4717349125
RXN0-6359	17.4717349125
THIOSULFATE-SULFURTRANSFERASE-RXN	17.4717349125
PHOSACETYLTRANS-RXN	17.3908622584
RXN0-302	17.3154322514
GALACTUROISOM-RXN	17.3141678096
GLUCUROISOM-RXN	17.3141678096
FGAMSYN-RXN	17.2329402922
ALTRO-OXIDOREDUCT-RXN	17.1578331485
DTDPGLUCDEHYDRAT-RXN	17.1375944829
GLYCOGENSYN-RXN	17.1284479693
ACETYLGLUTKIN-RXN	17.0804667077
RXN-15005	17.0804667077
DALADALALIG-RXN	17.0008630150
DIHYDROXYISOVALDEHYDRAT-RXN	16.9382625557
DIHYDROXYMETVALDEHYDRAT-RXN	16.9382625557
RNA-DIRECTED-DNA-POLYMERASE-RXN	16.8919663082
GAPOXNPHOSPHN-RXN	16.8893524933
RXN1YI0-11	16.8893524933
TRANS-RXN-332	16.8280653945
RIBULP3EPIM-RXN	16.6837018510
RXN-18388	16.6572786743
GLYOHMETRANS-RXN	16.5809129218
D-PPENTOMUT-RXN	16.5629908596
PPENTOMUT-RXN	16.5629908596
RXN-11638	16.3187180127
GLUTKIN-RXN	16.2000507158
TRANSALDOL-RXN	16.1998550353
IMP-DEHYDROG-RXN	16.1786192064
GLUTAMINESYN-RXN	16.1602445499
RXN0-4522	16.1183286979
TRANS-RXN0-202	16.1183286979
RIB5PISOM-RXN	16.0953678860
DARABALDOL-RXN	16.0640690096
FUCPALDOL-RXN	16.0640690096
5.4.2.10-RXN	16.0186733539
L-LACTATE-DEHYDROGENASE-RXN	15.9766556589
RXN-7572	15.9766556589
ASPCARBTRANS-RXN	15.9693936043
GLUTSEMIALDEHYDROG-RXN	15.9692019772
GUANYL-KIN-RXN	15.9311578577
UDP-NACMUR-ALA-LIG-RXN	15.8513629036
RXN0-6274	15.7863584162
PHOSGLYPHOS-RXN	15.7122649985
3.2.1.8-RXN	15.6834792508
RXN-8001	15.6535533869
ABC-56-RXN	15.5876522692
L-ASPARTATE-OXID-RXN	15.5794473735
2.7.3.9-RXN	15.5637351323
ACETYL-COA-CARBOXYLTRANSFER-RXN	15.5095851580
CYSTEINE--TRNA-LIGASE-RXN	15.4613531965
3.2.1.55-RXN	15.4584168611
RXN-19757	15.4584168611
RXN-19758	15.4584168611
RXN-19769	15.4584168611
UDP-NACMURALGLDAPLIG-RXN	15.4051608637
RXN0-5055	15.3825164488
RXN-9590	15.3315879471
3.4.11.9-RXN	15.3177423799
COBALAMIN5PSYN-RXN	15.2984326412
COBALAMINSYN-RXN	15.2984326412
RXN-19296	15.2984326412
RXN-19297	15.2984326412
RXN-19302	15.2984326412
RXN-19303	15.2984326412
RXN-19304	15.2984326412
RXN-19305	15.2984326412
RXN-19307	15.2984326412
RXN-19308	15.2984326412
RXN-19318	15.2984326412
GLUTRACE-RXN	15.2829713805
RXN0-6515	15.1760790292
3.1.26.3-RXN	15.0583386852
RXN0-1321	15.0490154900
RIBULPEPIM-RXN	14.9173809745
RXN-15123	14.8767062442
RXN-15127	14.8767062442
PHOSPHOGLUCMUT-RXN	14.7896549081
ALLANTOINASE-RXN	14.7703038589
GLUTAMINE--TRNA-LIGASE-RXN	14.7685416218
3.1.13.1-RXN	14.7331941793
RXN0-4222	14.7331941793
RXN0-6479	14.7331941793
RXN0-6524	14.7331941793
RXN0-6525	14.7331941793
2.7.1.148-RXN	14.7295728135
PHOSNACMURPENTATRANS-RXN	14.7256168357
RXN-11347	14.7256168357
RXN-8975	14.7256168357
RXN-16820	14.6510366100
RXN-18693	14.6510366100
RXN0-2023	14.6510366100
RXN-11190	14.5289514867
HISTIDPHOS-RXN	14.5051334366
HOMOCYSMET-RXN	14.4995355055
RXN-12730	14.4995355055
2.3.1.180-RXN	14.3074322024
3.6.3.31-RXN	14.2680483335
ABC-24-RXN	14.2680483335
DIHYDROFOLATEREDUCT-RXN	14.2427237939
RXN-18357	14.2427237939
RXN-19329	14.2427237939
DIOHBUTANONEPSYN-RXN	14.2315353954
RXN-11148	14.1281955167
RXN-14189	14.1188853683
RXN66-1	14.1188853683
RXN-15299	14.0845070423
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	14.0678953375
THIAZOLSYN3-RXN	14.0536625604
NADPYROPHOSPHAT-RXN	14.0367045921
RXN0-4401	14.0367045921
2.3.1.179-RXN	14.0358540237
RXN-21617	14.0358540237
RXN-21621	14.0358540237
RXN-21625	14.0358540237
RXN-21629	14.0358540237
RXN-21634	14.0358540237
RXN-21649	14.0358540237
RXN-21654	14.0358540237
RXN-21659	14.0358540237
RXN-21664	14.0358540237
RXN-21669	14.0358540237
RXN-21680	14.0358540237
RXN-21685	14.0358540237
RXN-21690	14.0358540237
RXN-21695	14.0358540237
RXN-21701	14.0358540237
RXN-8391	14.0358540237
ACSERLY-RXN	14.0301262430
RXN-12726	14.0301262430
URACIL-PRIBOSYLTRANS-RXN	14.0109312096
3.1.21.3-RXN	13.9707128546
GLUCOSAMINE-6-P-DEAMIN-RXN	13.9557426599
PEPCARBOXYKIN-RXN	13.9418834552
ASNSYNB-RXN	13.9348902950
TAGAALDOL-RXN	13.9091154627
GLYCOGEN-BRANCH-RXN	13.8046088553
RXN-14371	13.8046088553
RXN-14372	13.8046088553
RXN-18777	13.8046088553
RXN-7669	13.8046088553
RXN-7710	13.8046088553
2.4.1.211-RXN	13.6911820938
4OH2OXOGLUTARALDOL-RXN	13.6403827235
XYLULOKIN-RXN	13.6397561100
2.4.1.212-RXN	13.6289871543
RXN-11627	13.6289871543
MYO-INOSOSE-2-DEHYDRATASE-RXN	13.6162420422
RXN-14249	13.5329232611
THREODEHYD-RXN	13.5329232611
2.7.7.60-RXN	13.5121623514
PGLYCDEHYDROG-RXN	13.4820754900
HYDROXYLAMINE-REDUCTASE-RXN	13.4799384754
SAICARSYN-RXN	13.3970233593
3.4.21.53-RXN	13.3263555263
ADPREDUCT-RXN	13.2717301712
CDPREDUCT-RXN	13.2717301712
GDPREDUCT-RXN	13.2717301712
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	13.2717301712
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	13.2717301712
RXN0-722	13.2717301712
RXN0-747	13.2717301712
RXN0-748	13.2717301712
UDPREDUCT-RXN	13.2717301712
5-FORMYL-THF-CYCLO-LIGASE-RXN	13.2548491018
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	13.1692326955
CHORISMATE-SYNTHASE-RXN	13.0545257979
HYDROG-RXN	13.0416870929
FADSYN-RXN	13.0352948862
RXN-18511	13.0352948862
4.3.1.17-RXN	13.0153824885
2.5.1.19-RXN	12.8619467312
RXN-14570	12.8555464724
OROPRIBTRANS-RXN	12.7991320419
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	12.7973927066
1.2.7.8-RXN	12.7938617349
GLYOXII-RXN	12.7674632362
RXN-7919	12.7674632362
ABC-16-RXN	12.7637996644
TRANS-RXN0-503	12.7637996644
TRANS-RXN0-504	12.7637996644
ACETOLACTREDUCTOISOM-RXN	12.7534470282
ACETOOHBUTREDUCTOISOM-RXN	12.7534470282
ADENYL-KIN-RXN	12.7301952054
1.15.1.2-RXN	12.7274273079
POLYPHOSPHATE-KINASE-RXN	12.6906677957
PGLUCISOM-RXN	12.6883893433
RXN-8999	12.6848155379
RXN-17809	12.6779298400
RXN-15025	12.6656769655
RXN0-7078	12.6656769655
MANNONDEHYDRAT-RXN	12.5747712563
BETA-PHOSPHOGLUCOMUTASE-RXN	12.4713171250
PTAALT-RXN	12.4698461319
QUINOPRIBOTRANS-RXN	12.4012468391
LYSINE--TRNA-LIGASE-RXN	12.3986544180
RXN-11593	12.3743707648
ATPPHOSPHORIBOSYLTRANS-RXN	12.3735048100
IGPSYN-RXN	12.3627329115
TRANS-RXN-236	12.3534368741
HISTCYCLOHYD-RXN	12.3160550960
RXN-11576	12.2909955545
RXN-11845	12.2211606440
THREDEHYD-RXN	12.2028047213
RXN-982	12.1444519373
FORMATETHFLIG-RXN	12.0419188852
ASPDECARBOX-RXN	12.0143831281
1.6.4.4-RXN	11.9986590267
SHIKIMATE-KINASE-RXN	11.9672757484
RXN-12458	11.9669146128
RXN-14517	11.9669146128
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	11.9628038899
GLUTDEHYD-RXN	11.9178509483
GLYCDEH-RXN	11.9124111658
3.2.1.10-RXN	11.8966689679
PRTRANS-RXN	11.8594579033
RIBOKIN-RXN	11.8565388417
UDP-NACMURALA-GLU-LIG-RXN	11.8455589839
1.17.4.2-RXN	11.7749702812
RXN-21262	11.7749702812
RXN-21263	11.7749702812
RXN-21264	11.7749702812
RXN-21265	11.7749702812
GALPMUT-RXN	11.7078228950
COA-DISULFIDE-REDUCTASE-NADH-RXN	11.6562294143
3.2.1.37-RXN	11.6529774712
N-ACETYLTRANSFER-RXN	11.4637819795
RXN0-6948	11.4637819795
UDPMANNACADEHYDROG-RXN	11.4110270555
DTDPDEHYRHAMREDUCT-RXN	11.4074392993
GALACTURIDYLYLTRANS-RXN	11.3839611945
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN	11.3660244370
SUCCCOASYN-RXN	11.3278970456
RXN-12402	11.1927508215
RXN0-5001	11.1927508215
3.6.3.44-RXN	11.1834281221
RXN-20868	11.1834281221
TRANS-RXN-220	11.1834281221
TRANS-RXN-366	11.1834281221
AICARTRANSFORM-RXN	11.1826797090
ARGDECARBOX-RXN	11.1352899623
RXN-8764	11.1243943275
UREA-CARBOXYLASE-RXN	11.1237863378
3.5.1.80-RXN	11.0240646081
NAG6PDEACET-RXN	11.0240646081
ERYTHRON4PDEHYDROG-RXN	10.9591159508
BTUR2-RXN	10.9129962558
RXN-19335	10.9129962558
RXN-19339	10.9129962558
RXN-19368	10.9129962558
RXN-19369	10.9129962558
1.3.99.15-RXN	10.8803712567
DIMESULFREDUCT-RXN	10.8184391639
RXN-20076	10.8184391639
HEMN-RXN	10.7828352615
GLYRIBONUCSYN-RXN	10.7395528997
RNA-DIRECTED-RNA-POLYMERASE-RXN	10.6802662440
MALTODEXGLUCOSID-RXN	10.6629792675
RXN-14281	10.6629792675
RXN-14282	10.6629792675
RXN-14283	10.6629792675
RXN-15910	10.6629792675
RXN0-5183	10.6629792675
TRIOSEPISOMERIZATION-RXN	10.6542138789
GLUTAMATESYN-RXN	10.6499253404
NACGLCTRANS-RXN	10.5852133452
RXN-11029	10.5852133452
RXN-11346	10.5852133452
RXN-8976	10.5852133452
METHENYLTHFCYCLOHYDRO-RXN	10.5823608058
GLUTAMIDOTRANS-RXN	10.5284160771
UGD-RXN	10.4651748843
GLYCOLALDREDUCT-RXN	10.4474072916
LACTALDREDUCT-RXN	10.4474072916
RXN-8641	10.4474072916
PANTOATE-BETA-ALANINE-LIG-RXN	10.4445969343
3.4.13.9-RXN	10.4097224918
ASPARTATEKIN-RXN	10.3886868579
RXN-13158	10.3327068534
RXN-14986	10.3327068534
RXNQT-4165	10.3327068534
RXNQT-4168	10.3327068534
RXNQT-4171	10.3327068534
RXNQT-4174	10.3327068534
RXNQT-4178	10.3327068534
ARGININE--TRNA-LIGASE-RXN	10.3221320764
4.2.99.18-RXN	10.2973216398
ACETYLHOMOSER-CYS-RXN	10.2552081320
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	10.2552081320
RXN-20787	10.2269016278
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	10.2269016278
PRPPAMIDOTRANS-RXN	10.1883148789
RXN-9297	10.1613225735
LYSINE-23-AMINOMUTASE-RXN	10.1515031645
OHMETHYLBILANESYN-RXN	10.1302736293
GSHTRAN-RXN	10.1061128767
GST-RXN	10.1061128767
RXN-11663	10.1061128767
RXN-13673	10.1061128767
RXN-15680	10.1061128767
RXN-18405	10.1061128767
RXN-18407	10.1061128767
RXN-19573	10.1061128767
RXN-19600	10.1061128767
RXN-19601	10.1061128767
RXN-19610	10.1061128767
RXN-19611	10.1061128767
RXN-19626	10.1061128767
RXNQT-4363	10.1061128767
RXN-15878	10.1060265996
RXN0-2584	10.1047341231
ACETALD-DEHYDROG-RXN	10.0882511175
RXN-13671	10.0882511175
1.1.1.292-RXN	10.0745882743
1.11.1.15-RXN	10.0289668022
RXN0-267	10.0289668022
3.1.26.12-RXN	10.0241700551
RXN0-6478	10.0241700551
RXN0-6485	10.0241700551
RXN0-6521	10.0241700551
RXN0-6522	10.0241700551
RXN0-6523	10.0241700551
TRANS-RXN-214	9.9888262113
RXN-16702	9.9781014948
ISOLEUCINE--TRNA-LIGASE-RXN	9.9455648885
TRANS-RXN-276	9.9325771264
LYSYLTRANSFERASE-RXN	9.9142184837
FMNREDUCT-RXN	9.9055111779
3.5.1.91-RXN	9.8628611103
RXN-21418	9.8628611103
RXN-14047	9.7929189188
RXN-8344	9.7866860300
HISTPRATPHYD-RXN	9.7465790967
LYSDECARBOX-RXN	9.7266948274
ALDOSE-1-EPIMERASE-RXN	9.7172705554
ALDOSE1EPIM-RXN	9.7172705554
2.6.1.14-RXN	9.7087378641
R125-RXN	9.4723179394
MALATE-DEH-RXN	9.4316758426
1.12.1.3-RXN	9.4282222169
ALPHA-L-FUCOSIDASE-RXN	9.4188293424
RXN-19378	9.4188293424
RXN-19379	9.4188293424
RXN-21816	9.4188293424
RXN197R-54	9.4188293424
2-ENOATE-REDUCTASE-RXN	9.4044914183
DIHYDRODIPICSYN-RXN	9.4037640796
QUINOLINATE-SYNTHA-RXN	9.3786651056
DIHYDROOROT-RXN	9.3548341029
RXN-12979	9.3457943925
IPPISOM-RXN	9.3457165942
N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN	9.3391383556
CARBODEHYDRAT-RXN	9.2121998865
RXN0-5224	9.2121998865
