# Reaction HUMAnN v4.0.0.alpha.1	SRR7947187_merged
UNMAPPED	24342.0000000000
UNGROUPED	2287.3134117643
DNA-DIRECTED-RNA-POLYMERASE-RXN	1008.4395259614
3.1.26.5-RXN	515.9305461352
RXN0-6480	515.9305461352
2.7.13.3-RXN	397.5327744162
2.1.1.86-RXN	160.0967139647
PEPTIDYLPROLYL-ISOMERASE-RXN	96.4747433675
DNA-DIRECTED-DNA-POLYMERASE-RXN	88.8488047032
RXN-20927	88.8488047032
ATPSYN-RXN	83.7085405455
5.99.1.3-RXN	81.3678185668
3.2.1.17-RXN	76.2902138802
3.2.1.23-RXN	57.0564078350
KETOLACTOSE-RXN	57.0564078350
RXN-12398	57.0564078350
RXN-12399	57.0564078350
RXN-12400	57.0564078350
RXN-19765	57.0564078350
2.7.7.8-RXN	55.1349951055
RXN-15087	53.5448747478
RXN-15162	53.5448747478
RXN-15164	53.5448747478
RXN-15165	53.5448747478
TRANS-RXN-165	53.5448747478
TRANS-RXN-167A	53.5448747478
ABC-32-RXN	50.8472134101
PROLINE--TRNA-LIGASE-RXN	49.9266341215
TRYPSYN-RXN	49.2105420082
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	45.3055668738
RXN0-6994	45.3055668738
RXN0-7002	45.3055668738
CARBPSYN-RXN	45.0549457416
ACETOLACTSYN-RXN	41.4715749466
ACETOOHBUTSYN-RXN	41.4715749466
UDPGLUCEPIM-RXN	40.7877228700
RXN-15561	39.8207263446
UNDECAPRENYL-DIPHOSPHATASE-RXN	38.9189846905
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	38.2784625553
PRPPSYN-RXN	38.0634509798
THREONINE--TRNA-LIGASE-RXN	36.9456477276
3.4.21.88-RXN	36.4559489747
ACYLPHOSPHATASE-RXN	36.0739628336
GLURS-RXN	35.4354108472
PROTEIN-TYROSINE-PHOSPHATASE-RXN	35.1159725492
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	33.8948879189
RXN-11586	33.8175287403
3.2.1.21-RXN	33.2317289105
RXN-10769	33.2317289105
RXN-10773	33.2317289105
RXN-13602	33.2317289105
RXN-13603	33.2317289105
RXN-14179	33.2317289105
RXN-18846	33.2317289105
RXN-21055	33.2317289105
RXN-5341	33.2317289105
RXN-8036	33.2317289105
RXN-9674	33.2317289105
RXN18C3-14	33.2317289105
3.1.26.4-RXN	33.1600160003
5-NUCLEOTID-RXN	33.0075329932
AMP-DEPHOSPHORYLATION-RXN	33.0075329932
RXN-14025	33.0075329932
RXN-14227	33.0075329932
RXN-5841	33.0075329932
RXN-7609	33.0075329932
XMPXAN-RXN	33.0075329932
RXN-2043	32.9287246902
3.1.21.4-RXN	32.8788466600
RXN-17362	32.1393170820
ALANINE--TRNA-LIGASE-RXN	32.1141496896
F16ALDOLASE-RXN	31.2705449017
RXN-19916	31.2705449017
RXN-8631	31.2705449017
SEDOBISALDOL-RXN	31.2705449017
VALINE--TRNA-LIGASE-RXN	30.9732880355
RXN-11578	30.7139385267
3.1.3.16-RXN	29.7723301568
NADH-PEROXIDASE-RXN	29.2508136150
RXN-14267	29.2235418804
RXN-16938	29.2235418804
RXN0-5225	29.2235418804
3-OXOACYL-ACP-REDUCT-RXN	29.1985836543
RXN-10655	29.1985836543
RXN-10659	29.1985836543
RXN-11476	29.1985836543
RXN-11480	29.1985836543
RXN-13008	29.1985836543
RXN-16616	29.1985836543
RXN-16622	29.1985836543
RXN-16626	29.1985836543
RXN-16630	29.1985836543
RXN-21614	29.1985836543
RXN-21618	29.1985836543
RXN-21622	29.1985836543
RXN-21626	29.1985836543
RXN-21631	29.1985836543
RXN-21635	29.1985836543
RXN-21645	29.1985836543
RXN-21650	29.1985836543
RXN-21655	29.1985836543
RXN-21660	29.1985836543
RXN-21665	29.1985836543
RXN-21670	29.1985836543
RXN-21676	29.1985836543
RXN-21681	29.1985836543
RXN-21686	29.1985836543
RXN-21691	29.1985836543
RXN-21696	29.1985836543
RXN-21702	29.1985836543
RXN-9514	29.1985836543
RXN-9518	29.1985836543
RXN-9524	29.1985836543
RXN-9528	29.1985836543
RXN-9532	29.1985836543
RXN-9536	29.1985836543
RXN-9540	29.1985836543
RXN-9552	29.1985836543
RXN-9556	29.1985836543
RXN-9633	29.1985836543
RXN0-2142	29.1985836543
RXN1G-157	29.1985836543
RXN1G-349	29.1985836543
RXN1G-469	29.1985836543
GDPPYPHOSKIN-RXN	28.8977325162
GTPPYPHOSKIN-RXN	28.8977325162
RXN0-11	28.7608023081
GMP-SYN-GLUT-RXN	28.5750634175
TDCEACT-RXN	28.3008044988
RXN0-5359	27.9603887808
ALPHAGALACTOSID-RXN	27.8962444157
RXN-11501	27.8962444157
RXN-12088	27.8962444157
RXN-17830	27.8962444157
1TRANSKETO-RXN	27.7742327143
2TRANSKETO-RXN	27.7742327143
3.4.16.4-RXN	27.3457957144
RXN-11065	27.3457957144
RXN-11302	27.3457957144
RXN-11351	27.3457957144
RXN-16649	27.3457957144
RXN-16659	27.3457957144
RXN-19249	27.3457957144
RXN-19253	27.3457957144
RXN-19256	27.3457957144
XANPRIBOSYLTRAN-RXN	27.2191955549
AIRS-RXN	27.1754821273
HISTIDINE--TRNA-LIGASE-RXN	27.0672475044
RXN0-4181	26.8116977253
DXPREDISOM-RXN	26.6609314932
3.4.21.92-RXN	26.0520341539
LEUCINE--TRNA-LIGASE-RXN	25.9816060244
PHENYLALANINE--TRNA-LIGASE-RXN	25.8815328327
RXN0-2161	25.4596205483
SERINE--TRNA-LIGASE-RXN	25.4596205483
FUCISOM-RXN	25.3448544392
ALCOHOL-DEHYDROG-GENERIC-RXN	25.0361177302
ALCOHOL-DEHYDROG-RXN	25.0361177302
RXN-10781	25.0361177302
RXN-10911	25.0361177302
RXN-10915	25.0361177302
RXN-12448	25.0361177302
RXN-13198	25.0361177302
RXN-5424	25.0361177302
RXN-7657	25.0361177302
RXN-7693	25.0361177302
RXN-7694	25.0361177302
RXN-7700	25.0361177302
RXN-7706	25.0361177302
RXN3O-4113	25.0361177302
RXN66-478	25.0361177302
GLYCOPHOSPHORYL-RXN	24.7129082524
GLYMALTOPHOSPHORYL-RXN	24.7129082524
RXN-12171	24.7129082524
RXN-12392	24.7129082524
RXN-14284	24.7129082524
RXN-14285	24.7129082524
RXN-14286	24.7129082524
RXN-14353	24.7129082524
RXN-1826	24.7129082524
RXN-21092	24.7129082524
RXN-9025	24.7129082524
RXN0-5182	24.7129082524
RXN0-5184	24.7129082524
N-ACETYLGLUTPREDUCT-RXN	24.6404108289
RXN-15006	24.6404108289
METHIONINE--TRNA-LIGASE-RXN	24.4311397898
RXN-16165	24.4311397898
ADENPHOSPHOR-RXN	24.3727259000
DEOXYADENPHOSPHOR-RXN	24.3727259000
DEOXYGUANPHOSPHOR-RXN	24.3727259000
DEOXYINOPHOSPHOR-RXN	24.3727259000
INOPHOSPHOR-RXN	24.3727259000
PNP-RXN	24.3727259000
RXN-11715	24.3727259000
RXN-11743	24.3727259000
RXN-14029	24.3727259000
RXN-7001	24.3727259000
XANTHOSINEPHOSPHORY-RXN	24.3727259000
BETA-LACTAMASE-RXN	24.3489008088
RXN-20894	24.3489008088
PEPDEPHOS-RXN	24.2778533673
RXN-14117	24.2778533673
RXN-14192	24.2778533673
RXN-14207	24.2778533673
ARGSUCCINSYN-RXN	24.1715594631
RXN-10	24.1715594631
RXN-13997	24.0706943140
RXN-14694	24.0159877797
ORNCARBAMTRANSFER-RXN	23.9922168658
RXN-13482	23.9922168658
2.1.1.72-RXN	23.9300748282
RXN-11592	23.9067140196
QOR-RXN	23.8245893886
2.4.1.129-RXN	23.8222714683
RXN-11291	23.8222714683
RXN-11348	23.8222714683
RXN-11350	23.8222714683
RXN-14712	23.8222714683
RXN-15521	23.8222714683
RXN-16650	23.8222714683
GLYCINE--TRNA-LIGASE-RXN	23.6936337255
NUCLEOTIDE-PYROPHOSPHATASE-RXN	23.6843943307
RXN-14139	23.6843943307
