# Reaction HUMAnN v4.0.0.alpha.1	SRR7947187_kegg
UNMAPPED	0.0000000000
UNGROUPED	1028770.1497616945
UNGROUPED	984670.1275464131
K13255	860.8179400140
K21695	634.2869031682
K01759	624.4419184842
K06866	596.3434710617
K01838	596.0497798957
K00901	584.3127835246
K03648	583.8158105549
K09779	544.6983575230
K02518	526.8393949812
K02959	507.4295225345
K00127	492.6487440269
K03789	489.9324041471
K03704	474.9340358698
K02124	468.2608828581
K10543	452.6366632937
K02439	412.0154242802
K20881	409.3303374175
K02003	398.2604595868
K01118	396.7555937513
K00526	391.1725829706
K09022	390.3001769869
K02119	388.7878125781
K02109	388.0892161175
K10439	379.5732648880
K12945	371.9318527726
K00180	360.1940682337
K03831	347.1302854211
K13789	343.1273630117
K00965	337.0998982367
K02760	325.7148962215
K13409	322.4468537845
K11754	314.7806716966
K02783	307.6874592434
K06180	304.8590340882
K03411	297.5666953135
K23351	294.8367256317
K01069	285.1279734860
K07137	283.0676919793
K01990	271.6115697723
K00537	259.8695667967
K12944	259.1709926924
K01460	255.9287748450
K19222	252.3864117318
K02812	247.2092545681
K19230	246.7397136330
K00101	245.9479828611
K15342	244.6995159431
K02020	240.9281975372
K02338	240.4995818287
K02372	240.4279533206
K02744	238.6425972316
K12410	238.4994832303
K00626	238.1247475854
K12974	235.7149963617
K12112	234.0087603921
K02745	231.7586761576
K01628	230.4125821614
K01297	227.9033889733
K02120	226.3183316469
K02553	225.8787986129
K03216	225.1550196150
K03525	223.6470898104
K00847	220.1252083389
K05520	215.6859268044
K11473	212.3459814076
K06282	211.7641118952
K01265	204.6973512283
K08308	204.6955611074
K09913	201.6979273673
K12369	201.1634247879
K03721	199.0901861213
K00821	198.6600586176
K01356	198.3777968756
K07038	197.1607551770
K00661	195.9585554503
K07251	195.7836865181
K10004	195.1652009748
K09812	193.9871414116
K01462	192.4383418794
K00640	190.5367772363
K03150	188.5197570251
K02314	188.4941345555
K08312	185.4069409261
K07115	183.9969612871
K08305	183.6418268105
K03683	179.8724053761
K00616	179.5374474517
K06173	179.1785360944
K02805	178.0606278741
K06162	174.7568305035
K18697	173.4021749668
K05367	172.2999664453
K10441	171.8732209541
K07496	171.7810022517
K00874	168.6890287423
K14155	168.2684842018
K19267	166.5140056676
K03470	166.3978239683
K20488	163.6869427531
K00969	161.7644451033
K01035	161.2234268922
K18698	157.7613982827
K10041	156.7668443603
K01496	155.5025956154
K00278	154.7553818549
K01925	154.2807912844
K03880	154.0121554019
K02013	153.5216708305
K02611	151.8293059552
K01695	150.8788877646
K01091	150.4081268043
K06147	148.4107422706
K01547	147.7401947159
K20490	146.9689165878
K01426	142.2540344638
K11070	141.9905880435
K02446	141.1590179818
K01992	137.3384747601
K02173	136.1745893807
K01060	135.9825236693
K01151	135.2196483612
K19810	134.6170417171
K01995	134.2780073559
K01537	133.2977137646
K12660	132.9815300436
K06858	132.4335292329
K01681	131.9334690871
K01087	130.9940343500
K16951	129.4115560826
K04844	128.5221367440
K00868	128.2069272361
K00005	127.1920966775
K06606	127.0245181575
K03387	126.8324658984
K02492	126.7399233425
K06020	126.0069263217
K06221	125.0474828555
K09972	124.0818652272
K07260	122.9739914306
K03177	121.5783219187
K07258	121.5318719796
K01448	121.1201121628
K08306	121.1201121628
K01491	120.2139766603
K00108	119.7661590800
K01409	119.6173812426
K02034	119.4691564827
K05814	119.1738062813
K00885	119.0266781254
K01714	118.5874652910
K07056	118.1514819627
K01639	116.4391416444
K03701	114.4661537910
K01262	114.3251243394
K13923	112.4084286267
K02782	111.3298028655
K02558	110.8799210263
K15737	110.1846963218
K01940	109.9934446756
K10125	109.5282467494
K02495	108.4685111207
K05396	107.6022425017
K02841	107.0051157398
K00058	105.7144838614
K00946	105.5986958177
K01000	104.5679059453
K00053	104.2287667909
K05590	103.9734916233
K04075	103.5047008778
K01223	102.9203398331
K04940	99.3934116305
K00008	98.6812786915
K01735	97.7805367967
K00123	97.5173291385
K11472	96.6048189194
K01736	95.6464377794
K14170	95.1743428248
K00077	94.7174529084
K01626	93.7143836393
K01760	91.2988724257
K01782	90.2730423985
K13038	87.9667967897
K00600	86.2357864772
K01754	86.2317638926
K03774	86.1384656966
K13620	86.0050038194
K01766	84.4974665044
K19221	84.4193375229
K03931	84.2080756707
K09458	83.6180479458
K00857	82.6857712535
K08323	81.1545532673
K08723	81.1545532673
K01439	81.0862988070
K01104	79.1556726450
K18446	78.7033545156
K08309	77.6826643733
K04771	76.7608354153
K00556	76.6387991109
K04069	76.3532254957
K03735	75.2040634022
K08997	74.0488550550
K01918	73.9352831914
K08324	73.6528718729
K03474	73.5966483065
K00598	73.2611012778
K07229	71.0959030890
K01804	67.8000065272
K03771	65.3224960991
K02336	64.9066982465
K04032	64.5325363330
K03722	62.5056060652
K03672	61.8023136420
K00919	61.3305402554
K01792	60.4840710675
K01652	60.4082764922
K02799	60.0404480697
K02800	60.0404480697
K06894	59.7682489130
K01776	59.7345782414
K07320	57.9396690394
K00548	56.8710714435
K02822	56.7795107665
K03475	56.7795107665
K01790	56.0208936553
K03770	55.8907879893
K04044	55.1238475023
K06163	54.6703066393
K14731	54.1030355115
K01581	53.5620051564
K02071	51.8788799853
K11391	48.3508572124
K00932	48.2317095055
K11752	46.9842150495
K01467	45.1788234684
K20509	43.9032829151
K00796	42.5344174773
K01953	42.3616862501
K00297	39.9119382778
K01945	39.9054674179
K10679	39.2808768745
K00835	39.2758698702
K01061	38.6181322044
K13051	37.5434615582
K01669	37.0528859652
K01699	32.7434526640
K10823	32.3996806830
K00380	31.2002342106
K18850	30.6360372677
K04564	28.7868881440
K11750	28.4651931744
K00852	27.8324507164
K01662	27.7843254414
K01119	26.9607408505
K00564	26.3113833379
K01585	26.0853921216
K02536	25.7234816653
K01879	25.0680211341
K03658	24.9512446381
K13069	24.7380125030
K02056	23.1202899956
K00265	22.0621531537
K04072	20.9092501877
K21028	20.0741807478
K01187	19.2698617472
K01007	18.5072399273
K02551	18.3956514561
K00765	15.9391997556
K07264	15.6715879846
K01753	15.5612296164
K02622	13.5867544083
