# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947187_merged
READS_UNMAPPED	24342.0000000000
UniClust90_7594-DHIEBEEG_03121	2223.3200085571
UniClust90_12290-LMJGEGCL_02369	1885.8831702653
UniClust90_4245-COFOCADB_00374	1641.2766008963
UniRef90_J7TG29	1603.1683621255
UniClust90_41615-LEONJMDB_01615	1468.4010838598
UniClust90_14297-KMFPNDGN_00781	1250.6917152679
UniClust90_41633-GEIJMKHH_00555	1239.1741194920
UniRef90_R9IDV2	1198.0319337858
UniClust90_14110-IHKKKGPA_01447	1128.7992916198
UniRef90_U2EG59	1097.5577662141
UniClust90_4866-KCGMKMIF_01832	1050.3584152956
UniRef90_A0A2X4T290	1043.9992565848
UniRef90_A0A376J6W7	1029.2950417033
UniRef90_A0A376YEQ8	1029.2950417033
UniRef90_I6E5C7	1026.3026100752
UniRef90_A0A357D5P6	1014.9992772352
UniClust90_41625-GFMHMLAB_01768	1009.8013781137
UniRef90_L3PFN5	1002.1224207329
UniRef90_A0A374BQH2	997.7830732783
UniClust90_40340-LIGMMHAK_00299	987.5668643369
UniRef90_A0A069RJB6	986.5924633001
UniClust90_65959-BFDHEALM_00741	974.3993061458
UniClust90_61755-EINBMMIE_00514	949.0902332589
UniRef90_K1UIN2	913.4993495117
UniRef90_UPI000FFBE34D	912.6464089426
UniClust90_4607-EJKAEGOM_00823	912.3694801864
UniClust90_102271-MPCHKPKL_01065	883.7830160682
UniRef90_A0A447LWI7	880.4813007341
UniRef90_W1DVB5	869.9993804873
UniClust90_4657-ACLPPGCD_01475	861.3690328421
UniClust90_41424-PKNOBGAL_00621	859.7640936580
UniRef90_A0A2X2VAL8	859.7640936580
UniClust90_15124-HCMOFBKP_00844	854.9993911686
UniRef90_UNK15124-HCMOFBKP_00844	854.9993911686
UniClust90_31209-FJGNLJDO_03325	849.7668367550
UniClust90_41709-NHEIKFFF_02269	849.7668367550
UniRef90_W1HTR3	849.7668367550
UniRef90_V2Y0E2	840.9065948287
UniRef90_E2X933	838.7563088123
UniClust90_65958-GDJHJPKM_00312	821.1230107970
UniRef90_A0A357CXW2	813.8514564536
UniRef90_U2CKM2	800.9302487912
UniClust90_6806-OICMJJBG_00522	785.8058920530
UniClust90_4072-FKHJFNAF_01759	775.5204746178
UniRef90_I6CMB2	769.2626101151
UniRef90_A0A316PUB6	767.7816314927
UniRef90_A0A1Y4I1W2	753.9023107294
UniRef90_R9BUV2	752.1812825655
UniClust90_41402-JJGIHCHI_02898	748.4483119264
UniRef90_A0A3D2DJ34	745.7137547034
UniClust90_41623-PHHNKMEK_01042	743.6633532707
UniClust90_5063-BPHJJDJC_01635	742.0048833039
UniClust90_14822-HLIAHHKC_01479	728.1614752573
UniRef90_A0A133ZJ74	723.5638411974
UniRef90_A0A2X2SVI0	723.5638411974
UniRef90_UNK4804-NEGCFIKM_01455	723.5638411974
UniClust90_4617-PNBMLLCJ_01398	716.9648424790
UniRef90_A0A485EE31	716.4700780484
UniRef90_A0A173XIQ9	715.4640172325
UniClust90_37104-FPGPONGM_00986	711.1899697634
UniClust90_4041-LNKAKJCK_00011	709.5140578731
UniRef90_D4LH35	709.5140578731
UniClust90_4620-DDAIBHKD_01602	706.8190962270
UniClust90_41679-AKKKKNAN_02539	706.1029325949
UniRef90_E3DE47	702.6918073167
UniRef90_UNK15275-JJBDBKCI_01445	702.6918073167
UniRef90_A0A1C5VX49	697.1517130159
UniRef90_UPI000931DCED	689.9861480234
UniClust90_4605-HJILODIL_00772	689.4334713296
UniRef90_A0A3G2C7N5	682.9901678592
UniRef90_A0A381HRK4	678.3391656750
UniClust90_41470-OMLEIBJH_00804	676.6661848235
UniRef90_A0A3S4TX54	676.6661848235
UniRef90_UNK35739-PFAJECLN_01560	674.5984501105
UniClust90_4803-MODCPPHJ_00227	670.4582381737
UniClust90_4718-NDCBMOJC_01124	664.3631632812
UniClust90_47660-ABBDLHOE_01300	664.3631632812
UniClust90_4860-OKNGKCFC_00550	664.2477026043
UniRef90_A8S071	663.5461559068
UniRef90_A0A3D0EF92	658.4033232746
UniClust90_43258-LPIFGGGF_00039	658.3779095580
UniClust90_4759-GPGHJGKF_00260	657.1672158310
UniRef90_A0A0A7A4S5	652.4995353655
UniClust90_41418-AOPBEMDI_01259	646.7252031941
UniRef90_A0A378DE41	641.0521750959
UniClust90_25431-DEBBAMND_02978	635.4778083559
UniRef90_A0A376JAQ1	635.4778083559
