# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947171_1
READS_UNMAPPED	20885.0000000000
UniClust90_12288-FJDNAOCO_04466	49442.6760870233
UniClust90_12288-FJDNAOCO_04466|unclassified	49442.6760870233
UniRef90_A0A096N355	26097.2763784827
UniRef90_A0A096N355|unclassified	26097.2763784827
UniRef90_UPI0007DC5921	23946.7393744476
UniRef90_UPI0007DC5921|unclassified	23946.7393744476
UniRef90_O00370	14220.1801981942
UniRef90_O00370|unclassified	14220.1801981942
UniRef90_A0A146TCJ5	10380.4663378597
UniRef90_A0A146TCJ5|unclassified	10380.4663378597
UniRef90_A0A2I3MH11	9398.3838640817
UniRef90_A0A2I3MH11|unclassified	9398.3838640817
UniRef90_UPI00105F6E17	8586.4785150632
UniRef90_UPI00105F6E17|unclassified	8586.4785150632
UniRef90_A0A2K5RAP4	8072.0556673832
UniRef90_A0A2K5RAP4|unclassified	8072.0556673832
UniRef90_A0A096LNI6	7928.5655340666
UniRef90_A0A096LNI6|unclassified	7928.5655340666
UniRef90_H0YCJ5	6729.2575877708
UniRef90_H0YCJ5|unclassified	6729.2575877708
UniRef90_H7C366	6551.6201525789
UniRef90_H7C366|unclassified	6551.6201525789
UniRef90_Q9BQU3	6513.6469981165
UniRef90_Q9BQU3|unclassified	6513.6469981165
UniRef90_Q9HB55-6	6262.0437273928
UniRef90_Q9HB55-6|unclassified	6262.0437273928
UniRef90_A0A3B3ITR1	6191.2943682406
UniRef90_A0A3B3ITR1|unclassified	6191.2943682406
UniRef90_F8VVD5	5944.3685395567
UniRef90_F8VVD5|unclassified	5944.3685395567
UniRef90_A0A1W2PRX2	5852.9906868388
UniRef90_A0A1W2PRX2|unclassified	5852.9906868388
UniRef90_Q8WV90	5757.9782715267
UniRef90_Q8WV90|unclassified	5757.9782715267
UniRef90_A0A2R9AHJ2	5528.5062744568
UniRef90_A0A2R9AHJ2|unclassified	5528.5062744568
UniRef90_A0A2K5VAH8	5444.9493370831
UniRef90_A0A2K5VAH8|unclassified	5444.9493370831
UniClust90_93743-FACBLPDO_03456	5419.7216009056
UniClust90_93743-FACBLPDO_03456|unclassified	5419.7216009056
UniRef90_A0A2J8WQ32	5030.2706008433
UniRef90_A0A2J8WQ32|unclassified	5030.2706008433
UniRef90_J3QRX1	4456.7337026069
UniRef90_J3QRX1|unclassified	4456.7337026069
UniRef90_M0QYZ7	4088.6237587703
UniRef90_M0QYZ7|unclassified	4088.6237587703
UniRef90_A0A0D9SFB9	4003.8988254579
UniRef90_A0A0D9SFB9|unclassified	4003.8988254579
UniRef90_F4MH49	3843.5052938005
UniRef90_F4MH49|unclassified	3843.5052938005
UniRef90_A0A3B3ITT6	3416.7511965744
UniRef90_A0A3B3ITT6|unclassified	3416.7511965744
UniRef90_A0A376YEQ8	3363.3602739324
UniRef90_A0A376YEQ8|unclassified	3363.3602739324
UniRef90_A0A2I3GRQ1	3256.9999107805
UniRef90_A0A2I3GRQ1|unclassified	3256.9999107805
UniRef90_E9PS48	3238.1881477336
UniRef90_E9PS48|unclassified	3238.1881477336
UniRef90_A0A172E6W9	2994.2109755740
UniRef90_A0A172E6W9|unclassified	2994.2109755740
UniRef90_UPI0010A27910	2946.1122175209
UniRef90_UPI0010A27910|unclassified	2946.1122175209
UniRef90_A0A377BA65	2922.9202380603
UniRef90_A0A377BA65|unclassified	2922.9202380603
UniRef90_A0A2K6G613	2642.2558967798
UniRef90_A0A2K6G613|unclassified	2642.2558967798
UniRef90_Q9BTC5	2563.0652204960
UniRef90_Q9BTC5|unclassified	2563.0652204960
UniClust90_102306-NAMPNMPJ_01149	2558.1797639092
UniClust90_102306-NAMPNMPJ_01149|unclassified	2558.1797639092
UniRef90_D4BI59	2505.3602040517
UniRef90_D4BI59|unclassified	2505.3602040517
UniClust90_1836-HEPAMEGP_01298	2480.0535353239
UniClust90_1836-HEPAMEGP_01298|unclassified	2480.0535353239
UniRef90_A0A376SPZ8	2294.6289719352
UniRef90_A0A376SPZ8|unclassified	2294.6289719352
UniRef90_A0A2J8T5P0	2275.5268532874
UniRef90_A0A2J8T5P0|unclassified	2275.5268532874
UniClust90_103438-IPMCEDMK_06510	2273.3824073803
UniClust90_103438-IPMCEDMK_06510|unclassified	2273.3824073803
UniClust90_14315-KPDIIKNJ_00906	2232.0481817915
UniClust90_14315-KPDIIKNJ_00906|unclassified	2232.0481817915
UniClust90_1812-GCCEHMNJ_03365	2172.7902654608
UniClust90_1812-GCCEHMNJ_03365|unclassified	2172.7902654608
UniRef90_A0A3B3IRZ0	2166.0510652486
UniRef90_A0A3B3IRZ0|unclassified	2166.0510652486
UniClust90_4787-AOCNCBGN_02003	2153.7307017287
UniClust90_4787-AOCNCBGN_02003|unclassified	2153.7307017287
UniRef90_U2UCD3	2135.0026086702
UniRef90_U2UCD3|unclassified	2135.0026086702
UniRef90_Q2FCY8	2099.5189158560
