# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947171_merged
READS_UNMAPPED	18662.0000000000
UniClust90_12288-FJDNAOCO_04466	33462.5206500617
UniRef90_A0A096N355	17156.8786994655
UniRef90_UPI0007DC5921	15556.9985315703
UniRef90_O00370	9705.8001047825
UniRef90_A0A146TCJ5	6590.9569516024
UniRef90_A0A2I3MH11	6360.7724949091
UniRef90_UPI00105F6E17	6080.5990755398
UniRef90_A0A2K5RAP4	5915.1253194504
UniRef90_A0A096LNI6	5366.0078479996
UniRef90_Q9BRZ2-2	4591.4348021181
UniRef90_H7C366	4537.8191889404
UniRef90_Q9BQU3	4408.3990680046
UniRef90_Q9HB55-6	4206.6963924811
UniRef90_A0A3B3ITR1	4089.9467981424
UniRef90_H0YCJ5	4071.7325523544
UniRef90_A0A2R9AHJ2	3741.6614555287
UniClust90_93743-FACBLPDO_03456	3668.0366100873
UniRef90_Q8WV90	3623.6889155479
UniRef90_A0A1W2PRX2	3593.2518589772
UniRef90_A0A2K5VAH8	3482.2749087297
UniRef90_A0A2J8WQ32	3273.1773951569
UniRef90_F8VVD5	3142.6023509831
UniRef90_J3QRX1	3016.2919032300
UniRef90_F7GIN0	2799.4577972650
UniRef90_A0A0D9SFB9	2709.8158459673
UniRef90_Q2FCY8	2569.5422447515
UniRef90_E9PS48	2557.6007150113
UniRef90_A0A2I3GRQ1	2357.3209586835
UniRef90_J9GAC9	2340.4242261391
UniRef90_A0A3B3ITT6	2312.4376858214
UniRef90_A0A376YEQ8	2276.3030144641
UniRef90_A0A2X3J7E8	2051.4829636528
UniRef90_A0A172E6W9	2026.4648787302
UniRef90_A0A377BA65	1978.2157149509
UniRef90_A0A2K5DE02	1946.2170652728
UniRef90_A0A2K6EX86	1924.8639559038
UniRef90_A0A2K5XF67	1888.2421050962
UniRef90_UPI0010A27910	1875.9054373774
UniRef90_A0A2K6G613	1788.2636925461
UniRef90_A0A2K5ZYN3	1772.7414472270
UniRef90_Q9BTC5	1743.1375374456
UniClust90_102306-NAMPNMPJ_01149	1731.3614462476
UniRef90_D4BI59	1695.6134699579
UniClust90_1836-HEPAMEGP_01298	1678.4860611705
UniRef90_UNK4804-CCIACFLK_01681	1677.3337824099
UniClust90_8559-FPKPCEDH_01572	1597.7896159219
UniClust90_15133-ADDFFGFJ_01109	1552.9917762231
UniRef90_A0A376SPZ8	1552.9917762231
UniClust90_1507-LNPDEHAM_01681	1552.3507272378
UniRef90_A0A069RJB6	1545.8019994814
UniRef90_A0A2J8T5P0	1540.0635714757
