# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_1
GLUCOSE-1-PHOSPHAT-RXN|unclassified	12.3114980053
ABC-27-RXN	12.1753961960
ABC-27-RXN|unclassified	12.1753961960
TDCEACT-RXN	11.9714437781
TDCEACT-RXN|unclassified	11.9714437781
NQOR-RXN	11.6813150561
NQOR-RXN|unclassified	11.6813150561
RXN-12303	11.6813150561
RXN-12303|unclassified	11.6813150561
RXN-19671	11.6813150561
RXN-19671|unclassified	11.6813150561
RXN1YI0-16	11.6813150561
RXN1YI0-16|unclassified	11.6813150561
GLURS-RXN	11.5236692388
GLURS-RXN|unclassified	11.5236692388
RXN-13163	11.2836740130
RXN-13163|unclassified	11.2836740130
5.4.2.10-RXN	10.8502291815
5.4.2.10-RXN|unclassified	10.8502291815
1.14.21.6-RXN	10.7616441027
1.14.21.6-RXN|unclassified	10.7616441027
RXN-11887	10.7616441027
RXN-11887|unclassified	10.7616441027
RXN-13883	10.7616441027
RXN-13883|unclassified	10.7616441027
RXN-13892	10.7616441027
RXN-13892|unclassified	10.7616441027
RXN-16378	10.7616441027
RXN-16378|unclassified	10.7616441027
RXN-4209	10.7616441027
RXN-4209|unclassified	10.7616441027
RXN3O-218	10.7616441027
RXN3O-218|unclassified	10.7616441027
DNA-DIRECTED-DNA-POLYMERASE-RXN	10.5465617845
DNA-DIRECTED-DNA-POLYMERASE-RXN|unclassified	10.5465617845
RXN-20927	10.5465617845
RXN-20927|unclassified	10.5465617845
ABC-32-RXN	10.2784951673
ABC-32-RXN|unclassified	10.2784951673
ACETYL-COA-CARBOXYLTRANSFER-RXN	10.0640027345
ACETYL-COA-CARBOXYLTRANSFER-RXN|unclassified	10.0640027345
3-DEHYDROQUINATE-SYNTHASE-RXN	10.0321529531
3-DEHYDROQUINATE-SYNTHASE-RXN|unclassified	10.0321529531
ARGSUCCINSYN-RXN	9.9983672291
ARGSUCCINSYN-RXN|unclassified	9.9983672291
RXN-10	9.9983672291
RXN-10|unclassified	9.9983672291
ATPSYN-RXN	9.9620296487
ATPSYN-RXN|unclassified	9.9620296487
5.99.1.3-RXN	9.9040119665
5.99.1.3-RXN|unclassified	9.9040119665
RXN0-1321	9.2183306550
RXN0-1321|unclassified	9.2183306550
PRPPSYN-RXN	9.1862881628
PRPPSYN-RXN|unclassified	9.1862881628
GPH-RXN	9.0918116105
GPH-RXN|unclassified	9.0918116105
3.6.3.31-RXN	8.9328894950
3.6.3.31-RXN|unclassified	8.9328894950
ABC-24-RXN	8.9328894950
ABC-24-RXN|unclassified	8.9328894950
MALTACETYLTRAN-RXN	8.8843845486
MALTACETYLTRAN-RXN|unclassified	8.8843845486
TAGAALDOL-RXN	8.8635871066
TAGAALDOL-RXN|unclassified	8.8635871066
RXN-11637	8.8629256358
RXN-11637|unclassified	8.8629256358
2-NITROPROPANE-DIOXYGENASE-RXN	8.8627588628
2-NITROPROPANE-DIOXYGENASE-RXN|unclassified	8.8627588628
RXN-16322	8.8627588628
RXN-16322|unclassified	8.8627588628
2.6.1.37-RXN	8.8495575221
2.6.1.37-RXN|unclassified	8.8495575221
3.2.1.21-RXN	8.7534622087
3.2.1.21-RXN|unclassified	8.7534622087
RXN-10769	8.7534622087
RXN-10769|unclassified	8.7534622087
RXN-10773	8.7534622087
RXN-10773|unclassified	8.7534622087
RXN-13602	8.7534622087
RXN-13602|unclassified	8.7534622087
RXN-13603	8.7534622087
RXN-13603|unclassified	8.7534622087
RXN-14179	8.7534622087
RXN-14179|unclassified	8.7534622087
RXN-18846	8.7534622087
RXN-18846|unclassified	8.7534622087
RXN-21055	8.7534622087
RXN-21055|unclassified	8.7534622087
RXN-5341	8.7534622087
RXN-5341|unclassified	8.7534622087
RXN-8036	8.7534622087
RXN-8036|unclassified	8.7534622087
RXN-9674	8.7534622087
RXN-9674|unclassified	8.7534622087
RXN18C3-14	8.7534622087
RXN18C3-14|unclassified	8.7534622087
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	8.5511306406
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN|unclassified	8.5511306406
AMINOCYL-TRNA-HYDROLASE-RXN	8.5382970323
AMINOCYL-TRNA-HYDROLASE-RXN|unclassified	8.5382970323
RXN-12460	8.5382970323
RXN-12460|unclassified	8.5382970323
RXN-16637	8.5382970323
RXN-16637|unclassified	8.5382970323
RXN0-5055	8.5324309414
RXN0-5055|unclassified	8.5324309414
3.1.26.4-RXN	8.4900810244
3.1.26.4-RXN|unclassified	8.4900810244
RXN-11638	8.4866194179
RXN-11638|unclassified	8.4866194179
RXN-14570	8.4070180324
RXN-14570|unclassified	8.4070180324
LYSINE--TRNA-LIGASE-RXN	8.3523874807
LYSINE--TRNA-LIGASE-RXN|unclassified	8.3523874807
TYROSINE--TRNA-LIGASE-RXN	8.1663440988
TYROSINE--TRNA-LIGASE-RXN|unclassified	8.1663440988
DAHPSYN-RXN	8.0000000000
DAHPSYN-RXN|unclassified	8.0000000000
URACIL-PRIBOSYLTRANS-RXN	7.6165544752
URACIL-PRIBOSYLTRANS-RXN|unclassified	7.6165544752
ALANINE--TRNA-LIGASE-RXN	7.5626082983
ALANINE--TRNA-LIGASE-RXN|unclassified	7.5626082983
2.7.1.148-RXN	7.5082453688
2.7.1.148-RXN|unclassified	7.5082453688
RIBOKIN-RXN	7.5008413686
RIBOKIN-RXN|unclassified	7.5008413686
3.4.16.4-RXN	7.4770935883
3.4.16.4-RXN|unclassified	7.4770935883
RXN-11065	7.4770935883
RXN-11065|unclassified	7.4770935883
RXN-11302	7.4770935883
RXN-11302|unclassified	7.4770935883
RXN-11351	7.4770935883
RXN-11351|unclassified	7.4770935883
RXN-16649	7.4770935883
RXN-16649|unclassified	7.4770935883
RXN-16659	7.4770935883
RXN-16659|unclassified	7.4770935883
RXN-19249	7.4770935883
RXN-19249|unclassified	7.4770935883
RXN-19253	7.4770935883
RXN-19253|unclassified	7.4770935883
RXN-19256	7.4770935883
RXN-19256|unclassified	7.4770935883
RXN-14971	7.4606814576
RXN-14971|unclassified	7.4606814576
RXN-15378	7.4606814576
RXN-15378|unclassified	7.4606814576
RXN-21393	7.4606814576
RXN-21393|unclassified	7.4606814576
RXN-21394	7.4606814576
RXN-21394|unclassified	7.4606814576
RXN1YI0-14	7.4606814576
RXN1YI0-14|unclassified	7.4606814576
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	7.4606814576
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN|unclassified	7.4606814576
SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	7.4606814576
SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN|unclassified	7.4606814576
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	7.2344415608
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN|unclassified	7.2344415608
S-ADENMETSYN-RXN	7.2240297101
S-ADENMETSYN-RXN|unclassified	7.2240297101
ANTHRANSYN-RXN	7.1390530293
ANTHRANSYN-RXN|unclassified	7.1390530293
2.7.1.121-RXN	7.1296570174
2.7.1.121-RXN|unclassified	7.1296570174
5-NUCLEOTID-RXN	7.1220609557
5-NUCLEOTID-RXN|unclassified	7.1220609557
AMP-DEPHOSPHORYLATION-RXN	7.1220609557
AMP-DEPHOSPHORYLATION-RXN|unclassified	7.1220609557
RXN-14025	7.1220609557
RXN-14025|unclassified	7.1220609557
RXN-14227	7.1220609557
RXN-14227|unclassified	7.1220609557
RXN-5841	7.1220609557
RXN-5841|unclassified	7.1220609557
RXN-7609	7.1220609557
RXN-7609|unclassified	7.1220609557
