# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_merged
UNMAPPED	18662.0000000000
UNGROUPED	886.7518207962
DNA-DIRECTED-RNA-POLYMERASE-RXN	556.8752598022
3.1.26.5-RXN	243.9820827529
RXN0-6480	243.9820827529
RXN-15561	227.4049618878
2.7.13.3-RXN	125.2001556073
3.4.19.12-RXN	112.4444022505
RNA-DIRECTED-DNA-POLYMERASE-RXN	72.8809051921
RXN-13993	46.8858706620
PEPTIDYLPROLYL-ISOMERASE-RXN	35.7366718578
3.2.1.17-RXN	33.6738473482
DIACYLGLYKIN-RXN	32.2922547459
RXN-12588	31.6762382005
RXN-14385	31.6762382005
RXN-15881	31.6762382005
RXN-20037	31.6762382005
RXN-21560	31.6762382005
RXN-21566	31.6762382005
RXN-9787	31.6762382005
3.2.1.23-RXN	31.4469737645
KETOLACTOSE-RXN	31.4469737645
RXN-12398	31.4469737645
RXN-12399	31.4469737645
RXN-12400	31.4469737645
RXN-19765	31.4469737645
GLYRIBONUCSYN-RXN	30.4618625745
RXN-11056	29.8253267715
RXN-11057	29.8253267715
RXN-13064	29.8253267715
RXN-17627	29.8253267715
RXN-8630	29.8253267715
RXN-8872	29.8253267715
RXN66-146	29.8253267715
RXN66-161	29.8253267715
RXN66-163	29.8253267715
RXN66-169	29.8253267715
RXN66-181	29.8253267715
RXN66-589	29.8253267715
RXN66-591	29.8253267715
RXN66-595	29.8253267715
RXN66-596	29.8253267715
RXN66-597	29.8253267715
RXN66-598	29.8253267715
RXN66-599	29.8253267715
RXN66-600	29.8253267715
UNSPECIFIC-MONOOXYGENASE-RXN	29.8253267715
2.1.1.86-RXN	28.0789583187
3.1.3.46-RXN	27.3601720434
DNA-DIRECTED-DNA-POLYMERASE-RXN	26.9432174375
RXN-20927	26.9432174375
6-PHOSPHOFRUCTO-2-KINASE-RXN	26.5294330083
2.7.7.8-RXN	25.9503738097
RXN-20594	24.6130098285
NADH-DEHYDROG-A-RXN	24.3557232406
NADH-PQ-DEHYDROG-RXN	24.3557232406
RXN-21274	24.3557232406
RXN-21415	24.3557232406
AICARSYN-RXN	24.1439079907
AMPSYN-RXN	24.1439079907
3.4.25.1-RXN	23.9666847537
3.5.1.98-RXN	22.7381954605
RXN-17362	22.4880585845
3.2.1.21-RXN	21.9981331222
RXN-10769	21.9981331222
RXN-10773	21.9981331222
RXN-13602	21.9981331222
RXN-13603	21.9981331222
RXN-14179	21.9981331222
RXN-18846	21.9981331222
RXN-21055	21.9981331222
RXN-5341	21.9981331222
RXN-8036	21.9981331222
RXN-9674	21.9981331222
RXN18C3-14	21.9981331222
RXN-14519	21.3616429862
BETA-GLUCURONID-RXN	20.4973321926
RXN-15289	20.4973321926
RXN-15291	20.4973321926
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	20.1940094002
RXN-11754	20.1940094002
RXN-9227	20.1940094002
RXN-9235	20.1940094002
RXN-9242	20.1940094002
RXN3O-54	20.1940094002
CARBPSYN-RXN	20.0068825963
3.1.21.4-RXN	19.9602888627
RXN-14267	19.9166071719
RXN-16938	19.9166071719
RXN0-5225	19.9166071719
RXN-20640	19.5803617030
5.99.1.3-RXN	18.9038257843
DXS-RXN	17.5911860712
2.1.1.63-RXN	17.2285685945
RXN-17824	17.2285685945
