# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_merged
SPERMIDINESYN-RXN	16.9162629598
ADENOSYLHOMOCYSTEINASE-RXN	16.8469385250
GLUTATHIONE-REDUCT-NADPH-RXN	16.2328428044
IMIDPHOSDEHYD-RXN	16.0515865634
RXN-13163	15.6686115823
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	15.4633230324
GLUCOSE-1-PHOSPHAT-RXN	15.3979177584
NQOR-RXN	15.0035741924
RXN-12303	15.0035741924
RXN-19671	15.0035741924
RXN1YI0-16	15.0035741924
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	14.6054986276
2.1.1.72-RXN	14.4988035651
RXN-14249	14.0530176927
THREODEHYD-RXN	14.0530176927
RXN0-302	13.7122350175
RXN-11190	13.6986301370
ATPSYN-RXN	13.6904818158
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	13.6194887474
3.6.3.31-RXN	13.2326644390
ABC-24-RXN	13.2326644390
TDCEACT-RXN	13.0862709799
3.1.26.4-RXN	13.0468668050
ABC-27-RXN	12.9375913180
AMINOCYL-TRNA-HYDROLASE-RXN	12.8990202301
RXN-12460	12.8990202301
RXN-16637	12.8990202301
3-DEHYDROQUINATE-SYNTHASE-RXN	12.3986621065
SHIKIMATE-KINASE-RXN	12.3250319007
PROTEIN-ARGININE-DEIMINASE-RXN	12.2371306831
5.4.2.10-RXN	12.2345603264
S-ADENMETSYN-RXN	11.7921188587
MALTACETYLTRAN-RXN	11.7745579590
3.4.21.89-RXN	11.6513081333
RXN0-1321	11.6009636774
2.4.1.129-RXN	11.5776339091
RXN-11291	11.5776339091
RXN-11348	11.5776339091
RXN-11350	11.5776339091
RXN-14712	11.5776339091
RXN-15521	11.5776339091
RXN-16650	11.5776339091
THREONINE--TRNA-LIGASE-RXN	11.4349111905
ACETYL-COA-CARBOXYLTRANSFER-RXN	11.3883240308
TAGAALDOL-RXN	11.3330993017
ARGSUCCINSYN-RXN	11.2755064373
RXN-10	11.2755064373
NAD-KIN-RXN	11.2744012666
CYTOCHROME-C-OXIDASE-RXN	11.0687645881
RXN-21237	11.0687645881
RXN1YI0-22	11.0687645881
2.7.1.148-RXN	11.0631754593
3.4.24.53-RXN	10.9104813338
GLURS-RXN	10.8036250571
1.14.21.6-RXN	10.7616441027
RXN-11887	10.7616441027
RXN-13883	10.7616441027
RXN-13892	10.7616441027
RXN-16378	10.7616441027
RXN-4209	10.7616441027
RXN3O-218	10.7616441027
LYSINE--TRNA-LIGASE-RXN	10.7423161570
RXN-14337	10.6682323310
RXN-15087	10.6438702529
RXN-15162	10.6438702529
RXN-15164	10.6438702529
RXN-15165	10.6438702529
TRANS-RXN-165	10.6438702529
TRANS-RXN-167A	10.6438702529
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	10.6305916226
RIBOKIN-RXN	10.5726974672
3.4.16.4-RXN	10.4541189174
RXN-11065	10.4541189174
RXN-11302	10.4541189174
RXN-11351	10.4541189174
RXN-16649	10.4541189174
RXN-16659	10.4541189174
RXN-19249	10.4541189174
RXN-19253	10.4541189174
RXN-19256	10.4541189174
2.5.1.46-RXN	10.4288006190
BETA-LACTAMASE-RXN	10.4052331784
RXN-20894	10.4052331784
2.6.1.37-RXN	10.3244837758
3-DEHYDROQUINATE-DEHYDRATASE-RXN	10.2764556826
RXN-12375	10.2699030154
RXN-12376	10.2699030154
RXN-12377	10.2699030154
2.4.1.212-RXN	10.2518666623
RXN-11627	10.2518666623
F16ALDOLASE-RXN	10.2469617851
RXN-19916	10.2469617851
RXN-8631	10.2469617851
SEDOBISALDOL-RXN	10.2469617851
L-IDITOL-2-DEHYDROGENASE-RXN	10.2139924315
RXN-7644	10.2139924315
TYROSINE--TRNA-LIGASE-RXN	10.1373109490
ABC-32-RXN	10.0716967440
PROTEIN-TYROSINE-PHOSPHATASE-RXN	10.0715319775
PRPPSYN-RXN	9.9681489916
GPH-RXN	9.9571912468
RXN-11638	9.8716609692
RXN-14570	9.7904383149
RXN0-4522	9.6231729834
TRANS-RXN0-202	9.6231729834
ALANINE--TRNA-LIGASE-RXN	9.5199130821
3.2.1.52-RXN	9.4789753698
RXN-12625	9.4789753698
RXN-12626	9.4789753698
RXN-18082	9.4789753698
RXN-21432	9.4789753698
RXN0-5226	9.4789753698
RXN0-6481	9.3025268259
RXN0-6482	9.3025268259
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	9.3025268259
GMP-SYN-GLUT-RXN	9.2947536107
RXN0-5055	9.0322710656
PHOSPHORIBULOKINASE-RXN	8.8768596087
RXN-11637	8.8629256358
2-NITROPROPANE-DIOXYGENASE-RXN	8.8627588628
RXN-16322	8.8627588628
MALTODEXGLUCOSID-RXN	8.8470969188
RXN-14281	8.8470969188
RXN-14282	8.8470969188
RXN-14283	8.8470969188
RXN-15910	8.8470969188
RXN0-5183	8.8470969188
GLUTAMATESYN-RXN	8.5226346931
THIOREDOXIN-REDUCT-NADPH-RXN	8.4173960504
RIBULPEPIM-RXN	8.3721652114
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	8.3140332113
RXN-15043	8.3140332113
RXN-16025	8.3140332113
RXN-16032	8.3140332113
RXN-16067	8.3140332113
RXN-16076	8.3140332113
RXN-16077	8.3140332113
RXN-16118	8.3140332113
RXN-1623	8.3140332113
RXN-17008	8.3140332113
RXN-17009	8.3140332113
RXN-17010	8.3140332113
RXN-17011	8.3140332113
RXN-17012	8.3140332113
RXN-17013	8.3140332113
RXN-17014	8.3140332113
RXN-17015	8.3140332113
RXN-17019	8.3140332113
RXN-17020	8.3140332113
RXN-17021	8.3140332113
RXN-17022	8.3140332113
RXN-17023	8.3140332113
RXN-17024	8.3140332113
RXN-17729	8.3140332113
RXN-20512	8.3140332113
RXN-20528	8.3140332113
RXN-20565	8.3140332113
RXN0-5514	8.3140332113
RXN0-6705	8.3140332113
DTDPDEHYDRHAMEPIM-RXN	8.2544400963
PEPCARBOXYKIN-RXN	8.2094549188
RHAMNULPALDOL-RXN	8.1558911920
3.2.1.3-RXN	8.0994628933
RXN-9024	8.0994628933
RXN-12458	8.0364832344
RXN-14517	8.0364832344
GLYCEROL-KIN-RXN	7.8845038896
3.6.3.52-RXN	7.8405256835
3-OXOACYL-ACP-REDUCT-RXN	7.7306717190
RXN-10655	7.7306717190
RXN-10659	7.7306717190
RXN-11476	7.7306717190
RXN-11480	7.7306717190
RXN-13008	7.7306717190
RXN-16616	7.7306717190
RXN-16622	7.7306717190
RXN-16626	7.7306717190
RXN-16630	7.7306717190
RXN-21614	7.7306717190
RXN-21618	7.7306717190
RXN-21622	7.7306717190
RXN-21626	7.7306717190
RXN-21631	7.7306717190
RXN-21635	7.7306717190
RXN-21645	7.7306717190
RXN-21650	7.7306717190
RXN-21655	7.7306717190
RXN-21660	7.7306717190
RXN-21665	7.7306717190
RXN-21670	7.7306717190
RXN-21676	7.7306717190
RXN-21681	7.7306717190
RXN-21686	7.7306717190
RXN-21691	7.7306717190
RXN-21696	7.7306717190
RXN-21702	7.7306717190
RXN-9514	7.7306717190
RXN-9518	7.7306717190
RXN-9524	7.7306717190
RXN-9528	7.7306717190
RXN-9532	7.7306717190
RXN-9536	7.7306717190
RXN-9540	7.7306717190
RXN-9552	7.7306717190
RXN-9556	7.7306717190
RXN-9633	7.7306717190
RXN0-2142	7.7306717190
RXN1G-157	7.7306717190
RXN1G-349	7.7306717190
RXN1G-469	7.7306717190
RXN-15559	7.7006647086
RXN-15560	7.7006647086
5-NUCLEOTID-RXN	7.6993695366
AMP-DEPHOSPHORYLATION-RXN	7.6993695366
RXN-14025	7.6993695366
RXN-14227	7.6993695366
RXN-5841	7.6993695366
RXN-7609	7.6993695366
XMPXAN-RXN	7.6993695366
RXN-2043	7.6309184953
ACETALD-DEHYDROG-RXN	7.6249895896
RXN-13671	7.6249895896
ASPAMINOTRANS-RXN	7.6214636934
RXN-11737	7.6214636934
RXN-13697	7.6214636934
URACIL-PRIBOSYLTRANS-RXN	7.6165544752
UREA-CARBOXYLASE-RXN	7.5906704191
ASPCARBTRANS-RXN	7.5895356491
RXN-17884	7.5624324618
RXN-2962	7.5624324618
3.4.21.88-RXN	7.5363044846
ARGSUCCINLYA-RXN	7.5344037334
RXN-22	7.5344037334
GLUCOSAMINE-6-P-DEAMIN-RXN	7.4747710690
5.99.1.2-RXN	7.4676721580
RXN-14971	7.4606814576
RXN-15378	7.4606814576
RXN-21393	7.4606814576
RXN-21394	7.4606814576
RXN1YI0-14	7.4606814576
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	7.4606814576
SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	7.4606814576
CDPDIGLYSYN-RXN	7.3785329571
RXN-20524	7.3785329571
RXN0-5515	7.3785329571
3.2.1.55-RXN	7.3139979751
RXN-19757	7.3139979751
RXN-19758	7.3139979751
RXN-19769	7.3139979751
RXN0-5359	7.2757338713
ASPARTATE--TRNA-LIGASE-RXN	7.2390694786
CYSTEINE--TRNA-LIGASE-RXN	7.2141546761
GSPAMID-RXN	7.1942446043
2.7.1.121-RXN	7.1296570174
INORGPYROPHOSPHAT-RXN	7.1089286911
PANTOATE-BETA-ALANINE-LIG-RXN	7.0996066907
1.1.1.8-RXN	7.0555779348
3.1.11.6-RXN	7.0327762720
3.4.13.19-RXN	7.0193575956
RXN-15682	7.0193575956
RXN66-337	7.0193575956
FMNREDUCT-RXN	6.9995815572
GLYC3PDEHYDROGBIOSYN-RXN	6.9678423299
RXN-11602	6.9552140301
RXN-15041	6.9084816654
RXN-19726	6.9084816654
RXN-19727	6.9084816654
RXN-19728	6.9084816654
RXN-19729	6.9084816654
RXN-12402	6.8694501949
RXN0-5001	6.8694501949
LEUCINE--TRNA-LIGASE-RXN	6.8694384749
2PGADEHYDRAT-RXN	6.8427921598
RXN-9985	6.8117078920
ARGININE--TRNA-LIGASE-RXN	6.8098618548
TRANS-RXN-332	6.7926530277
RXN-11586	6.7624936676
SUCCORNTRANSAM-RXN	6.7567567568
XANPRIBOSYLTRAN-RXN	6.7443846571
SHIKIMATE-5-DEHYDROGENASE-RXN	6.7252592050
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	6.7249706608
3.1.26.11-RXN	6.6886291291
ARYLSULFAT-RXN	6.6710942051
RXN-20165	6.6710942051
RHAMNULOKIN-RXN	6.6441298849
RXN-1961	6.6316888878
GAPOXNPHOSPHN-RXN	6.6200734840
RXN1YI0-11	6.6200734840
ANTHRANSYN-RXN	6.5726982487
GSHTRAN-RXN	6.5292613101
GST-RXN	6.5292613101
RXN-11663	6.5292613101
RXN-13673	6.5292613101
RXN-15680	6.5292613101
RXN-18405	6.5292613101
RXN-18407	6.5292613101
RXN-19573	6.5292613101
RXN-19600	6.5292613101
RXN-19601	6.5292613101
RXN-19610	6.5292613101
RXN-19611	6.5292613101
RXN-19626	6.5292613101
RXNQT-4363	6.5292613101
ALPHAGALACTOSID-RXN	6.5060607601
RXN-11501	6.5060607601
RXN-12088	6.5060607601
RXN-17830	6.5060607601
GLUTRACE-RXN	6.4896542139
CHORISMATEMUT-RXN	6.4685286169
GLUTAMINESYN-RXN	6.4471811682
PHENYLALANINE--TRNA-LIGASE-RXN	6.3930205326
3.4.11.9-RXN	6.3642807236
3.1.3.16-RXN	6.3556085255
GLUCONATE-5-DEHYDROGENASE-RXN	6.3552955914
PYRIMSYN1-RXN	6.3456782567
RXN-15123	6.2836270520
RXN-15127	6.2836270520
6.3.2.10-RXN	6.2712315471
UDP-NACMURALGLDAPAALIG-RXN	6.2712315471
GDPPYPHOSKIN-RXN	6.2650173644
GTPPYPHOSKIN-RXN	6.2650173644
3.4.21.92-RXN	6.2505367646
SULFITE-REDUCT-RXN	6.2417925373
METHYLMALONYL-COA-MUT-RXN	6.2375015412
GLYCOGEN-BRANCH-RXN	6.2098493131
RXN-14371	6.2098493131
RXN-14372	6.2098493131
RXN-18777	6.2098493131
RXN-7669	6.2098493131
RXN-7710	6.2098493131
3.4.14.5-RXN	6.1455478650
RXN-9590	6.1438073596
ALCOHOL-SULFOTRANSFERASE-RXN	6.1195408031
BILE-SALT-SULFOTRANSFERASE-RXN	6.1195408031
RXN-8729	6.1195408031
GALACTOSYLCERAMIDASE-RXN	6.0975609756
1TRANSKETO-RXN	6.0721482155
2TRANSKETO-RXN	6.0721482155
ASPDECARBOX-RXN	6.0680967544
2-ISOPROPYLMALATESYN-RXN	6.0532341718
3.1.21.3-RXN	6.0391746169
GAMMA-GLUTAMYLTRANSFERASE-RXN	6.0376946004
RXN-18092	6.0376946004
RXN-6601	6.0376946004
RXN-9157	6.0376946004
RXN66-336	6.0376946004
GUANPRIBOSYLTRAN-RXN	6.0332719054
HYPOXANPRIBOSYLTRAN-RXN	6.0332719054
UDPNACETYLMURAMATEDEHYDROG-RXN	6.0116321160
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	5.9260429836
RXN0-882	5.9171597633
3.5.1.27-RXN	5.9055555301
3.5.1.88-RXN	5.9055555301
DIOHBUTANONEPSYN-RXN	5.8779204710
MANNONDEHYDRAT-RXN	5.8535330900
DIHYDROOROTATE-DEHYDROGENASE-RXN	5.8479532164
RXN-9929	5.8479532164
RXN0-6491	5.8479532164
RXN0-6554	5.8479532164
RXN-10462	5.8287959721
RXN-13805	5.8287959721
RXN-1381	5.8287959721
RXN-15045	5.8287959721
RXN-16024	5.8287959721
RXN-16117	5.8287959721
RXN-17016	5.8287959721
RXN-17017	5.8287959721
RXN-17018	5.8287959721
RXN-20513	5.8287959721
RXN-20564	5.8287959721
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	5.7641196013
RXN-10381	5.7641196013
RXN-20764	5.7641196013
IGPSYN-RXN	5.7243663594
GLUC1PADENYLTRANS-RXN	5.7132739922
THIAZOLSYN3-RXN	5.7010059490
RXN-14694	5.6881218072
RXN-13124	5.6528551269
RXN-13125	5.6528551269
RXN-13145	5.6528551269
RXN-13147	5.6528551269
RXN-13148	5.6528551269
RXN-13149	5.6528551269
RXN-13164	5.6528551269
ABC-16-RXN	5.6326932694
TRANS-RXN0-503	5.6326932694
TRANS-RXN0-504	5.6326932694
GLUTRNAREDUCT-RXN	5.6242564228
3.1.13.1-RXN	5.6131191904
RXN0-4222	5.6131191904
RXN0-6479	5.6131191904
RXN0-6524	5.6131191904
RXN0-6525	5.6131191904
ISOLEUCINE--TRNA-LIGASE-RXN	5.5949025157
VALINE--TRNA-LIGASE-RXN	5.5840495141
ACID-PHOSPHATASE-RXN	5.5797101449
MYO-INOSITOL-2-DEHYDROGENASE-RXN	5.5425560162
ACETOLACTSYN-RXN	5.5347842955
ACETOOHBUTSYN-RXN	5.5347842955
GALACTOKIN-RXN	5.5180917297
FUCISOM-RXN	5.4930264786
ADENPRIBOSYLTRAN-RXN	5.4722122410
RXN-14270	5.4722122410
ACSERLY-RXN	5.4617924618
RXN-12726	5.4617924618
MONOPHENOL-MONOOXYGENASE-RXN	5.4614410648
RXN-18851	5.4614410648
ALARACECAT-RXN	5.4501978413
PHOSMANMUT-RXN	5.4427353708
CTPSYN-RXN	5.4326376515
4.3.1.21-RXN	5.4054054054
UDPGLCNACEPIM-RXN	5.4005868776
ALCOHOL-DEHYDROG-GENERIC-RXN	5.4004707053
ALCOHOL-DEHYDROG-RXN	5.4004707053
RXN-10781	5.4004707053
RXN-10911	5.4004707053
RXN-10915	5.4004707053
RXN-12448	5.4004707053
RXN-13198	5.4004707053
RXN-5424	5.4004707053
RXN-7657	5.4004707053
RXN-7693	5.4004707053
RXN-7694	5.4004707053
RXN-7700	5.4004707053
RXN-7706	5.4004707053
RXN3O-4113	5.4004707053
RXN66-478	5.4004707053
PYRUVFORMLY-RXN	5.4003959676
RXN-8992	5.3881568700
RXN-13202	5.3650660001
DEOXYRIBOSE-P-ALD-RXN	5.3553361882
UDPGLUCEPIM-RXN	5.3528748602
RXN0-2584	5.3087509398
ARACHIDONATE-5-LIPOXYGENASE-RXN	5.2083333333
RXN-20571	5.2083333333
RXN-20578	5.2083333333
RXN-20579	5.2083333333
RXN-20580	5.2083333333
RXN-20581	5.2083333333
RXN-20582	5.2083333333
RXN-8647	5.2083333333
RXN66-495	5.2083333333
RXN66-499	5.2083333333
RXN66-500	5.2083333333
RXN66-503	5.2083333333
RXN66-504	5.2083333333
RXN66-511	5.2083333333
RXN66-512	5.2083333333
RXN66-513	5.2083333333
RXN66-514	5.2083333333
3.2.1.99-RXN	5.1551638089
GLYOHMETRANS-RXN	5.1450276222
--LIMONENE-6-MONOOXYGENASE-RXN	5.0965138135
HISTPRATPHYD-RXN	5.0577992773
IMP-DEHYDROG-RXN	5.0469912420
ADENYLYLSULFKIN-RXN	5.0287514446
KETOGLUTREDUCT-RXN	5.0251256281
PGLYCDEHYDROG-RXN	5.0251256281
RXN-16701	5.0251256281
RXN0-2161	4.9961568498
SERINE--TRNA-LIGASE-RXN	4.9961568498
ABC-63-RXN	4.9934939829
HISTAMINOTRANS-RXN	4.9910922558
PSERTRANSAM-RXN	4.9897310447
PSERTRANSAMPYR-RXN	4.9897310447
PHOSGLYPHOS-RXN	4.9740949285
RXN-11475	4.9438253562
LUMAZINESYN-RXN	4.9370032916
RXN-15513	4.9347158218
AICARTRANSFORM-RXN	4.9332649800
TRIOSEPISOMERIZATION-RXN	4.9276828475
1.12.1.3-RXN	4.9224164808
HYDROGEN-DEHYDROGENASE-RXN	4.9224164808
PRPPAMIDOTRANS-RXN	4.9014541427
1.6.4.4-RXN	4.8675439689
FORMATETHFLIG-RXN	4.8599075012
RXN0-4022	4.8573407080
3.4.21.87-RXN	4.8543689320
GTP-CYCLOHYDRO-II-RXN	4.8427734495
RXN-14992	4.8361616401
GLUTDECARBOX-RXN	4.8211125102
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	4.8066239579
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	4.7586977757
1.1.1.274-RXN	4.7378085585
RXN0-5063	4.7321683336
2.4.1.109-RXN	4.7221462293
ADENYLOSUCCINATE-SYNTHASE-RXN	4.7160156663
F16BDEPHOS-RXN	4.7104675597
RXN-20789	4.7046091518
UDPNACETYLGLUCOSAMACYLTRANS-RXN	4.7046091518
PHOSPHOLIPASE-A2-RXN	4.6718314789
RXN-15065	4.6718314789
RXN-15067	4.6718314789
RXN-15068	4.6718314789
RXN-16138	4.6718314789
RXN-16139	4.6718314789
RXN-17735	4.6718314789
RXN-17736	4.6718314789
RXN-20543	4.6718314789
RXN-20546	4.6718314789
RXN-20548	4.6718314789
RXN-20552	4.6718314789
RXN-20554	4.6718314789
RXN-20555	4.6718314789
RXN-20558	4.6718314789
RXN-20561	4.6718314789
RXN-20562	4.6718314789
RXN0-6725	4.6718314789
RNA-DIRECTED-RNA-POLYMERASE-RXN	4.6711963924
TRANS-RXN-334	4.6588898738
RXN-9297	4.6333074595
ACETOLACTREDUCTOISOM-RXN	4.5867029672
ACETOOHBUTREDUCTOISOM-RXN	4.5867029672
PHOSNACMURPENTATRANS-RXN	4.5861109857
RXN-11347	4.5861109857
RXN-8975	4.5861109857
GLUTAMIDOTRANS-RXN	4.5793235193
PYFLAVOXRE-RXN	4.5318465825
PYRUFLAVREDUCT-RXN	4.5318465825
RXN-16702	4.5279968189
4OH2OXOGLUTARALDOL-RXN	4.5251920317
DARABISOM-RXN	4.5249722675
RXN-14969	4.5249722675
RXN-17121	4.5029906293
RXN0-4301	4.5018268602
PROPANEDIOL-DEHYDRATASE-RXN	4.5012281171
RXN-21079	4.5012281171
PROLINE--TRNA-LIGASE-RXN	4.4975059603
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN	4.4950994747
RXN0-703	4.4950994747
PEPDEPHOS-RXN	4.4736257215
RXN-14117	4.4736257215
RXN-14192	4.4736257215
RXN-14207	4.4736257215
NUCLEOTIDE-PYROPHOSPHATASE-RXN	4.4697729246
RXN-14139	4.4697729246
RXN-14140	4.4697729246
RXN0-384	4.4697729246
RXN0-385	4.4697729246
RXN0-5107	4.4697729246
RXN-9092	4.4444444444
RXN0-5507	4.4444444444
3.2.1.8-RXN	4.4260874235
RXN-10837	4.4101274570
RXN-9382	4.4101274570
CHD-RXN	4.4052863436
RXN0-7230	4.4052863436
RXN-5471	4.3883294561
RXN0-4141	4.3859649123
RXN0-6274	4.3624166900
2.7.3.9-RXN	4.3500780593
TRYPSYN-RXN	4.3478859875
DLACTDEHYDROGNAD-RXN	4.3290043290
RXN-11598	4.3211865841
2.1.1.74-RXN	4.3043576243
THRESYN-RXN	4.3013140215
DIHYDROOROT-RXN	4.3000980627
PTAALT-RXN	4.2764172604
GLUTCYSLIG-RXN	4.2662203583
RXN-20400	4.2662203583
RXN-20406	4.2662203583
GLYCDEH-RXN	4.2506133751
DIAMINOPIMEPIM-RXN	4.2338898921
HISTIDINE--TRNA-LIGASE-RXN	4.2285370032
FATTY-ACYL-COA-SYNTHASE-RXN	4.2206886023
RXN-10059	4.2206886023
RXN-10060	4.2206886023
RXN-10061	4.2206886023
RXN-10062	4.2206886023
RXN-20769	4.2206886023
RXN-20770	4.2206886023
RXN-21719	4.2206886023
RXN-21720	4.2206886023
RXN-21721	4.2206886023
RXN-21722	4.2206886023
RXN-21723	4.2206886023
RXN-21724	4.2206886023
RXN-21725	4.2206886023
RXN-21726	4.2206886023
RXN1G-499	4.2206886023
RXN1G-508	4.2206886023
RXN1G-517	4.2206886023
RXN1G-526	4.2206886023
RXN1G-536	4.2206886023
RXN3O-1803	4.2206886023
RXN3O-5293	4.2206886023
RXN3O-5304	4.2206886023
SUPEROX-DISMUT-RXN	4.2194092827
3.4.11.18-RXN	4.2062308395
RXN-17873	4.2062308395
RXN-17874	4.2062308395
RXN-17875	4.2062308395
RXN-17876	4.2062308395
RXN-17877	4.2062308395
RXN-17878	4.2062308395
HYDROXYLAMINE-REDUCTASE-RXN	4.1982711042
TRANS-RXN-2	4.1875602741
GALACTURIDYLYLTRANS-RXN	4.1322314050
DARABALDOL-RXN	4.1214570899
FUCPALDOL-RXN	4.1214570899
PNKIN-RXN	4.1119798571
PYRAMKIN-RXN	4.1119798571
PYRIDOXKIN-RXN	4.1119798571
PHOSPHOGLUCMUT-RXN	4.1072760761
SORB6PDEHYDROG-RXN	4.0816326531
TRANS-RXN-236	4.0359194733
ABC-34-RXN	4.0333870882
TRANS-RXN0-573	4.0333870882
NADH-PEROXIDASE-RXN	4.0212224766
MALTOSE-6-PHOSPHATE-GLUCOSIDASE-RXN	4.0160642570
RXN-18601	4.0064102564
MCPMETEST-RXN	3.9978281348
ADENYL-KIN-RXN	3.9889640365
LINOLENOYL-RXN	3.9859389556
R223-RXN	3.9859389556
RXN-12184	3.9859389556
RXN-12978	3.9859389556
RXN-13290	3.9859389556
RXN-13614	3.9859389556
RXN-16380	3.9859389556
RXN-16389	3.9859389556
RXN-16393	3.9859389556
RXN-16401	3.9859389556
RXN-16402	3.9859389556
RXN-16418	3.9859389556
RXN-19751	3.9859389556
RXN-19960	3.9859389556
RXN-20651	3.9859389556
RXN-21443	3.9859389556
RXN-21445	3.9859389556
RXN-21446	3.9859389556
RXN-21447	3.9859389556
RXN-21448	3.9859389556
RXN-21449	3.9859389556
RXN-21450	3.9859389556
RXN-7904	3.9859389556
RXN-9623	3.9859389556
RXN-9644	3.9859389556
RXN-9673	3.9859389556
RXN0-7238	3.9859389556
RXN0-7239	3.9859389556
RXN0-7248	3.9859389556
RXN66-469	3.9859389556
RXN66-477	3.9859389556
RXN66-480	3.9859389556
RXN66-483	3.9859389556
RXN66-484	3.9859389556
TRANS-RXN0-623	3.9859389556
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	3.9741984442
ATPASE-RXN	3.9677667602
NUCLEOSIDE-TRIPHOSPHATASE-RXN	3.9677667602
RXN-12195	3.9677667602
RXN-12196	3.9677667602
CARBAMATE-KINASE-RXN	3.9670585474
FRUCTOKINASE-RXN	3.9359848873
RXN-19915	3.9359848873
IMPCYCLOHYDROLASE-RXN	3.9233840459
RXN-982	3.9215686275
3.4.24.55-RXN	3.9103326708
ARYLESTERASE-RXN	3.9070649597
RXN-20738	3.9070649597
RXN-20739	3.9070649597
RXN-20743	3.9070649597
RXN-11837	3.9031732663
1.5.5.1-RXN-YEAST	3.9024911737
RXN66-550	3.9024911737
5-FORMYL-THF-CYCLO-LIGASE-RXN	3.8872471874
RXN-7737	3.8861807446
1.1.1.271-RXN	3.8431881065
