	Abundance
4-Cresol	142.8978743916
5'-Deoxyadenosine	695.0368983774
L-Methionine	860.6968017195001
Dihydroflavodoxin	141.206472364
Protein glycine	141.206472364
Flavodoxin semiquinone	141.206472364
Protein glycin-2-yl radical	141.206472364
ADP-ribose	140.5383614633
AMP	1068.4627290740996
D-Ribose 5-phosphate	495.9672160162999
L-Arogenate	138.3977198374
L-Phenylalanine	138.3977198374
Prephenate	413.39347324659997
Phenylpyruvate	337.4772021596
Chorismate	279.1966849973
Sedoheptulose 7-phosphate	493.00641771740004
D-Glyceraldehyde 3-phosphate	853.2130732330002
D-Erythrose 4-phosphate	634.6539571089002
dTDP-4-amino-4,6-dideoxy-D-galactose	134.9698601226
dTDP-4-oxo-6-deoxy-D-glucose	177.43366737120002
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]	180.99971852180002
But-2-enoyl-[acyl-carrier protein]	216.5391412433
(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]	180.99971852180002
trans-Dec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	180.99971852180002
trans-Oct-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	180.99971852180002
trans-Hexadec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	200.49810378350003
trans-Tetradec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	180.99971852180002
trans-Hex-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	180.99971852180002
trans-Dodec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	180.99971852180002
(2E)-Octadecenoyl-[acp]	216.5391412433
3-Hydroxyglutaryl-[acp] methyl ester	180.99971852180002
Enoylglutaryl-[acp] methyl ester	133.9629288581
3-Hydroxypimeloyl-[acp] methyl ester	180.99971852180002
Enoylpimeloyl-[acp] methyl ester	133.9629288581
(3R)-3-Hydroxyacyl-[acyl-carrier protein]	180.99971852180002
trans-2,3-Dehydroacyl-[acyl-carrier protein]	216.5391412433
Citrate	265.0866409382
Isocitrate	265.0866409382
cis-Aconitate	265.0866409382
alpha-D-Ribose 1-methylphosphonate 5-triphosphate	132.4655834933
alpha-D-Ribose 1-methylphosphonate 5-phosphate	173.9056465104
Phosphatidylglycerophosphate	131.4387553254
Phosphatidylglycerol	185.3325222582
Menaquinone	126.2175267028
Menaquinol	126.2175267028
Vitamin K	126.2175267028
Reduced Vitamin K	126.2175267028
Phylloquinone	126.2175267028
Phylloquinol	126.2175267028
Butanoic acid	244.4145416754
Acetoacetate	244.4145416754
3-Hydroxy-5-oxohexanoate	122.2072708377
3-Hydroxy-5-oxohexanoyl-CoA	122.2072708377
Phosphoenolpyruvate	507.33919739490005
Glycerone	383.3578693774
3-Phospho-D-glycerate	149.7196643331
3-Phosphonooxypyruvate	119.9881964889
Penicillin	153.8285788949
Penicilloic acid	153.8285788949
[tRNA(Ile2)]-cytidine34	118.9862586222
L-Lysine	168.870182145
[tRNA(Ile2)]-lysidine34	118.9862586222
Phosphoribosyl-AMP	117.870883808
5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	197.1333002515
alpha-D-Galactose	190.4539082352
L-Aspartate	502.4867769220001
Oxaloacetate	269.5677006652
Iminoaspartate	117.3044961795
UDP-N-acetylmuramoyl-L-alanine	116.9447567825
D-Glutamate	162.22353494909999
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	116.9447567825
Ubiquinone	231.0556460651
Ubiquinol	231.0556460651
Phenylacetyl-CoA	115.0865322219
2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA	115.0865322219
Indole	228.7322314896
L-Tryptophan	228.7322314896
Indoleglycerol phosphate	228.7322314896
2-Phosphoglycolate	114.0092791902
D-Xylulose 5-phosphate	331.24176087269996
Aminofructose 6-phosphate	110.4139202909
Iminoerythrose 4-phosphate	110.4139202909
2-Phenylacetamide	107.8284815834
Phenylacetic acid	107.8284815834
(Indol-3-yl)acetamide	107.8284815834
Indole-3-acetate	107.8284815834
4-Guanidinobutanamide	107.8284815834
4-Guanidinobutanoate	107.8284815834
Monocarboxylic acid amide	107.8284815834
Carboxylate	107.8284815834
Acrylic acid	176.83693102720002
Acrylamide	107.8284815834
Benzamide	107.8284815834
Benzoate	107.8284815834
D-Fructose 1,6-bisphosphate	245.8017796431
beta-D-Fructose 1,6-bisphosphate	245.8017796431
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	103.9544067723
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine	103.9544067723
Cephalosporin C	103.0746797756
Deacetylcephalosporin C	103.0746797756
2-Dehydro-3-deoxy-L-rhamnonate	100.799928222
alpha,alpha'-Trehalose 6-phosphate	156.5660940454
alpha,alpha-Trehalose	99.2934075556
Pyridoxal	97.1807818629
Pyridoxal phosphate	97.1807818629
Pyridoxine	97.1807818629
Pyridoxine phosphate	152.96700168040002
Pyridoxamine	97.1807818629
Pyridoxamine phosphate	97.1807818629
Glycerol	247.3537177341
Propane-1,2-diol	121.2310603472
Hydroxyacetone	96.4115408456
1-Keto-D-chiro-inositol	96.2845164176
2,4,6/3,5-Pentahydroxycyclohexanone	96.2845164176
L-Glutamyl-tRNA(Glu)	96.0687937009
(S)-4-Amino-5-oxopentanoate	96.0687937009
tRNA(Glu)	96.0687937009
D-Glucose	774.0308799379001
Arbutin 6-phosphate	152.746650746
Hydroquinone	393.9684264568999
Salicin 6-phosphate	152.746650746
Salicyl alcohol	152.746650746
2-Dehydro-L-idonate	94.7859247224
2,5-Didehydro-D-gluconate	94.7859247224
5,10-Methylenetetrahydrofolate	269.773229258
5,10-Methenyltetrahydrofolate	210.43868362179998
10-Formyltetrahydrofolate	155.2273471367
5-Dehydro-4-deoxy-D-glucuronate	90.8954576629
(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	90.8954576629
Choline	90.7826841422
Betaine aldehyde	90.7826841422
L-Threonylcarbamoyladenylate	135.3398054631
tRNA adenine	172.3234837622
N6-L-Threonylcarbamoyladenine in tRNA	90.6699106215
N-Acetyl-D-mannosamine	266.7437714087
N-Acetyl-D-mannosamine 6-phosphate	90.2221579765
L-Aspartate 4-semialdehyde	164.0820754538
(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	89.8892348843
N-Acetylneuraminate	88.2608067161
Aceneuramate	88.2608067161
Acylglycerone phosphate	88.2095974237
Long-chain alcohol	88.2095974237
O-Alkylglycerone phosphate	88.2095974237
Long-chain acid anion	88.2095974237
D-Mannose	152.1680752961
D-Mannose 6-phosphate	248.4178015942
2-Acetolactate	252.3291395374
Thiamin diphosphate	426.69133539300003
2-(alpha-Hydroxyethyl)thiamine diphosphate	346.6475807808
(S)-2-Acetolactate	331.3344886844
(S)-2-Aceto-2-hydroxybutanoate	252.3291395374
CTP	164.6791930734
CMP	343.5167644042999
UTP	98.0004084375
UMP	369.2324075382
dTMP	221.4799726408
Propanoyl-CoA	130.8753275493
Propanoyl phosphate	121.7651382714
Glutarate	83.5199405268
(S)-2-Hydroxyglutarate	83.5199405268
Succinate	267.07501615769996
Acyl-[acyl-carrier protein]	152.4326267577
Butyryl-[acp]	152.4326267577
Dodecanoyl-[acyl-carrier protein]	199.4694164214
Hexanoyl-[acp]	152.4326267577
Octanoyl-[acp]	152.4326267577
Decanoyl-[acp]	152.4326267577
Tetradecanoyl-[acp]	152.4326267577
Hexadecanoyl-[acp]	152.4326267577
Octadecanoyl-[acyl-carrier protein]	82.5762123852
Coproporphyrinogen III	154.2900276644
Protoporphyrinogen IX	82.2190730678
5-Phospho-alpha-D-ribose 1-diphosphate	145.3706400646
tRNA containing 6-isopentenyladenosine	81.6535731407
FMN	162.9430277836
FAD	159.55017609750007
Riboflavin	81.4715138918
5-Aminopentanoate	79.4787666051
D-Proline	79.4787666051
UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	79.2624164435
di-trans,poly-cis-Undecaprenyl phosphate	206.04105392780002
MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	79.2624164435
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	79.2624164435
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	79.2624164435
N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	79.2624164435
2,3-Dihydroxy-3-methylbutanoate	79.005349147
(R)-2,3-Dihydroxy-3-methylbutanoate	158.010698294
3-Hydroxy-3-methyl-2-oxobutanoic acid	158.010698294
(R)-2,3-Dihydroxy-3-methylpentanoate	79.005349147
(R)-3-Hydroxy-3-methyl-2-oxopentanoate	158.010698294
L-Citrulline	143.3261670455
N-(L-Arginino)succinate	89.2649336865
sn-Glycerol 3-phosphate	201.7042041958
Hydrogen selenide	74.8003561524
L-Selenocysteine	74.8003561524
O-Phospho-L-serine	74.8003561524
Dethiobiotin	74.4194989419
Sulfur donor	130.63484352720002
e-	148.8389978838
Biotin	74.4194989419
UDP-N-acetylmuramate	148.6875848646
UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	148.6875848646
4-Phospho-L-aspartate	136.3885409618
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	178.24975997579998
3-Dehydroquinate	74.1175942809
beta-D-Glucose	392.6556576382999
RNA terminal-2',3'-cyclic-phosphate	72.7887927898
RNA 2'-terminal-phosphate	72.7887927898
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	72.499948374
Uroporphyrinogen III	72.0709545966
Uroporphyrinogen I	72.0709545966
Coproporphyrinogen I	72.0709545966
Phenyllactate	141.2172907458
(R)-3-(4-Hydroxyphenyl)lactate	141.2172907458
3-(4-Hydroxyphenyl)pyruvate	209.5163075317
Malonyl-[acyl-carrier protein]	768.4205580975
3-Oxoacyl-[acyl-carrier protein]	116.89320403619999
Acetyl-[acyl-carrier protein]	69.8564143725
Acetoacetyl-[acp]	116.89320403619999
3-Oxotetradecanoyl-[acp]	116.89320403619999
3-Oxohexanoyl-[acp]	116.89320403619999
3-Oxooctanoyl-[acp]	116.89320403619999
3-Oxodecanoyl-[acp]	116.89320403619999
3-Oxododecanoyl-[acp]	116.89320403619999
3-Oxohexadecanoyl-[acp]	116.89320403619999
3-Oxostearoyl-[acp]	116.89320403619999
Malonyl-[acp] methyl ester	69.8564143725
3-Ketoglutaryl-[acp] methyl ester	116.89320403619999
Glutaryl-[acp] methyl ester	69.8564143725
3-Ketopimeloyl-[acp] methyl ester	116.89320403619999
D-Tagatose 6-phosphate	69.4016599819
D-Tagatose 1,6-bisphosphate	69.4016599819
2-Hydroxyglutarate	69.0084494438
2-Hydroxyglutaryl-CoA	69.0084494438
Propenoyl-CoA	137.4353670102
(S)-3-Hydroxybutanoyl-CoA	205.28075269919998
3-Hydroxypropionyl-CoA	68.4269175664
(R)-3-Hydroxybutanoyl-CoA	68.4269175664
3-Hydroxyisovaleryl-CoA	68.4269175664
3-Methylcrotonyl-CoA	68.4269175664
(S)-3-Hydroxydodecanoyl-CoA	136.8538351328
2-trans-Dodecenoyl-CoA	76.24128325939999
(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA	136.8538351328
2-Methylacetoacetyl-CoA	68.4269175664
2-Methylbut-2-enoyl-CoA	68.4269175664
2-Methylprop-2-enoyl-CoA	68.4269175664
(S)-3-Hydroxyisobutyryl-CoA	68.4269175664
(S)-3-Hydroxyhexadecanoyl-CoA	136.8538351328
3-Oxopalmitoyl-CoA	68.4269175664
trans-Hexadec-2-enoyl-CoA	76.24128325939999
(S)-3-Hydroxytetradecanoyl-CoA	136.8538351328
3-Oxotetradecanoyl-CoA	68.4269175664
trans-Tetradec-2-enoyl-CoA	76.24128325939999
3-Oxododecanoyl-CoA	68.4269175664
(S)-Hydroxydecanoyl-CoA	68.4269175664
trans-Dec-2-enoyl-CoA	76.24128325939999
(S)-3-Hydroxyoctanoyl-CoA	136.8538351328
3-Oxooctanoyl-CoA	68.4269175664
trans-Oct-2-enoyl-CoA	76.24128325939999
(S)-Hydroxyhexanoyl-CoA	136.8538351328
trans-Hex-2-enoyl-CoA	76.24128325939999
3-Hydroxypimeloyl-CoA	68.4269175664
3-Oxopimeloyl-CoA	68.4269175664
cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	68.4269175664
3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	136.8538351328
trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	68.4269175664
(3S)-3-Hydroxyadipyl-CoA	136.8538351328
3-Oxoadipyl-CoA	100.14564497999999
5-Carboxy-2-pentenoyl-CoA	100.14564497999999
(2E)-5-Methylhexa-2,4-dienoyl-CoA	68.4269175664
3-Hydroxy-5-methylhex-4-enoyl-CoA	136.8538351328
5-Methyl-3-oxo-4-hexenoyl-CoA	68.4269175664
D-Mannitol 1-phosphate	206.2103779209
3-Hydroxybenzoate	66.2556191849
2,5-Dihydroxybenzoate	66.2556191849
UDP-glucuronate	65.8971577646
L-Selenomethionine	108.88677257249999
Se-Adenosylselenomethionine	65.7785310179
Glycine	290.91379466620003
5,6,7,8-Tetrahydromethanopterin	119.6608461404
5,10-Methylenetetrahydromethanopterin	65.3666797504
L-Threonine	139.620548941
L-Ornithine	93.0243571874
N-Acetyl-L-citrulline	65.0177472962
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	128.2104350192
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	64.1052175096
Cob(I)alamin	112.9054402389
Triphosphate	368.8646899201
Cobamide coenzyme	112.9054402389
Cob(I)yrinate a,c diamide	63.9898124203
Adenosyl cobyrinate a,c diamide	191.9694372609
Cobinamide	63.9898124203
Adenosyl cobinamide	63.9898124203
Cob(II)yrinate a,c diamide	127.9796248406
[Reduced NADPH---hemoprotein reductase]	63.9898124203
[Oxidized NADPH---hemoprotein reductase]	63.9898124203
L-Glutamine	164.2877870711
Deoxyuridine	146.8250114487
dUMP	135.503563275
5-Fluorodeoxyuridine	73.9972182946
5-Fluorodeoxyuridine monophosphate	62.6757701209
D-Mannonate	61.5151077112
dCMP	72.82779315410001
Deoxycytidine	72.82779315410001
LL-2,6-Diaminoheptanedioate	61.4633708671
Nicotinamide D-ribonucleotide	113.74682973630001
Nicotinate D-ribonucleotide	123.79780076450001
Deamino-NAD	61.3086811753
L-Histidine	118.08357146430001
tRNA(His)	59.8525372325
L-Histidyl-tRNA(His)	59.8525372325
Mannitol	72.2416373875
D-Phenylalanine	57.8621915764
Quinone	241.22177571089998
D-Amino acid	57.8621915764
2-Oxo acid	166.8162817637
Maltose 6'-phosphate	57.2726864898
Trehalose 6-phosphate	57.2726864898
Ethanolamine	110.8984065279
Acetaldehyde	144.2806357638
GTP	177.41530859510002
N6-(1,2-Dicarboxyethyl)-AMP	56.6950721186
[Ribosomal protein uS12]-L-aspartate	56.2153445853
[Ribosomal protein uS12]-3-methylthioaspartate	56.2153445853
S-Adenosyl-L-homocysteine	314.1140678343
beta-Alanine	56.042904878
Succinate semialdehyde	111.657674501
3-Amino-2-oxopropyl phosphate	55.7862198175
1-Deoxy-D-xylulose 5-phosphate	76.8467235526
5,6-Dihydrouracil	55.6163987526
3-Ureidopropionate	55.6163987526
(R)-5,6-Dihydrothymine	55.6163987526
(R)-3-Ureidoisobutyrate	55.6163987526
5,6-Dihydro-5-fluorouracil	55.6163987526
alpha-Fluoro-beta-ureidopropionic acid	55.6163987526
5-Methyl-5,6,7,8-tetrahydromethanopterin	54.29416639
CO	162.88249917000002
Tetrahydrosarcinapterin	54.29416639
5-Methyl-H4SPT	54.29416639
5-Methyltetrahydrofolate	127.6556356845
Phosphatidylethanolamine	53.8937669328
Cardiolipin	53.8937669328
L-Arabinose	51.3923684676
L-Ribulose	102.7847369352
beta-L-Arabinopyranose	51.3923684676
Nicotinate	51.1764341463
Guanosine 3'-diphosphate 5'-triphosphate	50.8041267937
Melibiose	193.62671523750004
Raffinose	129.084476825
Sucrose	122.9684177573
3-beta-D-Galactosyl-sn-glycerol	64.5422384125
alpha-D-Galactosyl-(1->3)-1D-myo-inositol	64.5422384125
myo-Inositol	64.5422384125
Epimelibiose	64.5422384125
Melibiitol	64.5422384125
alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	64.5422384125
Lactosylceramide	173.30625389190004
Stachyose	64.5422384125
Digalactosylceramide	64.5422384125
Galactosylceramide	129.084476825
Digalactosyl-diacylglycerol	64.5422384125
1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	64.5422384125
D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose	64.5422384125
Globotriaosylceramide	64.5422384125
Galabiosylceramide	64.5422384125
Reduced adrenal ferredoxin	100.1095177548
